id,name,host_name,neighbourhood,latitude,longitude,bedrooms,bathrooms,square_feet,property_type,room_type,guests_included,extra_people,minimum_nights,availability_30,availability_90,availability_365,number_of_reviews,review_scores_rating,last_review,reviews_per_month,price,cleaning_fee,security_deposit,monthly_revenue
958,"Bright, Modern Garden Unit - 1BR/1B",Holly,Duboce Triangle,37.76931,-122.43386000000001,1.0,1.0,,Apartment,Entire home/apt,2,25.0,1,3,16,85,217,97.0,2019-09-21,1.74,170.0,100.0,100.0,3253.8
3850,Charming room for two,Kevin,Inner Sunset,37.754020000000004,-122.45805,1.0,1.0,,House,Private room,2,20.0,1,5,62,62,160,94.0,2019-09-30,1.28,99.0,10.0,0.0,1393.92
8339,Historic Alamo Square Victorian,Rosy,Alamo Square,37.77525,-122.43637,2.0,1.5,,House,Entire home/apt,2,150.0,6,30,90,90,28,97.0,2019-06-28,0.23,875.0,225.0,0.0,2213.75
8739,"Mission Sunshine, with Private Bath",Ivan & Wendy,Mission District,37.759190000000004,-122.42237,1.0,1.0,,Condominium,Private room,2,60.0,1,7,47,135,704,98.0,2019-10-06,5.67,139.0,50.0,0.0,8669.43
9225,Artful Potrero Separate Floor with Garden,Gae,Potrero Hill,37.76259,-122.40543000000001,1.0,1.0,,House,Private room,1,0.0,1,15,71,344,511,94.0,2019-10-07,4.21,135.0,50.0,0.0,6251.85
10251,Victorian Suite in Inner Mission,Roman & Sarah,Mission District,37.75874,-122.41327,2.0,1.0,,House,Entire home/apt,1,0.0,30,13,73,348,337,96.0,2019-05-27,2.74,225.0,100.0,500.0,6781.5
10824,Victorian House in Hayes Valley - 3BED-2BA,Bernat,Hayes Valley,37.77355,-122.42436000000001,3.0,2.0,,Apartment,Entire home/apt,1,0.0,30,0,11,286,15,91.0,2019-08-18,0.16,194.0,208.0,3000.0,341.44
12522,Perfectly located Castro,Brenda,The Castro,37.76075,-122.43032,1.0,1.0,,Apartment,Private room,1,0.0,3,6,7,7,414,98.0,2019-10-02,3.49,79.0,10.0,0.0,3032.81
12584,"Views, sun, 12 ft ceilings, decks, 2BR work/sleep",Tom,Cole Valley,37.762029999999996,-122.45455,2.0,1.0,,Townhouse,Entire home/apt,1,40.0,30,0,17,292,17,95.0,2019-08-31,0.2,122.0,279.0,899.0,268.40000000000003
14125,Gallery Residence,Olivia,Mission District,37.754909999999995,-122.42246000000002,1.0,1.0,,Apartment,Entire home/apt,2,35.0,3,2,29,296,114,97.0,2019-09-20,0.96,215.0,80.0,0.0,2270.3999999999996
18231,Loft-like Apt./Garden (monthly only available),Arlene & Leon,Noe Valley,37.74888,-122.42981999999999,0.0,1.0,,Apartment,Entire home/apt,2,20.0,30,0,42,317,62,96.0,2019-05-31,0.54,107.0,0.0,0.0,635.58
18904,Tranquil Lower Haight w/pvt bath,Patrick,Lower Haight,37.77252,-122.43216000000001,1.0,1.0,,Townhouse,Private room,1,0.0,2,13,59,59,397,97.0,2019-09-30,4.15,110.0,30.0,130.0,5021.500000000001
23630,Castro Guest Suite With Continental Breakfast,Daniel,The Castro,37.75963,-122.44143000000001,1.0,1.0,300.0,House,Entire home/apt,2,0.0,3,0,0,0,391,97.0,2019-10-08,3.44,155.0,60.0,200.0,5865.2
24450,Atelier Noe 25 Studio in Noe Valley,Judith,Noe Valley,37.74885,-122.43673000000001,1.0,1.0,,Apartment,Entire home/apt,2,25.0,3,9,41,316,244,92.0,2019-09-30,2.12,180.0,80.0,250.0,4197.6
24463,"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",Cathryn,Potrero Hill,37.75645,-122.3991,1.0,1.0,,Apartment,Private room,2,20.0,2,13,68,158,293,98.0,2019-10-11,2.57,155.0,80.0,500.0,4381.85
24685,Castro/Haight San Francisco,Alison,Haight-Ashbury,37.77162,-122.43836,1.0,1.0,,Apartment,Private room,1,0.0,1,0,17,292,197,96.0,2019-09-22,1.75,79.0,0.0,0.0,1520.75
24723,Apartment-like rooms in PacHeights,Cynthia,Western Addition/NOPA,37.78716,-122.43386000000001,1.0,1.0,,Guest suite,Entire home/apt,4,20.0,5,6,23,73,314,96.0,2019-10-12,2.71,195.0,20.0,0.0,5812.95
25094,San Francisco's Luxury Oasis On Noe,Bruce,Noe Valley,37.74188,-122.43122,1.0,1.0,,House,Private room,1,10.0,5,16,61,336,39,99.0,2019-10-07,0.97,150.0,25.0,0.0,1600.5
25463,Modern Zen in the Lower Haight,Patrick,Alamo Square,37.77729,-122.43421000000001,1.0,1.0,,Townhouse,Private room,1,0.0,3,9,45,45,429,98.0,2019-09-28,3.93,110.0,30.0,150.0,4755.3
25662,"Convenient, quiet, private",Gayle,Potrero Hill,37.76212,-122.39541000000001,0.0,1.0,,House,Private room,2,30.0,4,0,17,267,313,95.0,2019-10-03,2.78,125.0,50.0,300.0,3822.5
26408,Huge Central Victorian/Alamo Square,Isabella,Alamo Square,37.77478,-122.4315,4.0,2.0,1850.0,Apartment,Entire home/apt,4,30.0,2,0,13,16,33,91.0,2019-06-20,0.33,450.0,160.0,500.0,1633.5000000000002
27025,"Elegant, Edwardian Apartment in the Castro/Eureka Valley",Luis,The Castro,37.76298,-122.43136000000001,1.0,1.0,800.0,Apartment,Entire home/apt,2,0.0,30,12,27,58,132,100.0,2019-09-15,1.15,125.0,125.0,3000.0,1581.2499999999998
27028,Secret Mission Garden,Ivan & Wendy,Mission District,37.760979999999996,-122.42158,1.0,1.0,2200.0,Condominium,Private room,2,50.0,1,0,3,3,27,96.0,2019-07-28,0.5,199.0,75.0,0.0,1094.5
29373,Sunny house with garden,Cecilia,Bernal Heights,37.73729,-122.41163,2.0,2.0,1200.0,House,Entire home/apt,5,0.0,4,0,0,41,16,97.0,2019-08-15,0.16,220.0,140.0,100.0,387.2
29557,gigi's bed and breakfast,Gigi,Richmond District,37.779309999999995,-122.50518000000001,1.0,1.0,,Apartment,Entire home/apt,2,20.0,2,5,19,259,58,99.0,2019-10-08,0.52,155.0,0.0,0.0,886.6000000000001
32414,"Cozy, Sunny and Private Space",Lisa,Bernal Heights,37.74025,-122.41259,1.0,1.0,500.0,Apartment,Entire home/apt,2,10.0,30,24,64,284,94,96.0,2019-09-29,0.83,150.0,0.0,200.0,1369.4999999999998
33578,Potrero Hill Garden Lookout,Kepa,Potrero Hill,37.76526,-122.3973,1.0,1.0,,House,Entire home/apt,1,0.0,1,8,50,322,571,99.0,2019-10-10,5.17,240.0,110.0,0.0,13648.8
39418,"Comfortable Home Base, Bernal Heights",Therese And Nelson,Bernal Heights,37.74093,-122.42055,0.0,1.0,,Apartment,Entire home/apt,2,50.0,60,0,30,305,22,98.0,2019-08-20,0.22,94.0,65.0,500.0,227.48
40138,Peaceful room in yoga teacher's colorful apt.,Ay,Presidio Heights,37.78255,-122.44843999999999,1.0,1.0,,Apartment,Private room,1,45.0,30,1,31,287,137,96.0,2019-08-17,1.27,67.0,35.0,0.0,935.99
41055,Cozy Castro Cottage with Cat,Chas,The Castro,37.76125,-122.43335,1.0,1.0,,House,Entire home/apt,3,0.0,4,0,0,0,54,94.0,2019-07-24,0.49,159.0,120.0,150.0,857.01
41172,Sue's Place,Sue,Bernal Heights,37.740829999999995,-122.41763,1.0,2.0,,House,Private room,2,50.0,3,11,60,320,255,98.0,2019-10-12,2.3,127.0,50.0,0.0,3213.0999999999995
41423,Guest Cottage - SF,Dana,Glen Park,37.73557,-122.43302,0.0,1.0,,House,Entire home/apt,1,0.0,30,0,2,234,148,89.0,2019-08-08,1.33,136.0,0.0,0.0,1989.68
42454,Bookish Mission District Flat with backyard,Gerard,Mission District,37.75117,-122.41326000000001,1.0,1.5,,Apartment,Entire home/apt,1,0.0,10,0,0,41,11,91.0,2019-08-19,0.12,104.0,0.0,200.0,137.27999999999997
44032,Secret Lounge in The Mission,David + Tina,Mission District,37.75145,-122.41207,1.0,1.0,,Apartment,Entire home/apt,1,0.0,30,13,73,163,283,97.0,2019-08-25,2.54,95.0,75.0,2000.0,2654.3
45299,Private Castro Studio with 2 beds,Chas,The Castro,37.76068,-122.43331,0.0,1.0,250.0,Guest suite,Entire home/apt,1,0.0,3,2,4,4,140,94.0,2019-09-30,1.26,116.0,75.0,100.0,1607.76
45956,Central in SF - Victorian Classic Home - 5 Stars,Jose  Jeffrey,Hayes Valley,37.77248,-122.43016000000001,1.0,3.0,,House,Private room,1,10.0,1,6,47,135,147,96.0,2019-10-02,1.72,125.0,30.0,0.0,2364.9999999999995
47486,CACTUS COTTAGE  with easy parking/public transp.,Richard,Ingleside,37.725359999999995,-122.46861000000001,2.0,1.0,,House,Entire home/apt,2,40.0,30,23,60,335,30,97.0,2019-09-10,0.27,78.0,150.0,400.0,231.66000000000003
47682,One-bedroom apt.  Lafayette Park,Jay,Pacific Heights,37.7925,-122.42431,1.0,1.0,,Apartment,Entire home/apt,2,20.0,30,22,82,357,27,96.0,2019-08-31,0.24,120.0,160.0,500.0,316.79999999999995
51557,Centrally Located Victorian Apartment,Len,Lower Haight,37.771209999999996,-122.42833999999999,1.0,1.0,,Apartment,Entire home/apt,2,0.0,30,0,37,312,107,98.0,2019-09-05,0.97,119.0,175.0,100.0,1269.73
51773,Prime Location - Small Cozy Room,Jay,Pacific Heights,37.79312,-122.426,1.0,0.0,,Apartment,Private room,1,0.0,30,23,39,266,162,92.0,2019-07-30,1.58,55.0,50.0,0.0,955.9000000000001
53280,Large & sunny room with bath + yard,Cecilia,Bernal Heights,37.73878,-122.41188999999999,1.0,1.0,,House,Private room,1,0.0,3,18,47,275,142,98.0,2019-10-02,1.3,90.0,60.0,100.0,1287.0
