id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3083,B-Love's Guest House Room #2,3518,Traci,,Prescott,37.80832,-122.293,Private room,65,3,37,2019-08-14,0.59,7,161
5739,Mod Studio,9276,Leah And Gyorgy,,Oakland Ave-Harrison St,37.81503,-122.26212,Entire home/apt,100,3,235,2019-09-02,1.89,1,7
11022,Rockridge Bungalow - Walk to All!,40142,Michelle,,Shafter,37.83771,-122.25191,Entire home/apt,141,4,123,2019-09-07,1.42,3,287
13291,Farmhouse Room,51853,Kendall,,Santa Fe,37.84374,-122.27583,Private room,70,7,59,2019-08-31,0.52,1,321
24916,Rockridge Studio w/garden and Patio,98716,Judy,,Piedmont Avenue,37.83326,-122.25033,Entire home/apt,110,1,107,2019-09-06,0.95,2,343
25473,Luxury Flat w/Mediterranean Garden—Upper Rockridge,106078,Lori,,Upper Rockridge,37.83688,-122.23184,Entire home/apt,141,7,18,2018-08-23,0.17,1,170
29521,Sunny Rockridge Home,124220,Kymi,,Shafter,37.83744,-122.25789,Entire home/apt,150,5,33,2018-08-10,0.33,2,59
31573,Rockridge  Craftsman Brown Shingl,98716,Judy,,Piedmont Avenue,37.83302,-122.25023,Entire home/apt,200,30,107,2019-06-05,0.99,2,300
36702,North Oakland craftsman bungalow,119361,Vito,,Bushrod,37.84238,-122.26624,Entire home/apt,110,7,24,2019-08-20,0.22,1,191
43343,Chef's Garden Flat - Easy Access to SF,147060,Jonathan,,Bushrod,37.84466,-122.26414,Entire home/apt,245,4,23,2019-06-24,0.38,2,0
45870,Comfortable Rockridge Guest Room,77555,Vicki,,Rockridge,37.84794,-122.24514,Private room,93,2,42,2019-08-25,0.43,1,351
46908,Tropical Modern Bungalow in Oakland- LONG TERM OK,210654,Mercedes,,Upper Dimond,37.80188,-122.21012,Entire home/apt,148,14,9,2019-03-26,0.90,3,0
55255,En Suite.  Full Privacy.  Breakfast.  Value.,260773,Pat And Lynn,,Lakewide,37.80871,-122.25945,Private room,90,2,448,2019-09-16,4.16,2,295
56273,1st floor bedroom with queen bed and bath,266510,Joyce,,Mosswood,37.82761,-122.25825,Private room,65,2,2,2016-07-19,0.05,2,0
62214,"Sunny ""treehouse"" rms near Piedmont",294697,Susan,,Piedmont Avenue,37.82468,-122.25067,Private room,68,2,317,2019-09-15,3.07,1,294
82024,Immaculate Rockridge In-law Oakland,445712,Dodie,,Shafter,37.83923,-122.25732,Entire home/apt,119,7,213,2019-08-10,2.07,1,263
85974,Modern Sunny Rockridge Cottage,471600,Ericka,,Shafter,37.84341,-122.25243,Entire home/apt,148,3,220,2019-09-08,2.16,1,309
87259,Paris in Oakland just off Piedmont Ave,478021,Phylis,,Piedmont Avenue,37.82616,-122.25234,Entire home/apt,129,7,24,2019-08-04,0.52,1,253
95615,Panoramic Sky,508853,Steffan,,Panoramic Hill,37.8694,-122.24153,Entire home/apt,2800,1,8,2017-10-14,0.15,1,360
135004,"Gorgeous,Old World, View House",644952,Kathryn,,Lincoln Highlands,37.80693,-122.20628,Entire home/apt,225,2,1,2015-08-07,0.02,2,328
136250,"Miniature House, Studio Style, SAFE Neighborhood",667229,Mark,,Merriwood,37.83722,-122.2127,Entire home/apt,89,7,8,2019-02-24,0.25,1,202
150527,Live/Work in Artist's Community.,725353,Sage,,South Kennedy Tract,37.77286,-122.23149,Entire home/apt,89,5,5,2018-07-17,0.09,1,0
151422,Walkable Best Area ~ Green Sanctuary w/ porch,729004,Amy,,Adams Point,37.80895,-122.2524,Entire home/apt,108,2,7,2018-11-11,0.12,1,18
151426,3+bedroom/3 bathroom house with a View of Oak & SF,729027,Lindsey,,Golf Links,37.75765,-122.15306,Entire home/apt,230,2,18,2019-05-19,0.18,1,141
155368,Art Filled Oakland Hills Beauty,728977,Susan,,Upper Rockridge,37.84615,-122.23431,Entire home/apt,150,3,253,2019-09-04,2.54,1,268
169599,Charming Garden Oasis 1bd apt.,808353,Marlene,,Millsmont,37.77892,-122.17626,Entire home/apt,75,2,190,2019-09-18,1.93,1,345
184781,Lovely Rooms in Montclair Hills,886458,Rick,,Montclair,37.83384,-122.20475,Private room,105,3,10,2019-06-11,0.10,3,364
191182,Great views in Oakland Hills Home,886458,Rick,,Montclair,37.83374,-122.2054,Entire home/apt,300,3,51,2019-01-01,0.52,3,281
200696,Convenient Colorful Sunny Space,11583,Shanna,,Prescott,37.81101,-122.29862,Private room,55,7,24,2016-06-30,0.25,2,0
202426, Charming Berkeley Oakland Border,240781,Rachel,,Bushrod,37.85216,-122.26416,Entire home/apt,83,3,0,,,1,0
