id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
958,"Bright, Modern Garden Unit - 1BR/1B",1169,Holly,,Western Addition,37.76931,-122.43386,Entire home/apt,170,1,217,2019-09-21,1.74,1,85
3850,Charming room for two,4921,Kevin,,Inner Sunset,37.75402,-122.45805,Private room,99,1,160,2019-09-30,1.28,3,62
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74511,-122.42102,Entire home/apt,235,30,111,2017-08-06,0.87,1,0
7918,A Friendly Room - UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76669,-122.4525,Private room,65,32,18,2019-09-10,0.15,9,365
8142,Friendly Room Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76487,-122.45183,Private room,65,32,8,2018-09-12,0.13,9,365
8339,Historic Alamo Square Victorian,24215,Rosy,,Western Addition,37.77525,-122.43637,Entire home/apt,875,6,28,2019-06-28,0.23,2,90
8739,"Mission Sunshine, with Private Bath",7149,Ivan & Wendy,,Mission,37.75919,-122.42237,Private room,139,1,704,2019-10-06,5.67,2,135
9225,Artful Potrero Separate Floor with Garden,29674,Gae,,Potrero Hill,37.76259,-122.40543,Private room,135,1,511,2019-10-07,4.21,1,344
10251,Victorian Suite in Inner Mission,35199,Roman & Sarah,,Mission,37.75874,-122.41327,Entire home/apt,225,30,337,2019-05-27,2.74,1,348
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79143,-122.41544,Entire home/apt,120,30,18,2015-05-17,0.19,1,332
10820,Haight Buena Vista Park Garden 3BR,38836,Bernat,,Haight Ashbury,37.77187,-122.43859,Entire home/apt,177,30,37,2018-12-01,0.30,41,347
10824,Victorian House in Hayes Valley - 3BED-2BA,38836,Bernat,,Western Addition,37.77355,-122.42436,Entire home/apt,194,30,15,2019-08-18,0.16,41,286
10832,Union Square Modern Loft,38836,Bernat,,Downtown/Civic Center,37.78574,-122.40798,Entire home/apt,139,30,19,2018-12-15,0.23,41,340
