id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4952,Butterfly Inn - Graceful Living !,7054,Mei Lin,,Palo Alto,37.43972,-122.15672,Private room,90,2,75,2019-01-12,0.61,5,52
11464,Deluxe Private Studio-custom int.,42458,Emey,,Santa Clara,37.34342,-121.98829,Entire home/apt,85,14,5,2018-08-26,0.08,10,90
21373,Bonsai Garden Inn in Professorville,7054,Mei Lin,,Palo Alto,37.44001,-122.15667,Private room,99,2,240,2019-09-15,2.12,5,276
23732,Heart of Silicon Valley bdrm & bath,2077,Igor,,Mountain View,37.39203,-122.06675,Private room,299,1,3,2011-07-07,0.03,1,365
37154,Private room in a 2 bedroom home in Campbell,160433,Daniel,,San Jose,37.30213,-121.9589,Private room,61,2,36,2019-09-13,2.41,1,26
40560,MOST COMFORTABLE BED EVER,174725,Megan,,Palo Alto,37.45356,-122.13733,Private room,110,2,131,2019-07-29,1.20,2,348
44648,Charming room in West San Jose!!,196389,Joel,,San Jose,37.32654,-121.94955,Private room,60,3,49,2019-08-23,0.55,3,34
52786,Cozy Room - Parking 3car carport,161741,Maria,,San Jose,37.3061,-121.84191,Private room,48,1,452,2019-09-15,4.17,1,364
62799,Zen Office and Sofa in Palo Alto,7054,Mei Lin,,Palo Alto,37.43925,-122.15617,Private room,115,2,137,2019-08-30,2.14,5,246
75284,Garden Room Oasis Walk to Stanford,7054,Mei Lin,,Palo Alto,37.44157,-122.15553,Private room,95,2,184,2019-09-13,1.80,5,252
102491,Great Walkable Downtown Location,219326,Peg,,Mountain View,37.38818,-122.07922,Private room,94,2,139,2019-05-27,1.37,2,0
102492,"Queensize bed, Prvt Bath, downtown",219326,Peg,,Mountain View,37.38844,-122.07861,Private room,101,2,161,2019-07-21,1.59,2,0
106365,"Luxurious & Quiet Home near Main St, Cupertino",551319,Judith,,Cupertino,37.32273,-122.00574,Entire home/apt,189,31,176,2019-09-01,1.79,1,70
118903,"Private Studio, Bath, Entrance @ House of Chauncey",600040,Rey,,Sunnyvale,37.38483,-122.03664,Private room,95,7,93,2019-08-31,0.92,1,176
134606,"Private Room, Cozy Home Downtown SJ",660433,Veronica,,San Jose,37.34756,-121.88922,Private room,70,1,183,2019-07-15,1.86,1,332
138530,Sweet Private Residential Campbell Room and Bath,676266,David,,Campbell,37.27555,-121.96336,Private room,99,1,4,2016-07-01,0.04,2,39
161873,Downtown MV perfection,19333,Aaron,,Mountain View,37.38991,-122.07949,Private room,150,2,166,2019-09-12,1.68,1,125
172259,Studio with a private bath and wet bar,821982,Grace,,Palo Alto,37.40463,-122.12548,Private room,70,2,1,2019-09-16,1,7,279
188047,Modern Private Mini Eichler Studio,905460,Christine,,Palo Alto,37.44707,-122.12655,Entire home/apt,89,7,77,2019-05-03,0.79,1,340
191867,"Best reviews, own bath, Apple HQ",928535,Tracy,,Cupertino,37.31859,-121.99922,Private room,89,30,83,2019-08-29,0.84,5,365
214303,PRIVATE & COZY GARDEN ROOM,174725,Megan,,Palo Alto,37.45371,-122.13727,Private room,120,1,55,2019-08-01,0.57,2,344
215631,"Best reviews, quiet, safe, friendly",928535,Tracy,,Cupertino,37.31264,-122.00039,Private room,69,30,90,2019-08-03,0.95,5,338
220632,Heart of Silicon Valley 1-Apple/HP,752324,Pamela & Dan,,Cupertino,37.32754,-122.03398,Private room,80,2,31,2019-08-31,0.32,3,0
222330,Heart of Silicon Valley 2-Apple/Hp,752324,Pamela & Dan,,Cupertino,37.33158,-122.03782,Private room,80,2,38,2019-06-16,0.40,3,314
231717,B&B: Quiet Bedroom & Bathroom,1211619,Yael,,Santa Clara,37.34609,-121.98467,Private room,86,1,146,2018-01-25,1.59,1,365
241788,Santana Row Modern Condo / Flat (Super Host),1269205,Ginger & Ray,,San Jose,37.32072,-121.94718,Entire home/apt,199,28,117,2019-08-16,1.22,3,361
246893,Nice new tri-level home in San Jose,1294864,Ohmar,,San Jose,37.27549,-121.82437,Entire home/apt,315,4,43,2019-08-18,0.48,1,365
251163,Family-friendly condo near downtown,398213,Dave,,Mountain View,37.38374,-122.08171,Entire home/apt,150,300,0,,,1,362
