id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11879,Sunny room close to beach and parks,44764,Steven,,Unincorporated Areas,36.98186,-121.88114,Private room,60,2,42,2019-09-08,0.38,3,180
24548,Room with Private Entrance. No extra fees.,99532,Kerstin,,City of Santa Cruz,36.97167,-121.99774,Private room,85,1,433,2019-09-26,3.77,1,19
31721,Dog Friendly Private Pleasure Point Beach Cottage,136376,Annie,,City of Capitola,36.95927,-121.97282,Entire home/apt,190,1,147,2019-09-22,1.76,2,350
43785,Guest bedroom in Victorian home,191477,Caroline,,City of Santa Cruz,36.97694,-122.036,Private room,85,1,411,2019-09-22,3.71,1,336
49523,Small room with shared bathroom,225721,Christine,,Unincorporated Areas,36.96319,-121.82195,Private room,75,30,208,2018-09-16,1.98,1,339
54948,Modern Beach House,258675,Terry & Clint,,City of Santa Cruz,36.9667,-122.01264,Entire home/apt,250,2,111,2019-05-19,1.02,3,27
57031,Sunny in nature quiet location,44764,Steven,,Unincorporated Areas,36.98197,-121.88262,Entire home/apt,160,10,1,2018-08-22,0.07,3,89
70829,Master Bedroom w/ Jacuzzi Tub,360285,Maisie,,City of Santa Cruz,36.98271,-122.02655,Private room,99,3,340,2019-09-22,3.22,1,60
72288,Cottage on the Creek/In Redwoods,366768,Cynthia,,Unincorporated Areas,37.08895,-122.04338,Entire home/apt,159,1,472,2019-09-16,4.53,5,322
126012,Santa Cruz Mtns. Dragonfly Cottage,625642,Mary Jane,,Unincorporated Areas,37.03277,-121.82554,Entire home/apt,169,1,322,2019-09-15,3.21,2,328
153903,Redwood Treehouse Santa Cruz Mtns.,625642,Mary Jane,,Unincorporated Areas,37.03123,-121.82499,Entire home/apt,149,1,645,2019-09-15,6.44,2,165
164951,Flotation & LifeStyle Coaching ,1386806,Jai & Shanti & Karen,,Unincorporated Areas,37.0834,-122.07408,Private room,188,7,1,2012-07-30,0.01,4,365
183564,APPLE ORCHARD COTTAGE,880252,Sibyll,,Unincorporated Areas,37.03096,-121.87276,Entire home/apt,125,2,319,2019-09-22,3.21,1,281
