,ZIPCODE_ID,ZIP_CODE_5,AREA,POPULATION,FAMILIES,HOUSEHOLDS,MALE,FEMALE,WHITE,BLACK,AM_INDIAN_,ASIAN_PACI,OTHER_RACE,WHITE_SPEC,BLACK_SPEC,AMERICAN_I,ESKIMO,ALEUT,CHINESE,FILIPINO,JAPANESE,ASIAN_INDI,KOREAN,VIETNAMESE,CAMBODIAN,HMONG,LAOTIAN,THAI,OTHER_ASIA,HAWAIIAN,SAMOAN,TONGAN,OTHER_POLY,GUAMARIAN,OTHER_MICR,MELANESIAN,OTHER_PACI,ITEM001,HISPANIC_O,NOT_HISP,MEXICAN,PUERTORICA,CUBAN,DOMINCAN,GUATEMALAN,HONDURAN,NICARAGUAN,PANAMANIAN,SALVADORAN,OTHER_CENT,COLOMBIAN,ECUADORIAN,PERUVIAN,OTHER_S_AM,OTHER_HISP,AGE_1,AGE_1_2,AGE_3_4,AGE_5,AGE_6,AGE_7_9,AGE_10_11,AGE_12_13,AGE_14,AGE_15,AGE_16,AGE_17,AGE_18,AGE_19,AGE_20,AGE_21,AGE_22_24,AGE_25_29,AGE_30_34,AGE_35_39,AGE_40_44,AGE_45_49,AGE_50_54,AGE_55_59,AGE_60_61,AGE_62_64,AGE_65_69,AGE_70_74,AGE_75_79,AGE_80_84,AGE_85,X1_PERSON_,X2_PERSON_,X3_PERSON_,X4_PERSON_,X5_PERSON_,X6_PERSON_,X7_PERSON_,HH_MARR_W_,ITEM002,HH_M_W_CH_,HH_M_W_O_C,HH_F_W_CH_,HH_F_W_O_C,HH_NONFAMI,FAM_MARR_W,ITEM003,FAM_M_W_CH,FAM_M_W_O_,FAM_F_W_CH,FAM_F_W_O_,MALE_SINGL,MALE_MARRI,MALE_SEPAR,MALE_OTHER,MALE_WIDOW,MALE_DIVOR,FEMALE_SIN,FEMALE_MAR,FEMALE_SEP,FEMALE_OTH,FEMALE_WID,FEMALE_DIV,LANG_ENGLI,LANG_GERMA,LANG_YIDDI,LANG_OTH_W,LANG_SCAND,LANG_GREEK,LANG_INDIC,LANG_ITALI,geometry
0,1,94060,48.3193,742,113,143,497,245,634,0,0,25,83,634,0,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,463,279,428,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,11,0,0,0,19,0,19,30,0,18,31,0,71,9,9,34,110,50,168,27,67,20,0,7,8,13,10,0,0,11,23,23,34,58,5,0,0,31,44,11,12,15,0,30,12,63,12,11,0,15,136,88,0,159,0,54,72,98,27,8,11,10,343,0,0,0,0,0,7,0,"POLYGON ((562950.8783921932 4107065.91013016, 562900.560255759 4106997.748231265, 562401.5429989051 4107549.316028539, 561292.0230874745 4108176.888134738, 561047.8349503216 4108207.290800281, 560896.1358896025 4108003.833391767, 560633.9299839357 4108080.714239999, 559672.2996883892 4107560.855649642, 559461.453529297 4108052.841312467, 558941.6146090422 4108142.273814964, 558780.4793923326 4108495.057196176, 558978.9015670511 4109594.224276863, 558908.4740040676 4110164.201832841, 558445.5799973692 4110656.118887858, 558192.3810694868 4111218.956739902, 557647.6342301514 4111215.212213148, 557695.4272210258 4111356.104289654, 557452.6953330741 4111384.067476225, 557295.1607856866 4111630.064997434, 556906.2160959491 4111638.523200798, 556956.2432874491 4112251.59985939, 556760.0526154283 4113217.810855948, 556282.8434733417 4114274.337315167, 555322.855713854 4115087.510368214, 554650.6731487997 4115362.916764633, 554114.6833637535 4115364.888959012, 553816.1462979589 4115172.596353125, 553850.7821524981 4115322.70178557, 553605.3527827705 4115585.400671088, 553524.6056380298 4116362.152940013, 552894.8308940473 4116764.885997442, 552919.0982084688 4117816.556760445, 552721.6969477211 4118120.299250802, 552634.0538419004 4118767.436317242, 552504.2095740334 4118814.995472194, 552633.1944882344 4118904.667720138, 552691.2857399071 4119390.075819676, 552396.2885528766 4119886.255909835, 552527.4817413503 4120031.745251761, 552295.6377548052 4120149.785003297, 552368.6928886482 4120256.967616283, 551915.6056676509 4120848.590110546, 551887.3740463479 4121326.027236349, 551617.664525843 4121824.831244796, 551671.4775811615 4122607.425532058, 552070.15166278 4123677.723424255, 551989.4054727996 4123828.661263317, 552134.7413201611 4124643.115646734, 552259.5639017187 4124532.94814811, 552130.7685270485 4123855.388217636, 552451.2733042601 4123751.98860452, 552709.1629864065 4123199.217080768, 553293.76110407 4122739.606181152, 555239.826628926 4123043.194247482, 555699.5039478027 4123268.121417629, 556135.5761674469 4122735.940096625, 556342.1802277768 4121989.113147562, 556743.0409873242 4121550.807374499, 557701.8408284305 4121484.560824405, 557768.1140698597 4121676.285490342, 557632.8155335328 4121680.459288203, 557850.3269995854 4122128.841373273, 558017.156225699 4121873.48753433, 558375.5516759483 4122108.845330535, 559148.8985272482 4121643.627683824, 560315.3267453955 4122447.515819252, 560735.9712113582 4121728.513424704, 560703.1614714356 4121960.263663805, 561230.2774353441 4121878.551713013, 561374.2576243638 4122179.267781811, 561723.8250953989 4121936.417775323, 561964.9912845044 4122454.426257238, 562227.1173384321 4122509.730212568, 565911.8086127068 4121373.127712321, 565940.9195293006 4120772.356328955, 567062.3397976485 4119851.053281212, 566768.2994279793 4119885.878868577, 566795.2034269752 4119726.994664353, 567255.9132090025 4119343.79696415, 567307.6221697573 4119013.921532626, 567304.274793477 4117370.32741054, 567305.5761900436 4117274.257943483, 567313.3171419611 4116229.313391345, 566786.8061902227 4116203.926138299, 564986.2960943917 4116189.713602222, 563240.4706678084 4115832.699516233, 560657.4027121251 4115835.86916101, 561212.8540251316 4111468.681031944, 562870.7639939061 4108384.546331129, 563230.4659381986 4107700.380975689, 562950.8783921932 4107065.91013016))"
1,2,94038,7.55713,5438,1432,1923,2736,2702,5105,58,35,122,118,5105,58,35,0,0,39,31,42,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,118,530,4908,357,19,0,0,0,0,0,0,11,0,0,0,0,0,143,104,170,207,95,64,243,138,156,67,29,46,84,24,48,81,31,174,294,629,664,720,451,262,178,32,74,106,83,73,26,85,341,628,384,360,164,31,15,661,558,21,41,97,54,491,147,1072,41,21,53,98,485,1263,15,42,41,241,360,1229,42,64,168,244,4348,62,0,0,0,0,0,56,"POLYGON ((544293.1225337704 4150326.120247032, 544326.9424478724 4150614.762329996, 543214.9273835026 4151984.651840675, 542705.3213986733 4153124.772512019, 542791.1133249387 4153624.475752417, 542547.6630156634 4154577.37160798, 542653.5085570117 4154611.198547781, 542799.4104110848 4155444.054384333, 542957.7298841996 4155578.00874645, 543051.3912698795 4156255.274056274, 542888.9024820168 4156931.214009122, 542954.736920892 4157863.516161997, 542689.115792907 4157995.283023549, 542473.6490735016 4158682.054415229, 543815.5673041289 4158744.506750859, 545268.0914429497 4157953.476194627, 545597.0378148097 4157555.86283328, 546207.465707638 4157370.626426039, 546224.2642178629 4157526.047814936, 547116.3190484862 4157519.968979584, 547114.5555376954 4157830.615290985, 547803.5237363615 4157812.365453942, 546968.8809784009 4157042.054388931, 547333.7180038318 4156567.047781009, 546874.6090883911 4156531.158491227, 546597.8778111293 4155475.591924892, 543749.2835151531 4152886.117995969, 544823.2866851763 4152004.261301829, 544605.9207423342 4151337.409388997, 544315.8573642604 4151036.30172933, 544590.485705491 4150605.963723061, 544293.1225337704 4150326.120247032))"
2,3,94044,14.5685,37604,9755,13299,18817,18787,28829,1824,293,5148,1510,28829,1824,277,16,0,1355,2365,470,144,28,143,115,0,0,70,211,101,128,0,0,5,0,13,0,1510,4900,32704,2074,270,23,0,86,25,463,23,623,14,0,0,108,193,998,422,1219,1239,525,655,1406,1056,1060,474,290,459,481,418,494,462,377,1631,3399,3915,3873,3573,2500,1896,1475,667,878,1023,804,467,303,163,2511,4093,2775,2317,898,427,278,3838,3858,224,316,700,819,3544,1761,5935,147,393,742,777,4630,7966,171,237,315,1219,3421,8007,345,183,1367,1687,27901,246,5,59,85,160,135,220,"POLYGON ((542473.6490735016 4158682.054415229, 542649.1150891808 4158904.850558233, 542743.0447347657 4159526.643328397, 542720.299113178 4160513.965424469, 542409.3761451071 4160889.593539487, 542920.5951228067 4161047.552113139, 542927.7568355015 4161369.339770614, 543741.1142355553 4161140.599565789, 544109.8716279782 4161519.779081458, 544248.4434935489 4162019.787329615, 544088.8528827336 4162152.075422357, 544096.4988155994 4162374.013852428, 544317.0406235929 4162397.38014177, 544482.8957952516 4162742.210690985, 544433.5883858794 4163707.20333357, 544327.3321305853 4163773.203528915, 544520.7649898655 4163907.380029768, 544727.6569827832 4166449.23812621, 544671.5632409335 4168667.932970844, 544937.2398468517 4168469.662139786, 544947.0847662606 4168281.100494818, 545229.5109925034 4168249.35508277, 545510.5964191179 4168461.702320507, 545569.4625463638 4168983.492707264, 545799.0738928522 4168929.286073231, 546322.7770989019 4168333.071035604, 546768.7995814469 4167447.97822037, 546735.2701794712 4167137.128032505, 546753.6025121146 4167015.186358841, 547395.2309987482 4165887.144214788, 546989.6383972043 4165840.451754642, 546613.3835201566 4165283.57471874, 546614.8202086942 4165028.398119733, 547504.6910851203 4163724.246967467, 547646.0189502283 4163702.868732674, 547970.6577220981 4162506.484699672, 547928.8360901265 4162106.823972996, 548817.1948193628 4161146.746643511, 549233.1543733708 4160971.68696104, 547526.6342381717 4159896.615850173, 547826.8873273133 4159887.246990909, 547813.449905765 4159154.905150319, 548617.2295314653 4159115.197202601, 548613.0798462048 4158316.33882668, 547835.8430600439 4158334.011520806, 547803.5237363615 4157812.365453942, 547114.5555376954 4157830.615290985, 547116.3190484862 4157519.968979584, 546224.2642178629 4157526.047814936, 546207.465707638 4157370.626426039, 545597.0378148097 4157555.86283328, 545268.0914429497 4157953.476194627, 543815.5673041289 4158744.506750859, 542473.6490735016 4158682.054415229))"
3,4,94015,5.60663,57539,14052,18845,28076,29463,23944,4289,257,26225,2824,23944,4289,250,0,7,7166,15303,746,350,480,461,46,0,0,202,620,226,512,0,0,79,0,34,0,2824,8258,49281,2528,415,173,0,418,9,1119,37,1693,55,128,0,332,206,1145,714,1693,1449,657,730,2247,1449,1409,649,706,735,737,765,986,824,849,2929,5261,5645,4560,4175,3279,3225,2621,1113,1547,2302,1705,1427,624,527,3722,5361,3371,2886,1739,885,881,5179,5639,363,665,923,1283,4793,2907,7911,327,701,982,1224,7690,11566,321,848,525,1476,6474,11375,632,856,2745,2034,25797,311,37,18,26,437,286,338,"POLYGON ((544671.5632409335 4168667.932970844, 544538.0724228423 4168889.11311648, 544464.1600136322 4171152.100904071, 543948.7757128784 4173556.971120551, 546734.0941771155 4173583.361649779, 546815.3626662196 4171686.556779435, 546709.4011630912 4170154.835025938, 547136.5311704793 4169480.460023309, 547263.2930353303 4168904.240126568, 547661.1292658467 4168740.097485435, 547457.4580521025 4168359.031256272, 548161.3613836961 4167655.678734268, 548275.2552392137 4167789.483356567, 548588.5402446847 4167014.66296358, 548207.4049675214 4167323.095145007, 547113.7677664002 4167283.510024218, 546753.6025121146 4167015.186358841, 546735.2701794712 4167137.128032505, 546768.7995814469 4167447.97822037, 546322.7770989019 4168333.071035604, 545799.0738928522 4168929.286073231, 545569.4625463638 4168983.492707264, 545510.5964191179 4168461.702320507, 545229.5109925034 4168249.35508277, 544947.0847662606 4168281.100494818, 544937.2398468517 4168469.662139786, 544671.5632409335 4168667.932970844))"
4,5,94080,9.68049,54562,13876,18715,26807,27755,33754,2097,375,13406,4930,33754,2097,367,8,0,3568,6736,538,389,434,185,27,0,0,97,277,124,556,154,40,35,14,202,30,4930,14934,39628,9103,635,79,0,404,35,1147,23,1305,71,60,120,84,151,1717,728,1763,1548,773,841,2405,1427,1248,603,640,590,518,753,691,674,722,2426,5212,5192,4642,3999,2905,2755,2526,1129,1668,2401,1676,1078,647,382,3920,5378,3453,3040,1681,743,500,5473,5494,215,595,932,1167,4839,2469,8498,187,623,1016,1083,6883,11399,365,604,415,1427,4956,11391,505,494,2528,2259,28943,188,0,18,5,338,406,895,"POLYGON ((554183.8416124377 4169368.309210085, 553714.8194767626 4169206.032545921, 553638.5707121876 4169131.754429654, 553780.4013841389 4169021.723598274, 553420.094637635 4168819.674492427, 554001.6842871506 4168901.118412673, 554038.4125236997 4168679.454130758, 554179.4567084295 4168691.472175615, 554185.7319683173 4169079.845839382, 554609.0621985875 4169082.630759272, 554637.3529742131 4168805.436961596, 554460.9594467189 4168804.273406499, 554576.9331777397 4168605.323994267, 554911.3523308164 4168718.489975793, 554912.1626768239 4168596.447837851, 555282.5986391397 4168598.91575705, 555274.8909963998 4168432.435710135, 554798.8271498849 4168395.982065745, 555269.9999750984 4167844.355907042, 555067.2713856251 4167820.813435697, 555078.3819483437 4167476.935720322, 554808.0145973366 4167009.141679831, 553732.0685900652 4166957.704101651, 553308.0037830188 4166381.119703887, 552946.0845857877 4166466.337112604, 553292.6645227087 4166351.840665758, 553547.1273319512 4166553.639808557, 553249.1460331922 4166273.117842982, 553407.3713846263 4166295.218147635, 553271.7825692808 4166210.464970674, 553425.8625385689 4166232.53892622, 553297.9830773098 4166156.156471007, 553500.74518263 4166031.312770247, 552944.792940422 4165909.68564348, 552697.8267434705 4165897.014517193, 552671.7114690387 4165841.372651341, 552832.5755737475 4165520.639074937, 552020.7755000474 4165526.593096687, 552007.8394059029 4166181.123519902, 551523.9172295579 4165967.289818734, 551380.7571792824 4166288.157935851, 550150.8079136608 4165426.293026808, 549769.0077769366 4165823.411109977, 549066.8661849539 4165197.896826366, 549056.9251138709 4165386.453586094, 547862.0005704619 4166034.065376063, 547395.2309987482 4165887.144214788, 546753.6025121146 4167015.186358841, 547113.7677664002 4167283.510024218, 548207.4049675214 4167323.095145007, 548588.5402446847 4167014.66296358, 548275.2552392137 4167789.483356567, 548161.3613836961 4167655.678734268, 547457.4580521025 4168359.031256272, 547661.1292658467 4168740.097485435, 548292.1279832118 4169431.653687501, 548264.5053192201 4169631.204105396, 549098.3405695811 4168815.076112216, 549808.5848255304 4169507.22107322, 550091.7298462885 4169353.599875282, 550452.6589618335 4170907.340529437, 550739.6376025067 4170683.754664618, 550885.6940037224 4170134.443348778, 551087.4033025744 4169929.983186302, 551892.6227536692 4169427.949109212, 552331.7102956828 4169585.49446995, 552516.2018858504 4168919.843807964, 553202.4723445459 4169140.032183415, 553470.6722334988 4169495.588323519, 554183.8416124377 4169368.309210085))"
5,6,94132,3.98478,23667,5626,9625,10778,12889,12914,4315,50,5837,551,12914,4315,41,9,0,2855,1188,553,147,776,100,0,0,0,8,190,20,0,0,0,0,0,0,0,551,1554,22113,432,104,26,0,31,0,136,0,227,0,32,8,56,167,335,173,437,425,253,309,636,379,407,209,288,156,206,431,442,582,334,1296,1917,1700,1658,1745,1270,1112,1034,409,727,1411,1288,1132,761,540,3255,3247,1327,1012,447,188,149,1387,2739,73,223,385,819,3999,839,3287,73,223,586,618,3367,4303,227,309,310,648,3434,4201,226,309,1833,1272,14649,326,8,27,13,154,108,99,"POLYGON ((543948.7757128784 4173556.971120551, 543587.0558040333 4175285.887063878, 543483.3331609673 4176572.372567119, 544735.5563732461 4176390.451340829, 544973.2847193524 4176425.02941334, 545041.4134036865 4176858.1120417, 545394.6463231983 4176715.811493037, 546750.995223365 4176823.244382785, 546593.7349751167 4175024.936923066, 547307.4569108265 4175051.187639657, 547500.3834723327 4175218.723438016, 547464.3576567044 4173820.525485174, 547050.6571895923 4173718.301195524, 547139.6241639672 4173574.571821527, 546734.0941771155 4173583.361649779, 543948.7757128784 4173556.971120551))"
6,7,94116,2.64119,39424,9746,14420,18757,20667,21086,553,95,17099,591,21086,553,95,0,0,12961,1522,776,146,803,378,47,0,0,67,341,36,0,0,0,22,0,0,0,591,2184,37240,809,88,24,8,27,0,162,54,218,0,45,16,56,126,551,331,757,794,295,377,1102,771,748,418,420,328,504,450,394,538,498,1577,3452,3039,3412,2947,2094,2013,2102,822,1441,2266,1902,1547,1281,804,3530,4747,2384,1871,943,510,435,3022,4836,110,523,233,1022,4674,2108,5750,153,480,739,516,5710,8297,142,513,425,851,4700,8492,158,562,2774,1207,18916,424,57,47,33,164,55,265,"POLYGON ((543483.3331609673 4176572.372567119, 543316.8622243743 4178069.339264456, 543448.9487597973 4178081.129439756, 543439.0868487103 4178280.790123824, 546723.9420553729 4178487.371472424, 546713.7495640448 4178731.408520113, 547005.71165147 4178511.163780286, 547384.3172841986 4178546.617030383, 547802.3378774509 4177861.125950492, 547425.7441406169 4177470.618631901, 546994.0371851916 4177468.147121757, 546942.4382085965 4177245.94919297, 546713.4259336044 4177233.553610652, 546750.995223365 4176823.244382785, 545394.6463231983 4176715.811493037, 545041.4134036865 4176858.1120417, 544973.2847193524 4176425.02941334, 544735.5563732461 4176390.451340829, 543483.3331609673 4176572.372567119))"
7,8,94127,1.6728,17837,4856,7086,8524,9313,12726,802,69,3818,422,12726,802,54,0,15,2467,469,360,10,105,76,0,0,69,10,185,16,0,19,0,32,0,0,0,422,1170,16667,370,51,8,0,57,0,180,9,155,0,44,0,84,34,178,165,424,364,239,190,543,299,325,126,83,179,194,98,107,196,163,384,1045,1366,1594,1680,1222,1130,1063,398,640,1251,843,606,520,400,1584,2728,1235,875,496,95,73,1417,2614,65,144,161,455,2230,800,3231,83,126,339,277,2275,4110,60,187,189,336,1637,4052,124,226,1206,760,11949,153,8,17,11,109,51,193,"POLYGON ((549081.1355675934 4176159.971955592, 547795.0682994563 4176074.75454744, 547699.4209194358 4175852.297114947, 547444.3172461755 4175773.159928222, 547500.3834723327 4175218.723438016, 547307.4569108265 4175051.187639657, 546593.7349751167 4175024.936923066, 546750.995223365 4176823.244382785, 546713.4259336044 4177233.553610652, 546942.4382085965 4177245.94919297, 546994.0371851916 4177468.147121757, 547425.7441406169 4177470.618631901, 547802.3378774509 4177861.125950492, 548419.8802930627 4177720.491190822, 549119.644287414 4177092.20087302, 549244.5848911689 4176826.660106407, 549086.8442761658 4176681.481759262, 548936.4613295319 4176780.44528779, 548910.8832905057 4176636.055559399, 548956.1906385943 4176425.51497525, 549088.3628342629 4176426.300439222, 549081.1355675934 4176159.971955592))"
8,9,94014,6.56864,40234,9128,12211,19761,20473,15816,2940,200,15860,5418,15816,2940,200,0,0,3606,10921,203,316,170,119,0,0,0,0,239,62,148,0,0,24,0,52,0,5418,13013,27221,5028,503,18,0,416,19,1841,26,3333,32,165,57,279,95,1201,527,1396,1181,616,558,1861,1059,892,399,561,410,588,535,496,627,553,1987,3809,3915,3465,3110,2246,1744,1795,852,926,1484,1056,834,391,361,2446,3048,2034,1713,1277,599,1094,3596,3130,253,453,711,985,3083,1635,5091,155,551,784,912,5116,7413,293,981,297,1171,4456,7200,490,978,1872,1478,13119,129,0,16,0,169,249,395,"POLYGON ((552489.9651181183 4173617.947008076, 552248.1425562681 4172828.650794514, 552580.3841926026 4171876.568896979, 552357.3025881428 4172296.770751406, 552012.2239814398 4172494.304742434, 551138.8505898842 4172588.708050508, 550876.8427120491 4172187.662749662, 550381.2505364611 4172495.290514634, 549705.3130731008 4172014.102755697, 549334.6352525613 4172078.451703764, 549470.7966730301 4171424.651632939, 549637.316519625 4171592.077701557, 549938.960119728 4171283.23085929, 549931.3498738137 4171083.472005847, 550452.6589618335 4170907.340529437, 550091.7298462885 4169353.599875282, 549808.5848255304 4169507.22107322, 549098.3405695811 4168815.076112216, 548264.5053192201 4169631.204105396, 548292.1279832118 4169431.653687501, 547661.1292658467 4168740.097485435, 547263.2930353303 4168904.240126568, 547136.5311704793 4169480.460023309, 546709.4011630912 4170154.835025938, 546815.3626662196 4171686.556779435, 546734.0941771155 4173583.361649779, 547139.6241639672 4173574.571821527, 550885.7237758592 4173607.904241341, 552489.9651181183 4173617.947008076))"
9,10,94112,3.39466,64318,14342,19430,30731,33587,25730,7196,245,23192,7955,25730,7196,229,16,0,9189,12215,389,117,178,564,0,0,0,13,198,150,115,0,0,64,0,0,0,7955,17984,46334,6126,756,291,0,782,29,3097,56,4005,113,32,94,438,190,1975,643,1696,1609,757,704,2501,1373,1511,877,645,867,936,857,868,794,892,2909,5669,5766,5325,4622,3552,3456,2908,1202,1919,2734,2501,1815,1205,1205,3920,4970,3067,2825,1929,1153,1566,4789,5296,330,798,921,2208,5088,3215,6870,326,802,1738,1391,9359,11173,560,1616,586,1548,7942,11084,767,1575,4080,2357,24324,240,0,26,59,129,176,1167,"POLYGON ((550885.7237758592 4173607.904241341, 547139.6241639672 4173574.571821527, 547050.6571895923 4173718.301195524, 547464.3576567044 4173820.525485174, 547500.3834723327 4175218.723438016, 547444.3172461755 4175773.159928222, 547699.4209194358 4175852.297114947, 547795.0682994563 4176074.75454744, 549081.1355675934 4176159.971955592, 549065.5574517443 4175815.927385711, 550479.7623978505 4176567.84079937, 551034.7398496773 4176593.446311863, 550956.0547780122 4176493.102401215, 551071.9084404634 4176283.00868381, 550667.1174996358 4176191.75050126, 551107.5674635341 4176216.657892467, 551162.0890869851 4175950.709358627, 550677.4285654344 4175947.718135452, 550871.7716248794 4175871.247336352, 550954.3690169845 4175339.184684275, 550727.7631225375 4174927.264526544, 551090.473772606 4174707.596956857, 550941.4687363199 4174573.533078265, 550640.7213269232 4174749.206190632, 550563.3727009065 4174426.970271056, 550714.0905485807 4174283.656883408, 550619.4518746686 4173905.838395935, 550920.297561192 4173719.069622986, 550885.7237758592 4173607.904241341))"
