Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
2412 Palmer Ave,Belmont,CA,94002,1459000,3,2,1360,5001,37.516781,-122.304623
1909 Hillman Ave,Belmont,CA,94002,1595000,4,2,2220,3999,37.521972,-122.294079
641 Waltermire St,Belmont,CA,94002,899999,2,1,840,4234,37.520233,-122.273144
2706 Sequoia Way,Belmont,CA,94002,1588000,3,2,1860,5210,37.520192,-122.309437
1568 Winding Way,Belmont,CA,94002,1999000,4,3.5,2900,16117.2,37.52428,-122.291241
1440 5th Ave,Belmont,CA,94002,1249950,2,1,1170,5001,37.516227,-122.272763
1527 Ridge Rd,Belmont,CA,94002,1485000,3,2,1220,5502,37.522964,-122.290578
1249 North Rd,Belmont,CA,94002,1995000,4,3.5,2720,9601,37.523886,-122.286862
685 South Rd,Belmont,CA,94002,1988000,3,3,2610,11325.6,37.520637,-122.281695
2501 Lincoln Ave,Belmont,CA,94002,1598000,3,2,1508,6100,37.518087,-122.306904
1569 Sixth Ave,Belmont,CA,94002,2198000,5,3,3160,11761.2,37.514502,-122.270684
2021 Lyon Ave,Belmont,CA,94002,1695000,3,2.5,1540,3951,37.522995,-122.298666
600 Kingston Rd,Belmont,CA,94002,2700000,3,2,2080,13939.2,37.522085,-122.281924
2417 Hastings Dr,Belmont,CA,94002,1795000,3,2.5,2210,3938,37.505247,-122.296336
213 Visitacion Ave,Brisbane,CA,94005,698000,1,1,850,2614,37.682818,-122.403095
260 Monterey St,Brisbane,CA,94005,1438000,4,2.5,2380,3485,37.683129,-122.401917
478 Kings Rd,Brisbane,CA,94005,1588000,3,3,1790,8712,37.678221,-122.400926
271 Humboldt Rd,Brisbane,CA,94005,1498000,3,2.5,2200,5663,37.683422,-122.406506
1812 Easton Dr,Burlingame,CA,94010,2670000,4,4.5,2790,5449,37.583493,-122.371662
413 Hillsborough Blvd,Hillsborough,CA,94010,4995000,4,3.5,3126,15246,37.561393,-122.35351
1060 Macadamia Dr,Hillsborough,CA,94010,3499000,5,4.5,3650,21780,37.571956,-122.381913
240 Pinehill Rd,Hillsborough,CA,94010,17900000,3,5.5,8930,89733.6,37.557535,-122.366068
119 Bridge Rd,Hillsborough,CA,94010,13880000,6,8.5,10510,75358.8,37.562276,-122.332823
1277 Balboa Ave,Burlingame,CA,94010,3300000,4,4,2698,5001,37.584879,-122.369784
