School Code,Score,Zip Code,School Name
930131,9.38,89447,Rite Of Passage
6057962,17.2,90001,Charles Drew Middle
6018188,22.18625,90001,Miramonte Elementary
6061444,22.96,90001,Thomas A. Edison Middle
124495,25.6,90001,Communication And Technology At Diego Rivera Learn
6018105,25.608,90001,Mckinley Avenue Elementary
124511,26.355,90001,Performing Arts Community At Diego Rivera Learning
6017321,28.009,90001,Graham Elementary
126433,28.58375,90001,"Dr. Lawrence H. Moore Math, Science, Technology Ac"
6018683,30.5,90001,Parmelee Avenue Elementary
128041,30.80625,90001,Alliance Kory Hunter Middle
125609,32.731,90001,Kipp Philosophers Academy
6019004,32.822,90001,Russell Elementary
124503,36.305,90001,Diego Rivera Learning Complex Green Design Steam A
6017875,36.484,90001,Lillian Street Elementary
122150,36.815,90001,Wisdom Elementary
6017123,37.239,90001,Florence Avenue Elementary
106849,42.275,90001,Animo Pat Brown
124487,42.52,90001,Public Service Community At Diego Rivera Learning 
6061527,14.94125,90002,Edwin Markham Middle
124883,16.845,90002,Animo College Preparatory Academy
6019848,17.62875,90002,Weigand Avenue Elementary
6018527,18.72875,90002,Florence Griffith Joyner Elementary
6016612,22.79875,90002,Compton Avenue Elementary
122176,25.388,90002,Judith F. Baca Arts Academy
1934454,26.625,90002,David Starr Jordan Senior High
6018352,30.44,90002,Ninety-Second Street Elementary
6018378,32.425,90002,Ninety-Sixth Street Elementary
6018345,38.652,90002,Ninety-Ninth Street Elementary
126573,12.07,90003,Academy For Multilingual Arts And Science At Mervy
127878,15.915,90003,Pathways Community
6018386,18.668,90003,Ninety-Third Street Elementary
6019293,18.726,90003,South Park Elementary
6058143,20.22,90003,Mary Mcleod Bethune Middle
6019251,21.477,90003,Sixty-First Street Elementary
120527,21.98,90003,Watts Learning Center Charter Middle
124800,23.125,90003,Aspire Inskeep Academy Charter
101444,23.48,90003,Kipp Academy Of Opportunity
134023,23.72166667,90003,Animo Florence-Firestone Charter Middle
122143,24.88,90003,Dr. Owen Lloyd Knox Elementary
1933118,25.19,90003,John C. Fremont Senior High
6018535,25.7375,90003,One Hundred Seventh Street Elementary
6018360,28.00625,90003,Charles W. Barrett Elementary
6019137,28.782,90003,Seventy-Fifth Street Elementary
124784,31.486,90003,Aspire Slauson Academy Charter
6019269,31.718,90003,Sixty-Sixth Street Elementary
6114912,41.7575,90003,Watts Learning Center
120030,41.8975,90003,Alliance College-Ready Middle Academy 4
121699,42.20833333,90003,Kipp Empower Academy
124792,51.434,90003,Aspire Juanita Tate Academy Charter
108894,63.54,90003,Alliance Judy Ivie Burton Technology Academy High
1996008,4.405,90004,Soledad Enrichment Action Charter High
127910,22.97,90004,Camino Nuevo High #2
6015721,24.98375,90004,Alexandria Avenue Elementary
109314,36.01125,90004,Harvard Elementary
6058341,36.67625,90004,Virgil Middle
111971,37.45,90004,Frank Del Olmo Elementary
6016711,41.855,90004,Dayton Heights Elementary
6016604,44.01875,90004,Commonwealth Avenue Elementary
100800,45.73,90004,Central City Value
6019681,49.44375,90004,Van Ness Avenue Elementary
6016232,52.4375,90004,Cahuenga Elementary
111989,52.55,90004,Charles H. Kim Elementary
128710,56.6125,90004,Dr. Sammy Lee Medical And Health Science Magnet El
6019467,67.055,90004,Third Street Elementary
119735,20.45125,90005,Young Oak Kim Academy
121095,20.643,90005,Ambassador-Global Leadership
117762,22.64,90005,School For The Visual Arts And Humanities
121103,25.22,90005,Ambassador School-Global Education
117747,31.17,90005,Los Angeles High School Of The Arts
119693,33.810625,90005,Ucla Community K-12
6019988,36.62625,90005,Wilton Place Elementary
129858,43.12428571,90005,Everest Value
126169,45.857,90005,Equitas Academy #2
6061410,46.85625,90005,John Burroughs Middle
112003,49.79375,90005,Wilshire Park Elementary
6017636,56.59,90005,Hoover Street Elementary
6061402,16.5225,90006,Berendo Middle
114959,17.05875,90006,Monsenor Oscar Romero Charter Middle
6017990,21.286,90006,Magnolia Avenue Elementary
6110266,21.58125,90006,Leo Politi Elementary
6017602,33.5825,90006,Hobart Boulevard Elementary
6111512,37.48875,90006,Los Angeles Elementary
132027,39.905,90006,University Preparatory Value High
128454,6.45,90007,College Bridge Academy
109355,11.41,90007,John W. Mack Elementary
112011,13.07875,90007,William Jefferson Clinton Middle
6019483,17.30625,90007,Lenicia B. Weemes Elementary
122564,19.19357143,90007,Camino Nuevo Elementary #3
6018436,24.6175,90007,Norwood Street Elementary
114850,30.625,90007,West Adams Preparatory High
6057855,31.17875,90007,John Adams Middle
102491,31.97625,90007,Dr. Theodore T. Alexander Jr. Science Center
6019731,32.09,90007,Vermont Avenue Elementary
6019475,35.855625,90007,Thirty-Second Street Usc Performing Arts
102541,39.151,90007,New Designs Charter
111583,44.065,90007,Animo Jackie Robinson High
106864,45.936,90007,Alliance Gertz-Ressler Richard Merkin 6-12 Complex
106997,55.215,90007,Orthopaedic Hospital
6017156,8.33875,90008,Forty-Second Street Elementary
6061394,9.357142857,90008,Audubon Middle
6016810,16.21375,90008,Tom Bradley Global Awareness Magnet
6060529,18.48222222,90008,Marlton
6017586,20.9125,90008,Hillcrest Drive Elementary
101659,27.27,90008,"Catch Prep Charter High, Inc."
111211,48.92714286,90008,New Heights Charter
131904,55.552,90008,Libertas College Preparatory Charter
119685,22.55125,90010,New Open World Academy K-12
124222,49.2475,90010,Rise Kohyang Middle
110668,4.44,90011,Frida Kahlo High
106955,11.7125,90011,Harmony Elementary
6017149,15.29375,90011,Forty-Ninth Street Elementary
6057921,15.90625,90011,George Washington Carver Middle
6115794,17.01375,90011,Los Angeles Academy Middle
124446,18.8925,90011,Dr. Julian Nava Learning Academies-School Of Arts 
1934371,19.015,90011,Thomas Jefferson Senior High
6019590,20.24625,90011,Twenty-Eighth Street Elementary
109330,21.07875,90011,Ricardo Lizarraga Elementary
6019814,22.11375,90011,Wadsworth Avenue Elementary
6017628,22.2875,90011,Hooper Avenue Elementary
109348,22.9175,90011,Aurora Elementary
6019558,23.2075,90011,Trinity Street Elementary
124479,23.335,90011,Dr. Maya Angelou Community High
6018006,24.5775,90011,Main Street Elementary
124453,24.6325,90011,Dr. Julian Nava Learning Academy
131839,26.145,90011,Summit Preparatory Charter
126375,27.81125,90011,Sally Ride Elementary: A Smart Academy
122481,28.19125,90011,Animo Jefferson Charter Middle
129585,28.65,90011,Nava College Preparatory Academy
6015887,28.82625,90011,Ascot Avenue Elementary
122119,30.07875,90011,Estrella Elementary
111575,32.69,90011,Animo Ralph Bunche Charter High
6018303,32.89375,90011,Nevin Avenue Elementary
122127,33.9675,90011,Quincy Jones Elementary
122135,34.32375,90011,Dolores Huerta Elementary
117895,34.52625,90011,Synergy Kinetic Academy
115139,38.5025,90011,Center For Advanced Learning
124560,41.94,90011,Synergy Quantum Academy
128058,42.43,90011,Alliance College-Ready Middle Academy 12
6019582,43.37125,90011,Twentieth Street Elementary
109447,43.375,90011,Santee Education Complex
106427,60.57625,90011,Synergy Charter Academy
6015812,21.11125,90012,Ann Street Elementary
119727,38.555,90012,Ramon C. Cortines School Of Visual And Performing 
6016380,46.71125,90012,Castelar Street Elementary
6019277,71.036,90012,Solano Avenue Elementary
1932888,79.645,90012,Downtown Business High
131383,16.67,90014,Siatech Academy South
117994,6.78,90015,Youthbuild Charter School Of California
127803,9.52,90015,Early College Academy-La Trade Tech College
6019459,25.7375,90015,Tenth Street Elementary
6019053,34.8125,90015,San Pedro Street Elementary
6119903,40.02857143,90015,Downtown Value
133686,47.125,90015,Equitas Academy 4
119982,60.845,90015,Equitas Academy Charter
111500,62.62,90015,Alliance Dr. Olga Mohan High
1930429,5.26,90016,View Park Continuation
1932383,14.6,90016,Susan Miller Dorsey Senior High
6016570,14.78142857,90016,Coliseum Street Elementary
6019806,28.3675,90016,Virginia Road Elementary
117614,34.18875,90016,New Los Angeles Charter
100669,38.719,90016,Stella Middle Charter Academy
6016489,39.01375,90016,Cienega Elementary
6018071,43.66375,90016,Marvin Elementary
6015929,49.9375,90016,Baldwin Hills Elementary
1964733,6.741666667,90017,Los Angeles Unified District Level Program
112870,12.69,90017,Contreras Learning Center-Los Angeles School Of Gl
114199,17.72625,90017,John H. Liechty Middle
6113419,21.01,90017,Gratts Learning Academy For Young Scholars (Glays)
6110969,22.97375,90017,Esperanza Elementary
127795,23.625,90017,Contreras Learning Center-School Of Social Justice
117721,26.565,90017,Contreras Learning Center-Academic Leadership Comm
127977,31.6175,90017,Metro Charter
112029,40.405,90017,School Of Business And Tourism At Contreras Learni
100289,44.06875,90017,N.E.W. Academy Of Science And Arts
6019236,14.23625,90018,Sixth Avenue Elementary
6061451,22.651875,90018,Foshay Learning Center
121848,27.527,90018,Crown Preparatory Academy
6019608,30.24333333,90018,Twenty-Fourth Street Elementary
122101,33.3375,90018,Carson-Gore Academy Of Enviornmental Studies
108910,37.10357143,90018,Celerity Nascent Charter
6019491,38.41375,90018,Birdielee V. Bright Elementary
1931070,45.36125,90018,Mid-City's Prescott School Of Enriched Sciences
126136,51.91,90018,Math And Science College Preparatory
128116,17.04714286,90019,Global Education Academy Middle
6015747,18.83875,90019,Alta Loma Elementary
6061535,20.3275,90019,"Johnnie Cochran, Jr., Middle"
6015861,21.80875,90019,Arlington Heights Elementary
129833,22.69,90019,Global Education Academy 2
1935352,28.835,90019,Los Angeles Senior High
