Zip,School score
94002,77.93127976
94005,60.415625
94010,80.133125
94014,32.81742063
94015,50.39391758
94019,44.6078125
94020,48.6775
94022,83.43119048
94024,88.39791667
94025,51.86547619
94027,71.38464286
94028,87.54458333
94030,69.62375
94037,41.60125
94040,65.20184375
94041,66.4825
94043,64.0221875
94044,56.99615079
94060,31.78634615
94061,48.42353571
94062,59.47185268
94063,36.03831044
94065,80.50175
94066,45.60386364
94070,79.95625149
94080,39.19479167
94085,45.4865625
94086,54.4903125
94087,73.22597222
94088,65.33
94089,51.228125
94102,25.1775
94103,30.14142857
94107,42.2446875
94108,56.8675
94109,50.63916667
94110,31.25806786
94111,8.173333333
94112,33.10427083
94114,35.68589286
94115,46.62522619
94116,70.17208333
94117,56.2275
94118,67.09125
94121,68.972
94122,60.15510204
94123,69.7352381
94124,24.61367857
94127,68.2009375
94131,48.85574405
94132,64.4875
94133,60.82625
94134,32.88642857
94301,80.87583333
94303,40.02445482
94305,78.575
94306,81.2603125
94401,59.19754464
94402,46.36609375
94403,48.75986607
94404,77.60375
94501,56.53538194
94502,81.92678571
94503,50.17041667
94505,54.57125
94506,80.8046875
94507,79.0825
94508,53.18666667
94509,22.57895982
94510,49.14267857
94513,47.56236765
94514,34.14458333
94515,38.2425
94516,66.305
94517,65.9925
94518,28.6765
94519,28.18729167
94520,20.72325
94521,42.826625
94523,52.19420455
94525,36.19
94526,71.487375
94530,48.11522222
94531,29.93758333
94533,26.48721202
94534,49.54301786
94535,55.665
94536,63.34775556
94538,57.51246131
94539,89.81916667
94540,28.21
94541,23.56351648
94542,38.7255
94544,21.64232576
94545,44.48887963
94546,53.8554513
94547,44.3
94548,34.79642857
94549,82.29333333
94550,52.29301948
94551,50.8825
94552,71.7096875
94553,43.29125
94555,82.673
94556,82.63375
94558,40.30519261
94559,34.5496875
94560,38.5172
94561,34.82751786
94563,84.22375
94564,33.17064286
94565,24.93854167
94566,70.55425
94567,18.32166667
94568,70.98068182
94571,31.33041667
94572,29.0325
94574,56.98291667
94577,33.5465625
94578,28.86375
94579,34.143
94580,37.666325
94582,84.4785
94583,74.78680556
94585,30.178875
94586,82.24571429
94587,45.126875
94588,81.09104167
94589,28.54095779
94590,25.14396429
94591,32.02723545
94592,20.36785714
94595,72.32958333
94596,73.41541667
94597,71.385
94598,64.50588542
94599,53.8275
94601,25.8453985
94602,32.9855
94603,20.86488636
94605,25.9999993
94606,33.79190476
94607,28.74874542
94608,36.12354762
94609,23.08366667
94610,46.1342
94611,64.6403125
94612,35.59933333
94618,66.55107143
94619,31.74533201
94621,20.95845952
94702,45.84625
94703,59.48208333
94704,61.968125
94705,61.2971875
94706,73.724
94707,53.399375
94708,69.40825
94709,65.4625
94710,47.24
94801,17.076375
94803,35.27044444
94804,23.36374546
94805,23.77112698
94806,30.00597778
94901,38.739875
94903,57.27206633
94904,75.4085
94920,79.964375
94923,54.55
94924,44.665
94925,77.5675
94928,42.15662088
94930,66.4475
94931,33.02642857
94939,55.7928125
94941,81.39107143
94945,53.005625
94946,47.915
94947,49.27546875
94949,49.87910714
94951,54.219
