Zip,Neighborhood,
94102,Tenderloin/Hayes Valley,
94103,South of Market,
94107,Potrero Hill,
94108,Chinatown,
94109,Russian Hill/Nob Hill,
94110,Mission/Bernal Hts,
94112,Excelsior/Crocker-Amazon,
94114,Castro/Noe Valley,
94115,Western Addition/Japantown,
94116,Parkside/Forest Hill,
94117,Haight-Ashbury,
94118,Inner Richmond,
94121,Outer Richmond,
94122,Sunset,
94123,Marina,
94124,Bayview/Hunters Point,
94127,Miraloma/West Portal,
94131,Twin Peaks/Glen Park,
94132,Lake Merced,
94133,North Beach,
94134,Sunnydale/Visitacion Valley,
