,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude,SF time,PA time,School score,Commute time
0,2412 Palmer Ave,Belmont,CA,94002,1459000,3,2,1360,5001,37.516781,-122.304623,63,33,77.9,33
1,1909 Hillman Ave,Belmont,CA,94002,1595000,4,2,2220,3999,37.521972,-122.294079,63,33,77.9,33
2,641 Waltermire St,Belmont,CA,94002,899999,2,1,840,4234,37.520233,-122.273144,63,33,77.9,33
3,2706 Sequoia Way,Belmont,CA,94002,1588000,3,2,1860,5210,37.520192,-122.309437,63,33,77.9,33
4,1568 Winding Way,Belmont,CA,94002,1999000,4,3.5,2900,16117.2,37.52428,-122.291241,63,33,77.9,33
5,1440 5th Ave,Belmont,CA,94002,1249950,2,1,1170,5001,37.516227,-122.272763,63,33,77.9,33
6,1527 Ridge Rd,Belmont,CA,94002,1485000,3,2,1220,5502,37.522964,-122.290578,63,33,77.9,33
7,1249 North Rd,Belmont,CA,94002,1995000,4,3.5,2720,9601,37.523886,-122.286862,63,33,77.9,33
8,685 South Rd,Belmont,CA,94002,1988000,3,3,2610,11325.6,37.520637,-122.281695,63,33,77.9,33
9,2501 Lincoln Ave,Belmont,CA,94002,1598000,3,2,1508,6100,37.518087,-122.306904,63,33,77.9,33
10,1569 Sixth Ave,Belmont,CA,94002,2198000,5,3,3160,11761.2,37.514502,-122.270684,63,33,77.9,33
11,2021 Lyon Ave,Belmont,CA,94002,1695000,3,2.5,1540,3951,37.522995,-122.298666,63,33,77.9,33
12,600 Kingston Rd,Belmont,CA,94002,2700000,3,2,2080,13939.2,37.522085,-122.281924,63,33,77.9,33
13,2417 Hastings Dr,Belmont,CA,94002,1795000,3,2.5,2210,3938,37.505247,-122.296336,63,33,77.9,33
14,213 Visitacion Ave,Brisbane,CA,94005,698000,1,1,850,2614,37.682818,-122.403095,37,63,60.4,37
15,260 Monterey St,Brisbane,CA,94005,1438000,4,2.5,2380,3485,37.683129,-122.401917,37,63,60.4,37
16,478 Kings Rd,Brisbane,CA,94005,1588000,3,3,1790,8712,37.678221,-122.400926,37,63,60.4,37
17,271 Humboldt Rd,Brisbane,CA,94005,1498000,3,2.5,2200,5663,37.683422,-122.406506,37,63,60.4,37
18,1812 Easton Dr,Burlingame,CA,94010,2670000,4,4.5,2790,5449,37.583493,-122.371662,55,50,80.1,50
19,413 Hillsborough Blvd,Hillsborough,CA,94010,4995000,4,3.5,3126,15246,37.561393,-122.35351,55,50,80.1,50
20,1060 Macadamia Dr,Hillsborough,CA,94010,3499000,5,4.5,3650,21780,37.571956,-122.381913,55,50,80.1,50
21,240 Pinehill Rd,Hillsborough,CA,94010,17900000,3,5.5,8930,89733.6,37.557535,-122.366068,55,50,80.1,50
22,119 Bridge Rd,Hillsborough,CA,94010,13880000,6,8.5,10510,75358.8,37.562276,-122.332823,55,50,80.1,50
23,1277 Balboa Ave,Burlingame,CA,94010,3300000,4,4,2698,5001,37.584879,-122.369784,55,50,80.1,50
24,109 DE Sabla Rd,Hillsborough,CA,94010,9875000,6,6.5,7883,38768.4,37.563543,-122.332768,55,50,80.1,50
25,1120 Bromfield Rd,Hillsborough,CA,94010,6800000,5,4.5,4620,15681.6,37.562958,-122.356265,55,50,80.1,50
26,1431 DE Soto Ave,Burlingame,CA,94010,1995000,3,2,1400,5458,37.583335,-122.377653,55,50,80.1,50
27,115 Robin Rd,Hillsborough,CA,94010,6150000,4,4.5,4400,87120,37.560115,-122.362224,55,50,80.1,50
28,1061 San Raymundo Rd,Hillsborough,CA,94010,7950000,6,8,8210,167270.4,37.559162,-122.353372,55,50,80.1,50
29,933 Baileyana Rd,Hillsborough,CA,94010,6498000,4,3.5,3985,15681.6,37.57541,-122.376887,55,50,80.1,50
30,1540 Los Montes Dr,Burlingame,CA,94010,2375000,4,2.5,2540,10454.4,37.575551,-122.395664,55,50,80.1,50
31,2600 Skyfarm Dr,Hillsborough,CA,94010,6250000,4,4.5,3980,51400.8,37.559441,-122.376945,55,50,80.1,50
32,610 El Cerrito Ave,Hillsborough,CA,94010,5488000,4,4.5,5030,25264.8,37.557494,-122.34254,55,50,80.1,50
33,1441 Alvarado Ave,Burlingame,CA,94010,2895000,3,2.5,2730,9130,37.579399,-122.381681,55,50,80.1,50
34,28 Bloomfield Rd,Burlingame,CA,94010,4498000,5,4.5,3586,7850,37.580125,-122.337185,55,50,80.1,50
35,1525 Los Montes Dr,Burlingame,CA,94010,2968000,5,4.5,3200,8581,37.57443,-122.395533,55,50,80.1,50
36,2831 Adeline Dr,Burlingame,CA,94010,2088000,3,2,1750,9374,37.58049,-122.384883,55,50,80.1,50
37,1130 Southdown Rd,Hillsborough,CA,94010,2795000,3,2,2140,14810.4,37.549525,-122.353203,55,50,80.1,50
38,2714 Easton Dr,Burlingame,CA,94010,4450000,5,3.5,3983,7436,37.578216,-122.378424,55,50,80.1,50
39,300 Sierra Dr,Hillsborough,CA,94010,4750000,4,4.5,3920,30492,37.55848,-122.3413,55,50,80.1,50
40,1375 Black Mountain Rd,Hillsborough,CA,94010,2750000,4,3,2950,30492,37.546956,-122.356316,55,50,80.1,50
41,2816 Easton Dr,Burlingame,CA,94010,3988000,6,5,4592,11761.2,37.577629,-122.380617,55,50,80.1,50
42,15 Pilarcitos Ct,Hillsborough,CA,94010,3950000,5,4.5,3678,63162,37.53208,-122.360139,55,50,80.1,50
43,1308 Castillo Ave,Burlingame,CA,94010,4685000,4,3,3010,5998,37.580134,-122.376543,55,50,80.1,50
44,1541 Burlingame Ave,Burlingame,CA,94010,4895000,4,3.5,3524,8533,37.57489,-122.35068,55,50,80.1,50
45,2856 Adeline Dr,Burlingame,CA,94010,2595000,4,3,3420,37026,37.581942,-122.386352,55,50,80.1,50
46,20 Santa Felicia Ct,Hillsborough,CA,94010,4888000,6,6.5,5460,31798.8,37.5446,-122.335055,55,50,80.1,50
47,926 Baileyana Rd,Hillsborough,CA,94010,5798000,4,3.5,5275,15246,37.575396,-122.376229,55,50,80.1,50
48,463 El Arroyo Rd,Hillsborough,CA,94010,5750000,5,4.5,4650,27878.4,37.561287,-122.357211,55,50,80.1,50
49,430 Moseley Rd,Hillsborough,CA,94010,3980000,4,3,3392,30056.4,37.554255,-122.366276,55,50,80.1,50
50,45 W Avondale Rd,Hillsborough,CA,94010,3550000,5,3,3650,21780,37.545087,-122.358901,55,50,80.1,50
51,760 Crystal Springs Rd,Hillsborough,CA,94010,5395000,5,6.5,6175,27878.4,37.553632,-122.339017,55,50,80.1,50
52,1369 DE Soto Ave,Burlingame,CA,94010,2788000,4,3,2590,5998,37.582089,-122.375657,55,50,80.1,50
53,2116 Broadway,Burlingame,CA,94010,2380000,3,2,2040,5998,37.579594,-122.370662,55,50,80.1,50
54,150 Woodridge Rd,Hillsborough,CA,94010,4399000,6,4.5,5225,21780,37.546746,-122.349641,55,50,80.1,50
55,10 Bluebell Ln,Hillsborough,CA,94010,2999000,4,4,4580,23522.4,37.538101,-122.352787,55,50,80.1,50
56,320 Robinwood Ln,Hillsborough,CA,94010,5800000,4,5,5042,22651.2,37.550397,-122.363582,55,50,80.1,50
57,835 Longview Rd,Hillsborough,CA,94010,3490000,4,3,2940,19166.4,37.553235,-122.34377,55,50,80.1,50
58,2435 Summit Dr,Hillsborough,CA,94010,4398000,5,4,3870,16552.8,37.574844,-122.378382,55,50,80.1,50
59,790 Bowhill Rd,Hillsborough,CA,94010,3695000,4,3,3426,21780,37.553233,-122.341034,55,50,80.1,50
60,205 Glen Aulin Ln,Burlingame,CA,94010,4680000,5,4.5,4543,10018.8,37.571608,-122.388525,55,50,80.1,50
61,147 Oakridge Dr,Daly City,CA,94014,898000,3,2,1270,6098,37.706337,-122.428012,43,68,32.8,43
62,488 Willits St,Daly City,CA,94014,999950,4,2,1668,3001,37.696958,-122.468144,43,68,32.8,43
63,1003 Ocean View Ave,Daly City,CA,94014,1089000,3,2.5,2304,1647,37.702138,-122.459186,43,68,32.8,43
64,410 Ford St,Daly City,CA,94014,1188000,3,3,1770,2500,37.693655,-122.458581,43,68,32.8,43
65,267 Abbot Ave,Daly City,CA,94014,799888,2,1,1030,8002,37.694966,-122.460759,43,68,32.8,43
66,Nouveau,Daly City,CA,94014,1496995,4,3.5,2853,,37.700511,-122.413499,43,68,32.8,43
67,516 Southhill Blvd,Daly City,CA,94014,899000,3,2,1190,4591,37.705111,-122.439669,43,68,32.8,43
68,116 Woodrow St,Daly City,CA,94014,575000,2,1,770,3049,37.702763,-122.467878,43,68,32.8,43
69,2 Rosebud Ct,Daly City,CA,94014,1075000,3,3,1573,1307,37.686842,-122.462254,43,68,32.8,43
70,357 Winchester St,Daly City,CA,94014,775000,3,2,1795,2614,37.705638,-122.454465,43,68,32.8,43
71,262 Alta Vista Way,Daly City,CA,94014,949000,4,3,,5227,37.704323,-122.440502,43,68,32.8,43
72,41 Frankfort St,Daly City,CA,94014,799000,3,2,1390,2178,37.706855,-122.442132,43,68,32.8,43
73,271 Irvington St,Daly City,CA,94014,885000,4,2,1060,2500,37.706816,-122.455574,43,68,32.8,43
74,67 Royce Way,Daly City,CA,94014,1049000,3,2,1190,2300,37.691921,-122.454471,43,68,32.8,43
75,169 Parkview Ave,Daly City,CA,94014,1100000,3,2,2045,2614,37.70106,-122.465611,43,68,32.8,43
76,333 Peoria St,Daly City,CA,94014,699000,4,1,1130,4792,37.703009,-122.457669,43,68,32.8,43
77,143 Hillcrest Dr,Daly City,CA,94014,998000,5,3,1610,2500,37.706198,-122.465006,43,68,32.8,43
78,995 Ocean View Ave,Daly City,CA,94014,1349000,3,2.5,2265,1721,37.701838,-122.459199,43,68,32.8,43
79,35-39 Mission Cir,Daly City,CA,94014,1100000,3,2,1922,2675,37.706438,-122.462072,43,68,32.8,43
80,339 Frankfort St,Daly City,CA,94014,1150000,5,3,1990,3001,37.704563,-122.448722,43,68,32.8,43
81,1 Martin,Daly City,CA,94014,1521995,5,4.5,2914,2448,37.700645,-122.413588,43,68,32.8,43
82,Ascend,Daly City,CA,94014,1519995,4,3.5,3028,,37.700511,-122.413499,43,68,32.8,43
83,149 Abbot Ave,Daly City,CA,94014,845000,3,2,1160,2614,37.696804,-122.460812,43,68,32.8,43
84,225 Baltimore Way,Daly City,CA,94014,928000,2,1,1320,3485,37.707794,-122.434992,43,68,32.8,43
85,308 2nd Ave,Daly City,CA,94014,950000,3,2,1550,2178,37.687614,-122.463408,43,68,32.8,43
86,280 E Market St,Daly City,CA,94014,1000000,3,3,1300,1742,37.689529,-122.462458,43,68,32.8,43
87,1004 Ocean View Ave,Daly City,CA,94014,1264039,4,3.5,2209,1400,37.702278,-122.459486,43,68,32.8,43
88,1 Martin St,Daly City,CA,94014,1521995,5,4.5,2917,2450,37.700645,-122.413588,43,68,32.8,43
89,27 Westline Dr,Daly City,CA,94015,1095000,4,2,2250,3302,37.665708,-122.491148,39,60,50.4,39
90,54 Pinehaven Dr,Daly City,CA,94015,998888,3,1.5,1330,3798,37.694335,-122.489783,39,60,50.4,39
91,263 St Catherine Dr,Daly City,CA,94015,1088000,3,2.5,1720,3485,37.677777,-122.481378,39,60,50.4,39
92,141 Ashland Dr,Daly City,CA,94015,988000,3,1,1300,3202,37.697797,-122.491506,39,60,50.4,39
93,103 Village Ln,Daly City,CA,94015,1050000,2,1,1440,4792,37.693917,-122.474867,39,60,50.4,39
94,142 Belcrest Ave,Daly City,CA,94015,698000,3,1,107,3300,37.664659,-122.490835,39,60,50.4,39
95,144 Westmoor Ave,Daly City,CA,94015,979888,3,2,1410,3485,37.683469,-122.485283,39,60,50.4,39
96,119 Lycett Cir,Daly City,CA,94015,999888,4,3,1760,3920,37.655603,-122.465311,39,60,50.4,39
97,575 Verducci Dr,Daly City,CA,94015,995000,4,3,1790,3049,37.650607,-122.462161,39,60,50.4,39
98,144 Mirada Dr,Daly City,CA,94015,1390000,5,4,1995,3485,37.683174,-122.476037,39,60,50.4,39
99,1039 87th St,Daly City,CA,94015,998000,4,1,1620,3402,37.692624,-122.489984,39,60,50.4,39
100,19 Fairmont Dr,Daly City,CA,94015,988888,3,2,1430,3402,37.700386,-122.492919,39,60,50.4,39
101,824 Ellis Dr,Daly City,CA,94015,849000,2,1,910,5227,37.695659,-122.485014,39,60,50.4,39
102,98 Huntington Dr,Daly City,CA,94015,990000,3,2,1160,3485,37.68119,-122.485308,39,60,50.4,39
103,264 San Fernando Way,Daly City,CA,94015,980000,6,4,2170,3485,37.680877,-122.477281,39,60,50.4,39
104,63 Montebello Dr,Daly City,CA,94015,948888,3,1,1060,3960,37.665504,-122.488172,39,60,50.4,39
105,227 Del Prado Dr,Daly City,CA,94015,999000,4,3,1640,3485,37.6789,-122.47962,39,60,50.4,39
106,78 Norwood Ave,Daly City,CA,94015,989000,4,1,1030,4487,37.657944,-122.464641,39,60,50.4,39
107,620 Larchmont Dr,Daly City,CA,94015,1198000,4,2,1454,7261,37.68751,-122.483151,39,60,50.4,39
108,60 Westdale Ave,Daly City,CA,94015,895000,2,1,1220,3485,37.706551,-122.478206,39,60,50.4,39
109,35 Wembley Dr,Daly City,CA,94015,923000,3,2,1330,3485,37.662346,-122.470023,39,60,50.4,39
110,196 Castillejo Dr,Daly City,CA,94015,1150000,4,3,1520,3428,37.669478,-122.481289,39,60,50.4,39
111,1096 S Mayfair Ave,Daly City,CA,94015,1088000,4,2,1611,3485,37.692919,-122.493928,39,60,50.4,39
112,80 Beachside Ct,Daly City,CA,94015,1095000,3,2,1250,3920,37.662663,-122.490612,39,60,50.4,39
113,265 Westridge Ave,Daly City,CA,94015,1160000,5,3,1650,3485,37.689245,-122.494006,39,60,50.4,39
114,32 Fairlawn Ct,Daly City,CA,94015,1095000,4,3,1619,3485,37.696408,-122.485985,39,60,50.4,39
115,50 Parkwood Dr,Daly City,CA,94015,1250000,3,3,2010,3498,37.701005,-122.479466,39,60,50.4,39
116,47 Fairmont Dr,Daly City,CA,94015,1188000,3,2,1910,3485,37.700999,-122.493205,39,60,50.4,39
117,1321 S Mayfair Ave,Daly City,CA,94015,1180000,4,2,1759,3485,37.688107,-122.488881,39,60,50.4,39
118,82 Nelson Ct,Daly City,CA,94015,1049000,4,2,1470,3485,37.653224,-122.466714,39,60,50.4,39
119,425 Almeria Ave,El Granada,CA,94018,1399000,3,3,2950,4948,37.510296,-122.479271,60,63,,60
120,281 Shelter Cove Dr,El Granada,CA,94018,1050000,3,2,1480,5401,37.512089,-122.487694,60,63,,60
121,822 San Carlos Ave,El Granada,CA,94018,1680000,3,3.5,3308,9378,37.510922,-122.478182,60,63,,60
122,246 San Clemente Rd,El Granada,CA,94018,1295000,3,2.5,2850,13503.6,37.506992,-122.465521,60,63,,60
123,247 Columbus St,El Granada,CA,94018,1100000,3,1.5,1250,6251,37.505881,-122.477007,60,63,,60
124,346 Carmel Ave,El Granada,CA,94018,1199000,4,3,1690,6098,37.507628,-122.476076,60,63,,60
125,230 El Granada Blvd,El Granada,CA,94018,1295000,5,3.5,2610,6970,37.506019,-122.463408,60,63,,60
126,301 Myrtle St,Half Moon Bay,CA,94019,949950,2,2,1160,7505,37.458826,-122.439504,60,63,44.6,60
127,2065 Touraine Ln,Half Moon Bay,CA,94019,1150000,3,2,1790,7292,37.486464,-122.443465,60,63,44.6,60
128,380 Burning Tree Ct,Half Moon Bay,CA,94019,1615000,4,2.5,3470,5502,37.433363,-122.42971,60,63,44.6,60
129,2165 Higgins Canyon Rd,Half Moon Bay,CA,94019,4750000,6,4.5,4500,422967.6,37.441217,-122.398012,60,63,44.6,60
130,630 Miramar Dr,Half Moon Bay,CA,94019,2390000,5,4,4140,9919,37.495994,-122.450164,60,63,44.6,60
131,11650 San Mateo Rd,Half Moon Bay,CA,94019,2750000,3,2,9999,1267160.4,37.492657,-122.389679,60,63,44.6,60
132,516 Highland Ave,Half Moon Bay,CA,94019,1475000,4,3,3083,8799,37.472595,-122.434001,60,63,44.6,60
133,221 Correas St,Half Moon Bay,CA,94019,2495000,5,4,3722,10018.8,37.46306,-122.441104,60,63,44.6,60
134,401 Antoinette Ln,Half Moon Bay,CA,94019,1279000,3,2,1460,5998,37.475874,-122.444865,60,63,44.6,60
135,400 Irish Ridge Rd,Half Moon Bay,CA,94019,2950000,3,3,2250,1742400,37.405953,-122.376164,60,63,44.6,60
136,320 Coronado Ave,Half Moon Bay,CA,94019,1525000,3,3,2250,8799,37.49724,-122.459268,60,63,44.6,60
137,437 Seymour St,Half Moon Bay,CA,94019,2000000,4,4.5,3862,9875,37.453516,-122.434747,60,63,44.6,60
138,41 Turnberry Rd,Half Moon Bay,CA,94019,2000000,4,2.5,3924,7200,37.437978,-122.435308,60,63,44.6,60
139,412 Magellan Ave,Half Moon Bay,CA,94019,1865000,4,3,3011,8799,37.498661,-122.458785,60,63,44.6,60
140,231 Shelter Cove Dr,El Granada,CA,94019,849000,2,1,1010,5502,37.5114,-122.487406,60,63,44.6,60
141,160 Turnberry Rd,Half Moon Bay,CA,94019,1769000,5,3,3266,7139,37.437393,-122.433425,60,63,44.6,60
142,48 Harvard Ave,Half Moon Bay,CA,94019,575000,2,1,672,3498,37.503444,-122.492558,60,63,44.6,60
143,217 Miramontes Ave,Half Moon Bay,CA,94019,1725000,4,2.5,3285,7405,37.464057,-122.441126,60,63,44.6,60
144,655 Santiago Ave,Half Moon Bay,CA,94019,1795000,3,3.5,2180,4848,37.500373,-122.461959,60,63,44.6,60
145,731 El Granada Blvd,El Granada,CA,94019,2198000,4,3.5,4424,8799,37.514695,-122.463044,60,63,44.6,60
146,4 Pinehurst Ln,Half Moon Bay,CA,94019,1459000,3,3,2374,4622,37.436191,-122.433442,60,63,44.6,60
147,688 Silver Ave,Half Moon Bay,CA,94019,1395000,3,2.5,2210,8712,37.476435,-122.430963,60,63,44.6,60
148,251 Granelli Ave,Half Moon Bay,CA,94019,1695000,4,2.5,2940,5502,37.459575,-122.439908,60,63,44.6,60
149,2029 Bordeaux Ln,Half Moon Bay,CA,94019,1299000,5,3,2710,8120,37.485478,-122.444735,60,63,44.6,60
150,14 Pinehurst Ln,Half Moon Bay,CA,94019,1465000,3,2.5,2715,4386,37.436079,-122.432517,60,63,44.6,60
151,324 Garcia Ave,Half Moon Bay,CA,94019,1600000,4,2,2098,8098,37.460368,-122.439957,60,63,44.6,60
152,262 San Clemente Rd,El Granada,CA,94019,1195000,3,2,1480,9901,37.507318,-122.465276,60,63,44.6,60
153,400 Redondo Beach Rd,Half Moon Bay,CA,94019,1349000,3,2,1122,7871,37.440137,-122.433238,60,63,44.6,60
154,28 Pinehurst Ln,Half Moon Bay,CA,94019,1575000,3,2.5,2300,4957,37.435741,-122.4315,60,63,44.6,60
155,2350 Winged Foot Rd,Half Moon Bay,CA,94019,1675000,4,3,2940,8207,37.431633,-122.432273,60,63,44.6,60
156,409 Saint Joseph Ave,Half Moon Bay,CA,94019,1299888,4,2,2060,5998,37.475678,-122.44369,60,63,44.6,60
157,2639 Higgins Canyon Rd,Half Moon Bay,CA,94019,1899000,4,2.5,2470,59241.6,37.438645,-122.391569,60,63,44.6,60
158,127 Carnoustie Dr,Half Moon Bay,CA,94019,2795000,4,4,4214,10018.8,37.439159,-122.436809,60,63,44.6,60
159,123 Ocean Ave,Half Moon Bay,CA,94019,2300000,1,2,2590,2500,37.463629,-122.441864,60,63,44.6,60
160,574 Kelly St,Half Moon Bay,CA,94019,1290000,2,2.5,1676,2474,37.463569,-122.430962,60,63,44.6,60
161,120 Hildebrand Rd,La Honda,CA,94020,2250000,4,3,3972,874684.8,37.325935,-122.262257,88,50,48.7,50
162,137 Shelden Rd,La Honda,CA,94020,699000,3,2,1310,30056.4,37.311694,-122.273913,88,50,48.7,50
163,13940 Pescadero Rd,La Honda,CA,94020,598000,2,1,700,19166.4,37.298959,-122.264164,88,50,48.7,50
164,30 Blind St,La Honda,CA,94020,898000,4,2,1730,26136,37.309328,-122.276524,88,50,48.7,50
165,126 Canada Vis,La Honda,CA,94020,1425000,3,2.5,3080,20473.2,37.319662,-122.269679,88,50,48.7,50
166,7145 LA Honda Rd,La Honda,CA,94020,1599000,1,1,837,444747.6,37.315604,-122.28855,88,50,48.7,50
167,138 Back Rd,La Honda,CA,94020,1750000,3,3.5,2580,192535.2,37.260359,-122.207863,88,50,48.7,50
168,265 Portola State Park Rd,La Honda,CA,94020,2298000,3,2,2720,519235.2,37.267417,-122.209415,88,50,48.7,50
169,8125 LA Honda Rd,La Honda,CA,94020,1249000,4,1,1410,59241.6,37.311208,-122.277887,88,50,48.7,50
170,26460 Taaffe Rd,Los Altos Hills,CA,94022,3650000,4,4.5,4247,43995.6,37.364845,-122.141915,65,21,83.4,21
171,725 University Ave,Los Altos,CA,94022,6800000,5,3,4122,20473.2,37.370134,-122.114851,65,21,83.4,21
172,27861 Natoma Rd,Los Altos Hills,CA,94022,16000000,6,7.5,8680,130680,37.370415,-122.153154,65,21,83.4,21
173,28011 Elena Rd,Los Altos Hills,CA,94022,30000000,6,5.5,8912,2090880,37.383114,-122.155711,65,21,83.4,21
174,3849 Page Mill Rd,Los Altos Hills,CA,94022,2980000,4,4.5,5008,435600,37.342421,-122.172902,65,21,83.4,21
175,706 Orange Ave,Los Altos,CA,94022,3550000,3,2.5,1478,6599,37.370507,-122.114623,65,21,83.4,21
176,27500 La Vida Real,Los Altos Hills,CA,94022,49990000,5,7.5,20982,349786.8,37.366472,-122.149971,65,21,83.4,21
177,12501 Zappettini Ct,Los Altos Hills,CA,94022,8888000,6,7.5,8625,49658.4,37.365122,-122.16531,65,21,83.4,21
178,27440 Sherlock Ct,Los Altos Hills,CA,94022,3395000,4,3,3085,45302.4,37.35916,-122.16082,65,21,83.4,21
179,780 S El Monte Ave,Los Altos,CA,94022,5495888,5,4.5,4450,17859.6,37.36731,-122.11343,65,21,83.4,21
180,27466 Sunrise Farm Rd,Los Altos Hills,CA,94022,9488000,6,5.5,6922,57063.6,37.366367,-122.154709,65,21,83.4,21
181,12661 Robleda Rd,Los Altos Hills,CA,94022,8950000,5,6,10332,87120,37.367848,-122.134455,65,21,83.4,21
182,212 Del Monte Ave,Los Altos,CA,94022,2098000,2,1,1055,6077,37.397408,-122.118699,65,21,83.4,21
183,111 S Gordon Way,Los Altos,CA,94022,6988000,5,4.5,4452,19166.4,37.365597,-122.148499,65,21,83.4,21
184,13830 Page Mill Rd,Los Altos Hills,CA,94022,12988888,4,2.5,2131,219106.8,37.382022,-122.164075,65,21,83.4,21
185,476 Mundell Way,Los Altos,CA,94022,3798000,4,3.5,2958,25264.8,37.400126,-122.124814,65,21,83.4,21
186,370 Juanita Way,Los Altos,CA,94022,3488000,5,3,2953,13068,37.391149,-122.12303,65,21,83.4,21
187,13981 Fremont Pines Ln,Los Altos Hills,CA,94022,8800000,5,4.5,5166,49222.8,37.38209,-122.131645,65,21,83.4,21
188,640 Palm Ave,Los Altos,CA,94022,2998000,3,3,2099,7466,37.371525,-122.114607,65,21,83.4,21
