,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price
0,540 Shotwell St,San Francisco,94110,4,3,1801,0.08,1900,1,Single Family Residence,1599000
1,76 Cortland Ave,San Francisco,94110,3,2.5,1392,0.029,1995,3,Single Family Residence,1849000
2,135 Holladay Ave,San Francisco,94110,3,2,2337,0.04,1900,0,Single Family Residence,1700000
0,546 Paris St,San Francisco,94112,2,1,1250,0.057,1925,2,Single Family Residence,899000
0,688 Clipper St,San Francisco,94114,4,3.5,2388,0.081,2000,4,Single Family Residence,2800000
0,2094 Bush St,San Francisco,94115,4,3.5,2600,0.047,1878,0,Single Family Residence,2790000
0,2355 46th Ave,San Francisco,94116,3,2,1550,0.069,1939,1,Single Family Residence,1188000
1,2828 Wawona St,San Francisco,94116,3,2,1475,0.057,1948,1,Single Family Residence,1196000
2,3015 Ulloa St,San Francisco,94116,5,2.5,1881,0.071,1926,1,Single Family Residence,1389000
0,969 Buena Vista Ave,San Francisco,94117,10,4,8654,0.041,1904,0,Single Family Residence,7500000
0,2736 Fulton Sreet,San Francisco,94118,5,5.5,3270,0.065,1925,2,Single Family Residence,2998000
1,3990 Washington St,San Francisco,94118,6,7.5,7600,0.102,1909,4,Single Family Residence,9950000
0,595 44th Ave,San Francisco,94121,4,3,2200,0.052,1922,1,Single Family Residence,1850000
1,849 26th Ave,San Francisco,94121,4,5,2722,0.063,1920,2,Single Family Residence,2295000
2,463 27th Ave,San Francisco,94121,5,3,2282,0.069,1921,2,Single Family Residence,2000000
0,3827 Lincoln Way,San Francisco,94122,3,1,1820,0.057,1925,2,Single Family Residence,998000
1,1483 19th Ave,San Francisco,94122,3,2,1495,0.053,1922,1,Single Family Residence,1300000
0,1487 Underwood Ave,San Francisco,94124,5,2,1488,0.057,1932,1,Single Family Residence,950000
1,Newhall Street,San Francisco,94124,3,2,1472,0.026,1999,0,Single Family Residence,899000
2,833 Ingerson Ave,San Francisco,94124,5,3.5,2401,0.057,2006,2,Single Family Residence,1499000
3,1370 Quesada Ave,San Francisco,94124,4,1.5,1211,0.057,1955,1,Single Family Residence,814900
4,1426 Underwood Ave,San Francisco,94124,5,2,1596,0.077,1940,1,Single Family Residence,799995
0,153 Warren Dr,San Francisco,94131,3,3,1800,0.076,1958,2,Single Family Residence,1688000
0,140 Winston Dr,San Francisco,94132,4,3.5,3112,0.12,1951,2,Single Family Residence,2288000
0,256 Gambier St,San Francisco,94134,2,2,825,0.071,1908,1,Single Family Residence,888000
1,1360 Wayland St,San Francisco,94134,4,2,2262,0.057,1981,2,Single Family Residence,1498000
0,47 Partridge Dr,San Rafael,94901,4,3,2510,0.164,1989,2,Single Family Residence,1298000
0,224 Blackstone Dr,San Rafael,94903,4,2,1260,0.174,1955,2,Single Family Residence,925000
0,54 Dolphin Isle,Novato,94949,3,3,2316,0.215,1987,2,Single Family Residence,1690000
1,62 Pizzaro Ave,Novato,94949,4,2.5,2350,0,1998,2,Single Family Residence,988888
0,232 Michele Cir,Novato,94947,4,3,1800,0.222,1970,2,Single Family Residence,875000
0,659 George St,Montara,94037,3,2,1952,0.143,1965,2,Single Family Residence,1100000
1,586 6th St,Montara,94037,4,2.5,2220,0.115,2007,2,Single Family Residence,1345000
2,741 Harte St,Montara,94037,3,2,1800,0.143,1976,2,Single Family Residence,1165000
3,202 11th St,Montara,94037,4,3,3087,0.207,2004,3,Single Family Residence,1978000
4,222 2nd St,Montara,94037,1,1,1000,0.264,1906,2,Single Family Residence,998000
5,771 Rivera Rd,Montara,94037,3,2.5,2600,0.006,1950,6,Single Family Residence,10000000
0,254 Reed Blvd,Mill Valley,94941,5,4,3189,0.241,1951,2,Single Family Residence,1999999
0,19 Haven Way,Napa,94558,4,3.5,3587,0.149,2004,3,Single Family Residence,1065000
1,3260 Redwood Rd,Napa,94558,3,3,3544,3.22,1953,2,Single Family Residence,2300000
2,1025 Matt Dr,Napa,94558,3,2,1951,0.211,1972,2,Single Family Residence,639000
3,1771 Wooden Valley,Napa,94558,2,1,763,0.88,1930,0,Single Family Residence,475000
0,32 Tarabrook Dr,Orinda,94563,3,2,1404,0.278,1961,2,Single Family Residence,1095000
1,111 Sleepy Hollow Lane,Orinda,94563,3,2,1932,0.51,1953,2,Single Family Residence,1495000
2,18 Via Hermosa,Orinda,94563,4,3,2411,0.42,1947,2,Single Family Residence,2495000
3,9 La Senda,Orinda,94563,6,4.5,5744,0.49,1963,2,Single Family Residence,1850000
4,228 Camino Sobrante,Orinda,94563,3,2,1929,0.5,1954,1,Single Family Residence,1495000
5,12 Lind Ct,Orinda,94563,3,2,2240,0.52,1961,1,Single Family Residence,1680000
6,10 Broadview Ter,Orinda,94563,4,3,2500,0.65,1951,2,Single Family Residence,1750000
7,19 Donald Dr,Orinda,94563,3,3,3294,0.48,1959,2,Single Family Residence,1795000
8,5 Loma Linda Ct,Orinda,94563,3,2,1728,0.29,1948,2,Single Family Residence,1165000
9,46 Zander Ct,Orinda,94563,4,3,2932,0.93,1967,2,Single Family Residence,1649000
10,14 Ramona Drive,Orinda,94563,4,4,3994,0.33,2006,2,Single Family Residence,1998000
11,29 Canyon View,Orinda,94563,5,4,4000,0.94,1974,3,Single Family Residence,2295000
12,200 Hall Dr,Orinda,94563,5,3.5,4400,5.07,2010,6,Single Family Residence,3180000
13,325 Miller Ct,Orinda,94563,5,4,3939,1.01,2014,2,Single Family Residence,2698000
14,8 Hidden Ln,Orinda,94563,5,3.5,4562,1.31,1973,2,Single Family Residence,1895000
15,537 The Glade,Orinda,94563,3,2,2127,0.132,1985,2,Single Family Residence,1399000
16,51 Charles Hill Rd,Orinda,94563,5,5,3430,0.62,1948,2,Single Family Residence,1925000
