,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Price,Longitude,Latitude,Price per sqft,Price per lot sqft
0,29,62 Pizzaro Ave,Novato,94949,4,2.5,2350,0.0,1998,2,988888,0.0,0.0,420.8034042553192,0.0
1,704,24172 Zorro Ct,Hayward,94541,3,2.0,1040,0.0,1952,2,760000,-122.0648828,37.67361831,730.7692307692308,0.0
2,788,62 Carlyn Ave,Campbell,95008,3,2.0,1820,0.0,1951,2,1698000,-121.9561175,37.28809819,932.9670329670329,0.0
3,1172,6736 Ilex Ct,San Jose,95119,4,3.5,2330,0.0,2019,2,1091254,0.0,0.0,468.34935622317596,0.0
4,2008,1428 Mast Cove,Richmond,94804,3,2.5,1742,0.0,2019,2,782990,0.0,0.0,449.47761194029846,0.0
5,2009,1440 Mast Cove,Richmond,94804,2,2.5,1622,0.0,2019,2,762990,0.0,0.0,470.4007398273737,0.0
6,2319,416 Colina Way,El Sobrante,94803,3,2.5,2131,0.0,2019,2,646000,0.0,0.0,303.14406381980285,0.0
7,2320,442 Colina Way,El Sobrante,94803,3,2.5,2033,0.0,2019,2,679000,0.0,0.0,333.98917855386134,0.0
8,2402,606 Chives Way,Walnut Creek,94596,3,2.5,2011,0.0,2018,2,1199000,0.0,0.0,596.2207856787668,0.0
9,2639,2875 Glascock St,Oakland,94601,1,1.0,985,0.0,2002,1,599000,-122.23462990000002,37.77236223,608.1218274111675,0.0
10,2937,2394 Mariner Square Dr B-5,Alameda,94501,1,1.0,640,0.0,1969,0,420000,0.0,0.0,656.25,0.0
11,2947,Adeline St,Oakland,94608,2,2.0,1004,0.0,1965,1,725000,-122.2760963,37.8369514,722.1115537848607,0.0
12,2952,1500 Park Ave,Emeryville,94608,1,1.0,1456,0.0,1921,1,748000,-122.289246,37.830613,513.7362637362637,0.0
13,3034,1310 A Haskell Street,Berkeley,94702,3,2.5,1726,0.0,2019,1,1295000,-122.28290859999998,37.85110129,750.2896871378911,0.0
14,3132,806 Page St,Berkeley,94710,3,2.0,1249,0.0,2017,0,1199000,-122.3013047,37.87614231,959.9679743795036,0.0
15,3509,24172 Zorro Ct,Hayward,94541,3,2.0,1040,0.0,1952,2,760000,-122.0648828,37.67361831,730.7692307692308,0.0
16,36,771 Rivera Rd,Montara,94037,3,2.5,2600,0.006,1950,6,10000000,0.0,0.0,3846.1538461538457,38261.40189776553
17,617,771 Rivera Rd,Montara,94037,3,2.5,2600,0.006,1950,6,10000000,0.0,0.0,3846.1538461538457,38261.40189776553
18,648,301 Ranch Rd,Pescadero,94060,4,5.0,5100,0.004,1965,2,6395000,-122.36143,37.243783,1253.921568627451,36702.24977043159
19,4726,301 Ranch Rd,Pescadero,94060,4,5.0,5100,0.004,1965,2,6395000,-122.36143,37.243783,1253.921568627451,36702.24977043159
20,301,145 Bear Gulch Rd,San Gregorio,94074,1,1.0,800,0.006999999999999999,1910,0,4995000,-122.3374989,37.34991368,6243.75,16381.345926800475
21,4534,699 Ryder Rd,Scotts Valley,95066,3,3.0,4012,0.004,1987,4,2799000,0.0,0.0,697.6570289132602,16064.04958677686
22,3833,19665 Oat Hill Rd,Middletown,95461,4,1.5,1574,0.003,1945,0,1250000,0.0,0.0,794.1550190597203,9565.350474441382
23,3843,14051 Ettawa Springs Rd,Middletown,95461,4,0.0,2232,0.003,1900,0,895000,0.0,0.0,400.98566308243727,6848.790939700029
24,9,969 Buena Vista Ave,San Francisco,94117,10,4.0,8654,0.041,1904,0,7500000,0.0,0.0,866.651259533164,4199.422159510852
26,4770,34349 Los Gatos Rd,Coalinga,93210,6,4.0,3420,0.004,2004,6,550000,0.0,0.0,160.81871345029242,3156.565656565657
27,277,638 Middlefield Rd,Palo Alto,94301,4,3.5,1925,0.026,2015,0,3349500,-122.15529840000002,37.4490476,1740.0,2957.459207459207
28,1086,638 Middlefield Rd,Palo Alto,94301,4,3.5,1925,0.026,2015,0,3349500,-122.15529840000002,37.4490476,1740.0,2957.459207459207
31,11,3990 Washington St,San Francisco,94118,6,7.5,7600,0.102,1909,4,9950000,-122.4590702,37.788604,1309.2105263157896,2239.417346369218
36,4471,110 21st Ave,Santa Cruz,95062,3,3.0,2361,0.053,1953,2,4475000,-121.985344,36.96053978,1895.3833121558664,1938.3370584056693
38,495,1961 Menalto Ave,Menlo Park,94025,2,1.5,970,0.024,1950,1,1599000,-122.1525189,37.46058165,1648.4536082474224,1529.4995408631771
39,1,76 Cortland Ave,San Francisco,94110,3,2.5,1392,0.029,1995,3,1849000,-122.4213333,37.74032213,1328.3045977011495,1463.6965263924512
41,5,2094 Bush St,San Francisco,94115,4,3.5,2600,0.047,1878,0,2790000,-122.4316214,37.78733898,1073.076923076923,1362.7571654650958
44,275,543 Seale Ave,Palo Alto,94301,7,6.5,5673,0.23,2019,1,11880000,-122.1414593,37.4382037,2094.130089899524,1185.7707509881425
45,1084,543 Seale Ave,Palo Alto,94301,7,6.5,5673,0.23,2019,1,11880000,-122.1414593,37.4382037,2094.130089899524,1185.7707509881425
46,3486,43113 Calle Sagrada,Fremont,94539,4,3.5,2277,0.032,2019,2,1599000,0.0,0.0,702.2397891963109,1147.124655647383
47,261,2130 Byron St,Palo Alto,94301,5,4.5,4591,0.152,2017,1,7495000,-122.1373199,37.43719075,1632.5419298627749,1131.9837127253395
48,1070,2130 Byron St,Palo Alto,94301,5,4.5,4591,0.152,2017,1,7495000,-122.1373199,37.43719075,1632.5419298627749,1131.9837127253395
49,515,1701 Stone Pine Ln,Menlo Park,94025,2,2.5,2220,0.044,1965,2,2108000,-122.191381,37.460181,949.5495495495495,1099.8413890975874
52,805,20586 Murano Cir,Cupertino,95014,4,4.0,2003,0.04,2005,2,1899000,-122.033218,37.2995935,948.0778831752373,1089.8760330578511
54,4788,981 New Idria Rd,Paicines,95043,3,1.0,1091,0.039,1897,0,1800000,0.0,0.0,1649.8625114573786,1059.5465140919687
55,10,2736 Fulton Sreet,San Francisco,94118,5,5.5,3270,0.065,1925,2,2998000,0.0,0.0,916.8195718654434,1058.8401497492407
56,273,224 N California Ave,Palo Alto,94301,2,1.5,886,0.042,1934,1,1898000,-122.1400172,37.4321565,2142.212189616253,1037.4305828851282
57,1082,224 N California Ave,Palo Alto,94301,2,1.5,886,0.042,1934,1,1898000,-122.1400172,37.4321565,2142.212189616253,1037.4305828851282
58,279,1800 Webster St,Palo Alto,94301,5,5.5,5158,0.172,1989,1,7398000,-122.1417212,37.4390372,1434.2768514928266,987.411108975591
59,1088,1800 Webster St,Palo Alto,94301,5,5.5,5158,0.172,1989,1,7398000,-122.1417212,37.4390372,1434.2768514928266,987.411108975591
60,2,135 Holladay Ave,San Francisco,94110,3,2.0,2337,0.04,1900,0,1700000,-122.405226,37.7472035,727.4283269148482,975.6657483930212
61,266,595 Lincoln Ave,Palo Alto,94301,4,3.5,3204,0.115,2006,1,4500000,-122.1508699,37.44479225,1404.4943820224719,898.3111749910167
62,1075,595 Lincoln Ave,Palo Alto,94301,4,3.5,3204,0.115,2006,1,4500000,-122.1508699,37.44479225,1404.4943820224719,898.3111749910167
63,972,94 Castillo,Milpitas,95035,4,3.5,2284,0.036000000000000004,2012,2,1400000,0.0,0.0,612.9597197898423,892.7660442811957
64,973,94 Castillo Ln,Milpitas,95035,4,3.5,2284,0.036000000000000004,2012,2,1400000,0.0,0.0,612.9597197898423,892.7660442811957
65,2868,94 Castillo,Milpitas,95035,4,3.5,2284,0.036000000000000004,2012,2,1400000,0.0,0.0,612.9597197898423,892.7660442811957
66,2869,94 Castillo Ln,Milpitas,95035,4,3.5,2284,0.036000000000000004,2012,2,1400000,0.0,0.0,612.9597197898423,892.7660442811957
67,3017,471 D Jean Street,Oakland,94610,2,2.0,1151,0.021,2019,1,815000,-122.2499507,37.81555818,708.0799304952216,890.9440727622545
68,276,1600 Bryant St,Palo Alto,94301,6,4.5,6225,0.518,1923,2,19800000,-122.1479063,37.4368327,3180.7228915662654,877.5008775008774
69,1085,1600 Bryant St,Palo Alto,94301,6,4.5,6225,0.518,1923,2,19800000,-122.1479063,37.4368327,3180.7228915662654,877.5008775008774
70,274,435 Santa Rita Ave,Palo Alto,94301,4,3.5,3321,0.338,1936,3,12880000,-122.1405576,37.4354574,3878.3498946100567,874.8050706092665
71,1083,435 Santa Rita Ave,Palo Alto,94301,4,3.5,3321,0.338,1936,3,12880000,-122.1405576,37.4354574,3878.3498946100567,874.8050706092665
72,13,849 26th Ave,San Francisco,94121,4,5.0,2722,0.063,1920,2,2295000,-122.4854347,37.77346604,843.1300514327701,836.284927194018
73,251,2938 Ross Rd,Palo Alto,94303,5,5.5,3575,0.138,2019,204,4988000,-122.1242446,37.4337932,1395.2447552447552,829.7733594176282
74,1690,3564 Stout Pl,Santa Clara,95051,4,4.0,1998,0.046,2011,2,1649000,-121.9953815,37.35044798,825.3253253253254,822.9528486445482
75,1701,3564 Stout Pl,Santa Clara,95051,4,4.0,1998,0.046,2011,2,1649000,-121.9953815,37.35044798,825.3253253253254,822.9528486445482
76,4364,3564 Stout Pl,Santa Clara,95051,4,4.0,1998,0.046,2011,2,1649000,-121.9953815,37.35044798,825.3253253253254,822.9528486445482
77,4376,3564 Stout Pl,Santa Clara,95051,4,4.0,1998,0.046,2011,2,1649000,-121.9953815,37.35044798,825.3253253253254,822.9528486445482
78,3016,471 F Jean Street,Oakland,94610,3,3.5,1410,0.025,2019,1,895000,-122.2499507,37.81555818,634.7517730496454,821.8549127640036
79,1687,3131 Membrillo Corte,Santa Clara,95051,3,2.5,1543,0.044,1990,2,1575000,-121.9851348,37.340089,1020.7388204795852,821.7505634861006
80,4361,3131 Membrillo Corte,Santa Clara,95051,3,2.5,1543,0.044,1990,2,1575000,-121.9851348,37.340089,1020.7388204795852,821.7505634861006
81,264,369 Churchill Ave,Palo Alto,94301,5,8.5,10877,1.123,1917,3,39988000,-122.1485716,37.43923875,3676.3813551530748,817.4516148287703
82,1073,369 Churchill Ave,Palo Alto,94301,5,8.5,10877,1.123,1917,3,39988000,-122.1485716,37.43923875,3676.3813551530748,817.4516148287703
83,12,595 44th Ave,San Francisco,94121,4,3.0,2200,0.052000000000000005,1922,1,1850000,-122.5050689,37.77742633,840.9090909090909,816.7337712792257
84,280,575 Everett Ave,Palo Alto,94301,4,3.5,2141,0.116,1900,1,4125000,-122.161055,37.45090745,1926.6697804764126,816.3531870428423
85,1089,575 Everett Ave,Palo Alto,94301,4,3.5,2141,0.116,1900,1,4125000,-122.161055,37.45090745,1926.6697804764126,816.3531870428423
87,18,Newhall Street,San Francisco,94124,3,2.0,1472,0.026,1999,0,899000,-122.38891979999998,37.7393346,610.7336956521739,793.7769301405664
88,4,688 Clipper St,San Francisco,94114,4,3.5,2388,0.081,2000,4,2800000,-122.4400107,37.74872918,1172.5293132328309,793.5698171388408
90,286,103 Melville Ave,Palo Alto,94301,3,2.5,2068,0.086,2018,0,2950000,-122.1541188,37.4374438,1426.4990328820113,787.4730390586627
91,1095,103 Melville Ave,Palo Alto,94301,3,2.5,2068,0.086,2018,0,2950000,-122.1541188,37.4374438,1426.4990328820113,787.4730390586627
92,1696,837 Cherry Orchard Pl,Santa Clara,95051,4,3.0,1935,0.049,2008,2,1669000,-121.99084779999998,37.3388816,862.5322997416022,781.9381196004573
93,4370,837 Cherry Orchard Pl,Santa Clara,95051,4,3.0,1935,0.049,2008,2,1669000,-121.99084779999998,37.3388816,862.5322997416022,781.9381196004573
94,3522,83 Arundel Dr,Hayward,94542,6,5.5,5050,0.051,2008,3,1735000,-122.0151091,37.65432892,343.5643564356436,780.9827328543905
95,3459,43132 Calle Sagrada,Fremont,94539,4,3.5,2238,0.05,2019,2,1698000,0.0,0.0,758.7131367292226,779.6143250688706
96,1111,4157 Interdale Way,Palo Alto,94306,3,2.5,2335,0.07400000000000001,1981,2,2499000,-122.1254013,37.4116468,1070.2355460385436,775.2587298041842
97,1674,39 Conner Pl,Santa Clara,95050,3,2.5,1905,0.049,2013,2,1599950,-121.9540289,37.3257281,839.8687664041995,749.5877138734282
98,270,51 Crescent Dr,Palo Alto,94301,5,6.5,7145,0.52,1927,3,16800000,-122.1450185,37.4577597,2351.294611616515,741.682559864378
99,1079,51 Crescent Dr,Palo Alto,94301,5,6.5,7145,0.52,1927,3,16800000,-122.1450185,37.4577597,2351.294611616515,741.682559864378
100,283,1429 Emerson St,Palo Alto,94301,5,3.5,4253,0.23,2001,2,7388000,-122.1507182,37.4374162,1737.126734070068,737.413662314848
