,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price,Longitude,Latitude
4253,1,1200 W Harding Way,Stockton,95203,3,2.5,2016,0.131,1922,2,Single Family Residence,380500,-121.311757667855,37.9642339
4254,2,814 W Elm St,Stockton,95203,3,1.5,1810,0.115,1933,2,Single Family Residence,338000,0.0,0.0
4255,3,731 N Harrison Street,Stockton,95203,4,3.0,2465,0.115,1900,0,Single Family Residence,448000,-121.300992836735,37.9584513061224
4256,4,620 W Vine St.,Stockton,95203,2,2.0,1258,0.115,1915,1,Single Family Residence,239000,0.0,0.0
4257,5,801 W Vine St,Stockton,95203,3,2.0,3005,0.401,1920,3,Single Family Residence,680000,-121.30517,37.963593
4258,0,3111 Princeton Ave,Stockton,95204,3,2.0,1214,0.17,1952,0,Single Family Residence,299995,-121.322702,37.97624
4259,1,1615 Middlefield Ave,Stockton,95204,4,2.0,1666,0.14300000000000002,1947,2,Single Family Residence,249000,0.0,0.0
4260,2,2152 Amblers Ln,Stockton,95204,3,2.0,1672,0.473,1953,0,Single Family Residence,409000,-121.343069878537,37.96154435
4261,3,127 E Euclid Ave,Stockton,95204,3,2.0,1460,0.115,1950,2,Single Family Residence,265000,-121.303704714286,37.9798570816327
4262,0,1630 Eastlake Cir,Tracy,95304,4,3.0,2459,0.168,2000,2,Single Family Residence,590000,-121.41345194969,37.7129495897698
4263,1,1715 Lahola Ct,Tracy,95304,5,3.0,3400,0.36,2005,3,Single Family Residence,769000,0.0,0.0
4264,2,1617 Toulouse St,Tracy,95304,5,3.0,3400,0.185,2004,3,Single Family Residence,695000,0.0,0.0
4265,3,1101 Tulloch,Tracy,95304,5,3.0,3101,0.126,2004,3,Single Family Residence,699950,-121.408675942541,37.7176465546435
4266,4,850 Winnipeg Ct,Tracy,95304,3,2.5,2368,0.14,2000,2,Single Family Residence,534000,-121.412611767703,37.7112094274958
4267,5,14827 Middle Road,Tracy,95304,3,2.0,2296,5.0,1986,2,Single Family Residence,1195000,-121.49276938591,37.7675851267634
4268,6,23155 Vaquero Ct,Tracy,95304,5,3.0,2567,1.59,1979,4,Single Family Residence,859000,-121.503199857143,37.7482217959184
4269,0,1931 E Marsh St,Stockton,95205,2,1.0,776,0.079,1920,0,Single Family Residence,220000,-121.264132714286,37.9529291428571
4270,1,3442 Carly Drive,Stockton,95205,4,3.0,2140,0.218,2005,2,Single Family Residence,360000,-121.2810629,37.9863228
4271,2,1225 E Roosevelt St,Stockton,95205,3,1.0,1233,0.115,1918,2,Single Family Residence,175000,-121.2782835,37.966784
4272,3,2421 E Church St,Stockton,95205,3,1.0,1127,0.115,1920,0,Single Family Residence,239900,0.0,0.0
4273,0,433 Lasata Dr,Tracy,95377,3,2.5,1858,0.135,2005,2,Single Family Residence,520000,-121.43174122449,37.7018443061224
4274,1,4594 Crapapple Ct,Tracy,95377,4,3.0,2989,0.17600000000000002,2001,2,Single Family Residence,609999,0.0,0.0
4275,2,1330 Bluegrass Ln,Tracy,95377,3,2.0,1334,0.129,1991,2,Single Family Residence,448888,-121.44182062605,37.708081318879
4276,3,109 Wisteria Ln,Tracy,95377,5,3.0,2720,0.14,2002,2,Single Family Residence,585000,-121.427206436625,37.6992035173873
4277,4,1548 Michael Drive,Tracy,95377,5,3.0,2999,0.124,2001,2,Single Family Residence,619950,-121.472896312238,37.7450537150376
4278,5,2097 Babcock Ln,Tracy,95377,5,3.0,2841,0.13,2004,2,Single Family Residence,585000,-121.45441982133,37.7292555416767
4279,6,2891 Compton Pl,Tracy,95377,4,4.0,2888,0.133,2003,2,Single Family Residence,595000,-121.469745265356,37.7327529880742
4280,7,4681 Glenhaven Dr,Tracy,95377,6,3.0,2977,0.18,2004,2,Single Family Residence,589000,-121.423462551526,37.6970857119161
4281,8,3128 Tostalinda Drive,Tracy,95377,4,3.5,2565,0.111,2019,2,Single Family Residence,624584,0.0,0.0
4282,9,3158 Tostalinda Drive,Tracy,95377,5,3.0,2648,0.11,2019,2,Single Family Residence,637559,0.0,0.0
4283,10,3108 Tostalinda Drive,Tracy,95377,4,3.5,2565,0.099,2019,2,Single Family Residence,625505,0.0,0.0
4284,11,3088 Tostalinda Drive,Tracy,95377,4,3.0,2340,0.099,2019,2,Single Family Residence,570229,0.0,0.0
4285,12,3149 Tostalinda Drive,Tracy,95377,4,3.5,2565,0.099,2019,2,Single Family Residence,619356,0.0,0.0
4286,13,109 Wisteria Lane,Tracy,95377,5,3.0,2720,0.14,2002,2,Single Family Residence,585000,-121.427206436625,37.6992035173873
4287,14,4549 English Oaks Ave,Tracy,95377,5,3.0,3319,0.142,2001,2,Single Family Residence,598000,0.0,0.0
4288,15,4100 Comstock Pl,Tracy,95377,4,2.5,2574,0.165,2016,2,Single Family Residence,640000,-121.4562707,37.7015744
4289,16,4276 Oakridge Dr,Tracy,95377,4,3.0,2588,0.172,2000,3,Single Family Residence,590000,-121.422730767677,37.7006043232323
4290,17,4276 Oakridge Drive,Tracy,95377,4,3.0,2588,0.172,2000,3,Single Family Residence,590000,-121.422730767677,37.7006043232323
4291,18,3247 Ormonde Ct,Tracy,95377,4,3.0,2158,0.106,2004,2,Single Family Residence,530000,-121.475307148261,37.7472819987401
4292,19,1120 Whispering Wind Drive,Tracy,95377,4,2.5,2989,0.145,2001,2,Single Family Residence,559000,-121.442130229195,37.6994352109159
4293,20,1554 Grace Ct,Tracy,95377,5,3.0,2487,0.147,2000,3,Single Family Residence,549500,-121.458322747492,37.7460617605247
4294,21,2951 Compton Pl,Tracy,95377,4,3.0,2888,0.138,2003,3,Single Family Residence,598000,-121.469090673492,37.7327546613663
4295,22,624 Presidio,Tracy,95377,5,3.0,2527,0.15,2002,2,Single Family Residence,595000,-121.468325782783,37.7340917915908
4296,23,3193 Remington Way,Tracy,95377,5,4.5,5083,0.33799999999999997,2004,3,Single Family Residence,1299950,-121.474716408163,37.720542244898
4297,24,2379 Ogden Sannazor Ct,Tracy,95377,5,4.0,3123,0.18,2004,2,Single Family Residence,595000,-121.460169272727,37.7434452424242
4298,25,2760 Shofield Ln,Tracy,95377,4,2.5,2498,0.136,2003,2,Single Family Residence,560000,0.0,0.0
4299,0,1120 Hepburn Ct,Tracy,95376,4,3.0,2651,0.192,1995,3,Single Family Residence,555000,-121.440364066996,37.7110764246486
4300,1,736 Robert L Smith Dr,Tracy,95376,3,2.0,1213,0.094,1998,2,Single Family Residence,445000,-121.443357117477,37.7238584870152
4301,2,600 Gianelli St,Tracy,95376,4,2.5,2197,0.133,1990,2,Single Family Residence,539000,-121.429433872076,37.7265715665565
4302,3,790 W Mount Diablo Ave,Tracy,95376,4,3.0,1547,0.139,1993,2,Single Family Residence,489000,-121.436324995349,37.7284870315894
4303,4,425 W Clover,Tracy,95376,3,2.0,1191,0.081,1986,2,Single Family Residence,379000,-121.431626269663,37.7614980561798
4304,5,425 W Clover Rd,Tracy,95376,3,2.0,1191,0.081,1986,2,Single Family Residence,379000,-121.431626269663,37.7614980561798
4305,6,646 Tantaros Ln,Tracy,95376,4,3.0,2706,0.11699999999999999,2017,2,Single Family Residence,625000,-121.4164961,37.7619009
4306,7,1940 Hafla Ct,Tracy,95376,6,6.0,4470,0.239,2005,2,Single Family Residence,849000,-121.451759714286,37.7148416734694
4307,8,2567 Remy Cantos Dr,Tracy,95376,4,3.0,3235,0.126,2017,2,Single Family Residence,699999,0.0,0.0
4308,9,329 W 21st Street,Tracy,95376,3,1.0,1154,0.127,1947,1,Single Family Residence,375000,-121.430450414141,37.7516444343434
4309,10,1375 W Lowell Ave,Tracy,95376,5,3.0,2715,0.154,1976,2,Single Family Residence,524950,-121.442286913043,37.7482804347826
4310,11,3241 Arnaudo Ln,Tracy,95376,3,2.5,2078,0.145,1979,2,Single Family Residence,484474,-121.432393163265,37.7604698571429
4311,12,2875 Atlanta Drive,Tracy,95376,4,2.0,1854,0.17600000000000002,1985,2,Single Family Residence,474000,-121.437526454545,37.7576127878788
4312,0,6347 Welch Ave,Stockton,95210,4,2.5,1890,0.125,1990,2,Single Family Residence,345000,-121.2930359,38.0130295
4313,1,5943 Arabian Pl,Stockton,95210,4,2.0,1473,0.115,1990,2,Single Family Residence,349995,-121.2918644,38.0114852
4314,2,5943 Arabian Pl,Stockton,95210,4,2.0,1473,0.115,1990,2,Single Family Residence,349995,-121.2918644,38.0114852
4315,3,4705 Cayman Ct,Stockton,95210,4,2.5,1690,0.121,1995,2,Single Family Residence,370000,-121.28558,37.997342
4316,4,4426 N Ijams,Stockton,95210,4,3.0,3117,1.37,2008,3,Single Family Residence,1200000,0.0,0.0
4317,0,4656 Hibiscus Rd,Stockton,95212,3,1.0,1238,0.23199999999999998,1960,0,Single Family Residence,325000,0.0,0.0
4318,1,3535 Novara Way,Stockton,95212,4,3.0,2619,0.06,2004,2,Single Family Residence,440000,-121.268305571596,38.03853235
4319,2,8838 Bergamo Cir,Stockton,95212,4,3.0,2423,0.138,2006,3,Single Family Residence,429999,-121.26865631111,38.03002185
4320,3,3410 Dewey Ct,Stockton,95212,4,2.5,2602,0.145,2002,3,Single Family Residence,389950,-121.270947226037,38.03247495
4321,4,9230 Nassano,Stockton,95212,4,2.0,2254,0.47,1956,2,Single Family Residence,523950,0.0,0.0
4322,5,9606 Colonna Lane,Stockton,95212,5,3.5,2998,0.14400000000000002,2005,3,Single Family Residence,459500,-121.27503217037,38.04038115
4323,0,916 S Hunter St,Stockton,95206,4,1.0,1260,0.073,1900,0,Single Family Residence,240000,-121.285681702274,37.9437483
4324,1,867 William Moss Blvd,Stockton,95206,4,2.5,1726,0.124,1996,2,Single Family Residence,379500,-121.297548550128,37.90669855
