,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price,Longitude,Latitude
0,0,540 Shotwell St,San Francisco,94110,4,3,1801,0.08,1900,1,Single Family Residence,1599000,-122.4159692,37.75975012
1,1,76 Cortland Ave,San Francisco,94110,3,2.5,1392,0.029,1995,3,Single Family Residence,1849000,-122.4213333,37.74032213
2,2,135 Holladay Ave,San Francisco,94110,3,2,2337,0.04,1900,0,Single Family Residence,1700000,-122.405226,37.7472035
3,0,546 Paris St,San Francisco,94112,2,1,1250,0.057,1925,2,Single Family Residence,899000,-122.4362286,37.7201312
4,0,688 Clipper St,San Francisco,94114,4,3.5,2388,0.081,2000,4,Single Family Residence,2800000,-122.4400107,37.74872918
5,0,2094 Bush St,San Francisco,94115,4,3.5,2600,0.047,1878,0,Single Family Residence,2790000,-122.4316214,37.78733898
6,0,2355 46th Ave,San Francisco,94116,3,2,1550,0.069,1939,1,Single Family Residence,1188000,-122.5047841,37.74261629
7,1,2828 Wawona St,San Francisco,94116,3,2,1475,0.057,1948,1,Single Family Residence,1196000,-122.497103,37.73657657
8,2,3015 Ulloa St,San Francisco,94116,5,2.5,1881,0.071,1926,1,Single Family Residence,1389000,-122.4887942,37.7403784
9,0,969 Buena Vista Ave,San Francisco,94117,10,4,8654,0.041,1904,0,Single Family Residence,7500000,0,0
10,0,2736 Fulton Sreet,San Francisco,94118,5,5.5,3270,0.065,1925,2,Single Family Residence,2998000,0,0
11,1,3990 Washington St,San Francisco,94118,6,7.5,7600,0.102,1909,4,Single Family Residence,9950000,-122.4590702,37.788604
12,0,595 44th Ave,San Francisco,94121,4,3,2200,0.052,1922,1,Single Family Residence,1850000,-122.5050689,37.77742633
13,1,849 26th Ave,San Francisco,94121,4,5,2722,0.063,1920,2,Single Family Residence,2295000,-122.4854347,37.77346604
14,2,463 27th Ave,San Francisco,94121,5,3,2282,0.069,1921,2,Single Family Residence,2000000,-122.4870397,37.7807711
15,0,3827 Lincoln Way,San Francisco,94122,3,1,1820,0.057,1925,2,Single Family Residence,998000,-122.4992202,37.76426345
16,1,1483 19th Ave,San Francisco,94122,3,2,1495,0.053,1922,1,Single Family Residence,1300000,-122.4770942,37.7616888
17,0,1487 Underwood Ave,San Francisco,94124,5,2,1488,0.057,1932,1,Single Family Residence,950000,-122.3897169,37.72847659
18,1,Newhall Street,San Francisco,94124,3,2,1472,0.026,1999,0,Single Family Residence,899000,-122.3889198,37.7393346
19,2,833 Ingerson Ave,San Francisco,94124,5,3.5,2401,0.057,2006,2,Single Family Residence,1499000,-122.3900343,37.71729711
20,3,1370 Quesada Ave,San Francisco,94124,4,1.5,1211,0.057,1955,1,Single Family Residence,814900,-122.3852071,37.72990171
21,4,1426 Underwood Ave,San Francisco,94124,5,2,1596,0.077,1940,1,Single Family Residence,799995,-122.3886053,37.72804855
22,0,153 Warren Dr,San Francisco,94131,3,3,1800,0.076,1958,2,Single Family Residence,1688000,-122.4589853,37.75345533
23,0,140 Winston Dr,San Francisco,94132,4,3.5,3112,0.12,1951,2,Single Family Residence,2288000,-122.4737327,37.72695157
24,0,256 Gambier St,San Francisco,94134,2,2,825,0.071,1908,1,Single Family Residence,888000,-122.421674,37.72615943
25,1,1360 Wayland St,San Francisco,94134,4,2,2262,0.057,1981,2,Single Family Residence,1498000,-122.4155397,37.72327218
26,0,47 Partridge Dr,San Rafael,94901,4,3,2510,0.164,1989,2,Single Family Residence,1298000,-122.4646145,37.9972048
27,0,224 Blackstone Dr,San Rafael,94903,4,2,1260,0.174,1955,2,Single Family Residence,925000,0,0
28,0,54 Dolphin Isle,Novato,94949,3,3,2316,0.215,1987,2,Single Family Residence,1690000,0,0
29,1,62 Pizzaro Ave,Novato,94949,4,2.5,2350,0,1998,2,Single Family Residence,988888,0,0
30,0,232 Michele Cir,Novato,94947,4,3,1800,0.222,1970,2,Single Family Residence,875000,-122.6135401,38.11340781
31,0,659 George St,Montara,94037,3,2,1952,0.143,1965,2,Single Family Residence,1100000,-122.5047182,37.5402772
32,1,586 6th St,Montara,94037,4,2.5,2220,0.115,2007,2,Single Family Residence,1345000,-122.5080989,37.53963983
33,2,741 Harte St,Montara,94037,3,2,1800,0.143,1976,2,Single Family Residence,1165000,-122.5063377,37.53899221
34,3,202 11th St,Montara,94037,4,3,3087,0.207,2004,3,Single Family Residence,1978000,-122.5158361,37.5389663
35,4,222 2nd St,Montara,94037,1,1,1000,0.264,1906,2,Single Family Residence,998000,-122.5130002,37.54501149
36,5,771 Rivera Rd,Montara,94037,3,2.5,2600,0.006,1950,6,Single Family Residence,10000000,0,0
37,0,254 Reed Blvd,Mill Valley,94941,5,4,3189,0.241,1951,2,Single Family Residence,1999999,-122.5065888,37.89241365
38,0,19 Haven Way,Napa,94558,4,3.5,3587,0.149,2004,3,Single Family Residence,1065000,-122.3304664,38.34425596
39,1,3260 Redwood Rd,Napa,94558,3,3,3544,3.22,1953,2,Single Family Residence,2300000,-122.3506506,38.32485679
40,2,1025 Matt Dr,Napa,94558,3,2,1951,0.211,1972,2,Single Family Residence,639000,-122.3114316,38.30119156
41,3,1771 Wooden Valley,Napa,94558,2,1,763,0.88,1930,0,Single Family Residence,475000,0,0
42,0,32 Tarabrook Dr,Orinda,94563,3,2,1404,0.278,1961,2,Single Family Residence,1095000,-122.1720862,37.87892591
43,1,111 Sleepy Hollow Lane,Orinda,94563,3,2,1932,0.51,1953,2,Single Family Residence,1495000,-122.195499,37.90752146
44,2,18 Via Hermosa,Orinda,94563,4,3,2411,0.42,1947,2,Single Family Residence,2495000,-122.1852295,37.89563575
45,3,9 La Senda,Orinda,94563,6,4.5,5744,0.49,1963,2,Single Family Residence,1850000,-122.1908311,37.89329047
46,4,228 Camino Sobrante,Orinda,94563,3,2,1929,0.5,1954,1,Single Family Residence,1495000,-122.1832024,37.89323887
47,5,12 Lind Ct,Orinda,94563,3,2,2240,0.52,1961,1,Single Family Residence,1680000,-122.1492043,37.86784327
48,6,10 Broadview Ter,Orinda,94563,4,3,2500,0.65,1951,2,Single Family Residence,1750000,-122.1683095,37.87647819
49,7,19 Donald Dr,Orinda,94563,3,3,3294,0.48,1959,2,Single Family Residence,1795000,-122.1574678,37.86378018
50,8,5 Loma Linda Ct,Orinda,94563,3,2,1728,0.29,1948,2,Single Family Residence,1165000,-122.1573227,37.85848024
51,9,46 Zander Ct,Orinda,94563,4,3,2932,0.93,1967,2,Single Family Residence,1649000,-122.1458414,37.86561929
52,10,14 Ramona Drive,Orinda,94563,4,4,3994,0.33,2006,2,Single Family Residence,1998000,-122.1419195,37.84533297
53,11,29 Canyon View,Orinda,94563,5,4,4000,0.94,1974,3,Single Family Residence,2295000,-122.1675213,37.90895509
54,12,200 Hall Dr,Orinda,94563,5,3.5,4400,5.07,2010,6,Single Family Residence,3180000,-122.1537849,37.85993834
55,13,325 Miller Ct,Orinda,94563,5,4,3939,1.01,2014,2,Single Family Residence,2698000,0,0
56,14,8 Hidden Ln,Orinda,94563,5,3.5,4562,1.31,1973,2,Single Family Residence,1895000,-122.1950648,37.91022476
57,15,537 The Glade,Orinda,94563,3,2,2127,0.132,1985,2,Single Family Residence,1399000,-122.185583,37.88682577
58,16,51 Charles Hill Rd,Orinda,94563,5,5,3430,0.62,1948,2,Single Family Residence,1925000,-122.1664116,37.9049374
59,17,1 Sycamore Road,Orinda,94563,5,4.5,3977,1.24,1941,2,Single Family Residence,3250000,-122.179397,37.906386
60,18,18 Daisy Ln,Orinda,94563,4,2.5,2614,0.77,1966,2,Single Family Residence,1430000,-122.1564918,37.85993615
61,19,96 Claremont Ave,Orinda,94563,2,2,1672,0.112,1974,0,Single Family Residence,849000,-122.2073488,37.89010137
62,20,25 Rustic Way,Orinda,94563,6,5.5,8514,8.14,1986,6,Single Family Residence,4250000,-122.1582945,37.86751443
63,21,9 Parklane Dr,Orinda,94563,4,3,2683,0.64,1956,2,Single Family Residence,1450000,0,0
64,22,60 La Espiral Road,Orinda,94563,5,4,3914,0.61,2006,2,Single Family Residence,2238000,-122.1830241,37.89667407
65,23,60 La Espiral Rd,Orinda,94563,5,4,3914,0.61,2006,2,Single Family Residence,2238000,-122.1830241,37.89667407
66,24,3 Lucille Way,Orinda,94563,5,3,2628,0.234,1970,2,Single Family Residence,1385000,-122.185907,37.872381
67,25,516 Moraga Way,Orinda,94563,4,3,2552,0.99,1959,2,Single Family Residence,1650000,-122.1525261,37.85420545
68,26,8 Santa Lucia Rd,Orinda,94563,5,5,3917,0.41,1934,2,Single Family Residence,1895000,0,0
69,27,66 Heather Ln,Orinda,94563,4,4,3130,0.7,1961,2,Single Family Residence,1799000,-122.1667841,37.87104143
70,28,32 Tarabrook Dr,Orinda,94563,3,2,1404,0.28,1961,2,Single Family Residence,1095000,-122.1720862,37.87892591
71,29,383 Miner Rd,Orinda,94563,5,4,4023,1.32,1954,2,Single Family Residence,2695000,-122.1912454,37.89972053
72,30,55 Berkeley Avenue,Orinda,94563,4,4,2606,0.57,1961,2,Single Family Residence,1193000,-122.2049853,37.89060463
73,0,1455 Valley Ford Freestone Rd,Valley Ford,94972,4,4,4360,9,2007,3,Single Family Residence,2685000,0,0
74,0,2618 Milvia St,Berkeley,94703,3,2,0,0.094,1922,0,Single Family Residence,1495000,-122.2699186,37.8642703
75,1,1801 Ward St,Berkeley,94703,2,1.5,1296,0.064,1906,1,Single Family Residence,995000,-122.273249,37.85877
76,0,3005 Hillegass Ave,Berkeley,94705,3,1.5,2060,0.092,1908,1,Single Family Residence,1495000,-122.2549182,37.85562833
77,1,161 El Camino Real,Berkeley,94705,3,2,2445,0.159,1941,2,Single Family Residence,1495000,-122.2402235,37.8531717
78,2,95 Vicente Rd,Berkeley,94705,4,3.5,4568,0.194,2004,2,Single Family Residence,3500000,-122.2348679,37.85624251
79,3,3057 Hillegass Ave,Berkeley,94705,4,2.5,2812,0.128,1908,1,Single Family Residence,2195000,-122.2548061,37.85460539
80,4,7287 Claremont Avenue,Berkeley,94705,5,5,4966,0.28,1920,1,Single Family Residence,2985000,-122.2486008,37.8539987
81,5,7287 Claremont Avenue,Berkeley,94705,3,3,1744,0.213,1920,1,Single Family Residence,1545000,-122.2486008,37.8539987
82,6,7287 Claremont Avenue,Berkeley,94705,3,2.5,1647,0.186,1920,2,Single Family Residence,1495000,-122.2486008,37.8539987
83,7,6948 Norfolk Rd,Berkeley,94705,4,3.5,2944,0.105,2007,2,Single Family Residence,1695000,0,0
84,8,1076 Siler Pl,Berkeley,94705,3,2.5,2032,0.157,1997,2,Single Family Residence,1388800,0,0
85,9,33 Tanglewood Rd,Berkeley,94705,5,4,3758,0.26,1922,2,Single Family Residence,2950000,-122.244107,37.860955
86,10,1072 Siler Pl,Berkeley,94705,4,4.5,4000,0.16,2011,2,Single Family Residence,1599000,0,0
87,11,6880 Buckingham Blvd,Berkeley,94705,4,3.5,3550,0.081,2018,2,Single Family Residence,1599000,0,0
88,12,11 Drury Ct,Berkeley,94705,5,5,6000,0.6,2005,2,Single Family Residence,3788000,0,0
89,13,2967 Avalon Avenue,Berkeley,94705,7,5,5421,0.28,1907,2,Single Family Residence,3899999,-122.2464288,37.85984105
90,14,7026 Devon Way,Oakland,94705,6,5,4613,0.124,2018,2,Single Family Residence,2899900,-122.225077,37.85993166
91,15,7112 Westmoorland,Berkeley,94705,4,3.5,4070,0.132,2002,2,Single Family Residence,1499000,0,0
92,0,18800 Melvin Ave,Sonoma,95476,3,1.5,1105,0.165,1956,0,Single Family Residence,674888,-122.4749409,38.30643199
93,0,2004 Faymont Ave,Manhattan Beach,90266,3,2,1505,0.124,1950,2,Single Family Residence,1599000,-118.3799548,33.89249346
