,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1,"
                  2007 Kenway Ct,
                  ",Lodi,CA,95242,"$344,500",3,2,"1,560","5,044",38.132137,-121.297952
2,"
                  1007 Downing Dr,
                  ",Lodi,CA,95242,"$300,000",3,1.5,"1,048","5,001",38.121668,-121.293567
3,"
                  2348 Corbin Ln,
                  ",Lodi,CA,95242,"$388,950",4,2,"1,492","5,798",38.126787,-121.304255
4,"
                  2359 Brittany Ln,
                  ",Lodi,CA,95242,"$849,000",6,3.5+,"4,471",0.32,38.119845,-121.303681
5,"
                  2230 W Tokay St,
                  ",Lodi,CA,95242,"$720,500",4,4,"2,824","6,482",38.125841,-121.301547
6,"
                  1701 Holly Dr,
                  ",Lodi,CA,95242,"$333,000",2,2,"1,656","6,120",38.143798,-121.29443
7,"
                  1025 W Turner Rd,
                  ",Lodi,CA,95242,"$324,950",3,2,"1,529","8,198",38.145887,-121.291593
8,"
                  1728 Providence Way,
                  ",Lodi,CA,95242,"$459,000",4,3,"2,279","5,001",38.106217,-121.294213
9,"
                  453 Taylor Rd,
                  ",Lodi,CA,95242,"$549,950",3,2,"1,280",0.3,38.119574,-121.310208
10,"
                  1823 Amber Leaf Way,
                  ",Lodi,CA,95242,"$369,000",4,2.5,"1,818","5,397",38.108979,-121.295904
11,"
                  2220 W Lodi Ave,
                  ",Lodi,CA,95242,"$349,000",3,2,"1,499","9,431",38.129783,-121.301709
12,"
                  101 S Mills Ave,
                  ",Lodi,CA,95242,"$400,000",3,2,"1,830","5,397",38.132856,-121.297768
13,"
                  1515 Magic Ln,
                  ",Lodi,CA,95242,"$579,900",3,2.5,"2,508","8,555",38.118891,-121.291408
14,"
                  3035 Artistry St,
                  ",Lodi,CA,95242,"$679,000",3,2.5,"3,058","5,502",38.131461,-121.31446
15,"
                  2516 Potomac Way,
                  ",Lodi,CA,95242,"$479,000",5,3,"2,463","5,998",38.102467,-121.294968
16,"
                  2569 Poppy Dr,
                  ",Lodi,CA,95242,"$820,000",4,3,"3,624","7,941",38.102019,-121.290939
17,"
                  2534 Park West Dr,
                  ",Lodi,CA,95242,"$394,500",3,2,"1,654","6,399",38.139046,-121.308278
18,"
                  2208 Olson Dr,
                  ",Lodi,CA,95242,"$499,888",3,3,"2,200","6,133",38.101356,-121.30103
19,"
                  18747 N Devries Rd,
                  ",Lodi,CA,95242,"$1,590,000",3,2.5,"2,777",25.0,38.154049,-121.359678
20,"
                  Merlot,
                  ",Lodi,CA,95242,"$393,000",3,2,"1,595",,38.119181,-121.308461
21,"
                  55 Elderica Way,
                  ",Lodi,CA,95242,"$429,900",3,2,"1,817","5,502",38.135783,-121.311007
