,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1,"
                  334 Harriet St,
                  ",San Francisco,CA,94103,"$1,195,000 ",2,2,,,37.775061,-122.402644
2,"
                  1331 Folsom St,
                  ",San Francisco,CA,94103,"$4,000,000 ",2,4,,"2,178",37.773292,-122.41178
3,"
                  456 Clementina St,
                  ",San Francisco,CA,94103,"$4,250,000 ",2,2.5,"4,950","3,920",37.77977,-122.405274
1,"
                  1126 Rhode Island St,
                  ",San Francisco,CA,94107,"$1,799,000 ",3,2,"1,632","2,614",37.755566,-122.401999
2,"
                  779 Wisconsin St,
                  ",San Francisco,CA,94107,"$3,698,000 ",4,3.5,,"2,614",37.757647,-122.39866
3,"
                  228 Clara St,
                  ",San Francisco,CA,94107,"$1,509,000 ",1,1,800,"2,178",37.778973,-122.403272
4,"
                  1387 DE Haro St,
                  ",San Francisco,CA,94107,"$995,000 ",1,1,794,"1,742",37.752338,-122.400094
5,"
                  547 Missouri St,
                  ",San Francisco,CA,94107,"$4,995,000 ",5,5.5,,"2,614",37.759372,-122.395909
6,"
                  224 Mississippi St,
                  ",San Francisco,CA,94107,"$2,700,000 ",2,2,"3,400","2,614",37.763555,-122.394988
7,"
                  712 DE Haro St,
                  ",San Francisco,CA,94107,"$3,598,000 ",4,3.5,"2,826","2,614",37.760734,-122.40152
1,"
                  920 Powell St,
                  ",San Francisco,CA,94108,"$3,199,000 ",4,4,,,37.793289,-122.409209
1,"
                  1110 Green St,
                  ",San Francisco,CA,94109,"$14,400,000 ",4,6,,,37.798642,-122.417693
2,"
                  2323 Hyde St,
                  ",San Francisco,CA,94109,"$13,800,000 ",6,6.5,"8,846","6,534",37.802259,-122.419873
3,"
                  1350 Jones St,
                  ",San Francisco,CA,94109,"$16,500,000 ",4,4,,"2,178",37.793862,-122.414359
4,"
                  5 N View Ct,
                  ",San Francisco,CA,94109,"$3,350,000 ",4,2,"2,963","3,485",37.804034,-122.42263
5,"
                  1 McCormick St,
                  ",San Francisco,CA,94109,"$3,795,000 ",4,4,"3,033","1,742",37.794921,-122.419171
