,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1,"
                  110 Ocean St,
                  ",Santa Cruz,CA,95060,"$699,000",3,2,"1,018","3,441",36.96909,-122.016128
2,"
                  205 Brookside Ave,
                  ",Santa Cruz,CA,95060,"$795,000",2,2,"1,084","4,617",36.986889,-122.016068
3,"
                  124 Donna Ct,
                  ",Santa Cruz,CA,95060,"$1,199,000",4,2.5,"1,728",0.26,36.96904,-122.055037
4,"
                  1138 Western Dr,
                  ",Santa Cruz,CA,95060,"$1,198,000",3,2,"1,749",0.24,36.977795,-122.058018
5,"
                  312 Towhee Dr,
                  ",Santa Cruz,CA,95060,"$849,000",2,2,"1,981",0.95,37.054657,-122.147778
6,"
                  422 Grant St,
                  ",Santa Cruz,CA,95060,"$879,950",3,1.5,"1,364","7,275",36.984922,-122.017755
7,"
                  154 Azalea Ln,
                  ",Santa Cruz,CA,95060,"$880,000",3,2,"1,684",1.22,37.042519,-122.110933
8,"
                  121 Palomino Way,
                  ",Santa Cruz,CA,95060,"$2,125,000",4,4.5,"4,893",0.51,37.009777,-122.037955
9,"
                  320 Towhee Dr,
                  ",Santa Cruz,CA,95060,"$924,900",3,2,"1,796",0.91,37.054667,-122.148399
10,"
                  117 LA Canada Way,
                  ",Santa Cruz,CA,95060,"$949,000",2,2,"1,826",0.37,37.01775,-122.035071
11,"
                  168 Bernard Ln,
                  ",Santa Cruz,CA,95060,"$1,050,000",4,4,"2,419",1.09,37.029289,-122.008065
12,"
                  36 Grainger Ln,
                  ",Santa Cruz,CA,95060,"$915,000",3,2,"1,744",1.75,37.071453,-122.130477
13,"
                  343 Pineridge Rd,
                  ",Santa Cruz,CA,95060,"$1,099,000",4,3.5,"2,738",1.37,37.043317,-122.114468
14,"
                  215 Weeks Ave,
                  ",Santa Cruz,CA,95060,"$1,395,000",5,2.5,"2,445",0.23,36.97023,-122.033958
15,"
                  143 Acadia Ave,
                  ",Santa Cruz,CA,95060,"$895,000",2,1,875,"1,699",36.96607,-122.037143
16,"
                  108 Meadowview Ln,
                  ",Santa Cruz,CA,95060,"$969,000",3,3.5,"2,920","3,136",36.989692,-122.013024
17,"
                  150 Rankin St,
                  ",Santa Cruz,CA,95060,"$839,000",2,1.5,"1,052","3,136",36.960574,-122.041467
