,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
0,2412 Palmer Ave,Belmont,CA,94002,1459000,3,2.0,1360.0,5001.0,37.516781,-122.30462299999999
1,1909 Hillman Ave,Belmont,CA,94002,1595000,4,2.0,2220.0,3999.0,37.521972,-122.29407900000001
2,641 Waltermire St,Belmont,CA,94002,899999,2,1.0,840.0,4234.0,37.520233000000005,-122.27314399999999
3,2706 Sequoia Way,Belmont,CA,94002,1588000,3,2.0,1860.0,5210.0,37.520192,-122.30943700000002
4,1568 Winding Way,Belmont,CA,94002,1999000,4,3.5,2900.0,16117.2,37.52428,-122.29124099999999
5,1440 5th Ave,Belmont,CA,94002,1249950,2,1.0,1170.0,5001.0,37.516227,-122.27276299999998
6,1527 Ridge Rd,Belmont,CA,94002,1485000,3,2.0,1220.0,5502.0,37.522964,-122.290578
7,1249 North Rd,Belmont,CA,94002,1995000,4,3.5,2720.0,9601.0,37.523886,-122.28686200000001
9,685 South Rd,Belmont,CA,94002,1988000,3,3.0,2610.0,11325.6,37.520637,-122.281695
10,2501 Lincoln Ave,Belmont,CA,94002,1598000,3,2.0,1508.0,6100.0,37.518087,-122.306904
11,1569 Sixth Ave,Belmont,CA,94002,2198000,5,3.0,3160.0,11761.2,37.514502,-122.270684
12,2021 Lyon Ave,Belmont,CA,94002,1695000,3,2.5,1540.0,3951.0,37.522995,-122.298666
13,600 Kingston Rd,Belmont,CA,94002,2700000,3,2.0,2080.0,13939.2,37.522085,-122.281924
15,2417 Hastings Dr,Belmont,CA,94002,1795000,3,2.5,2210.0,3938.0,37.505247,-122.29633600000001
16,213 Visitacion Ave,Brisbane,CA,94005,698000,1,1.0,850.0,2614.0,37.682818,-122.403095
17,260 Monterey St,Brisbane,CA,94005,1438000,4,2.5,2380.0,3485.0,37.683129,-122.401917
18,478 Kings Rd,Brisbane,CA,94005,1588000,3,3.0,1790.0,8712.0,37.678221,-122.400926
19,271 Humboldt Rd,Brisbane,CA,94005,1498000,3,2.5,2200.0,5663.0,37.683422,-122.40650600000001
20,1812 Easton Dr,Burlingame,CA,94010,2670000,4,4.5,2790.0,5449.0,37.583493,-122.37166200000001
21,413 Hillsborough Blvd,Hillsborough,CA,94010,4995000,4,3.5,3126.0,15246.0,37.561393,-122.35351000000001
22,1060 Macadamia Dr,Hillsborough,CA,94010,3499000,5,4.5,3650.0,21780.0,37.571956,-122.38191299999998
23,240 Pinehill Rd,Hillsborough,CA,94010,17900000,3,5.5,8930.0,89733.6,37.557534999999994,-122.366068
24,119 Bridge Rd,Hillsborough,CA,94010,13880000,6,8.5,10510.0,75358.8,37.562276000000004,-122.332823
26,1277 Balboa Ave,Burlingame,CA,94010,3300000,4,4.0,2698.0,5001.0,37.584879,-122.36978400000001
27,109 DE Sabla Rd,Hillsborough,CA,94010,9875000,6,6.5,7883.0,38768.4,37.563543,-122.33276799999999
28,1120 Bromfield Rd,Hillsborough,CA,94010,6800000,5,4.5,4620.0,15681.6,37.562958,-122.356265
29,1431 DE Soto Ave,Burlingame,CA,94010,1995000,3,2.0,1400.0,5458.0,37.583335,-122.37765300000001
30,115 Robin Rd,Hillsborough,CA,94010,6150000,4,4.5,4400.0,87120.0,37.560115,-122.362224
31,1061 San Raymundo Rd,Hillsborough,CA,94010,7950000,6,8.0,8210.0,167270.4,37.559162,-122.353372
32,933 Baileyana Rd,Hillsborough,CA,94010,6498000,4,3.5,3985.0,15681.6,37.57541,-122.37688700000001
33,1540 Los Montes Dr,Burlingame,CA,94010,2375000,4,2.5,2540.0,10454.4,37.575551000000004,-122.395664
34,2600 Skyfarm Dr,Hillsborough,CA,94010,6250000,4,4.5,3980.0,51400.8,37.559441,-122.37694499999999
35,610 El Cerrito Ave,Hillsborough,CA,94010,5488000,4,4.5,5030.0,25264.8,37.557494,-122.34253999999999
36,1441 Alvarado Ave,Burlingame,CA,94010,2895000,3,2.5,2730.0,9130.0,37.579399,-122.381681
37,28 Bloomfield Rd,Burlingame,CA,94010,4498000,5,4.5,3586.0,7850.0,37.580125,-122.337185
38,1525 Los Montes Dr,Burlingame,CA,94010,2968000,5,4.5,3200.0,8581.0,37.57443,-122.395533
39,2831 Adeline Dr,Burlingame,CA,94010,2088000,3,2.0,1750.0,9374.0,37.580490000000005,-122.384883
40,1130 Southdown Rd,Hillsborough,CA,94010,2795000,3,2.0,2140.0,14810.4,37.549525,-122.35320300000001
41,2714 Easton Dr,Burlingame,CA,94010,4450000,5,3.5,3983.0,7436.0,37.578216,-122.378424
42,300 Sierra Dr,Hillsborough,CA,94010,4750000,4,4.5,3920.0,30492.0,37.558479999999996,-122.3413
43,1375 Black Mountain Rd,Hillsborough,CA,94010,2750000,4,3.0,2950.0,30492.0,37.546956,-122.35631599999999
44,2816 Easton Dr,Burlingame,CA,94010,3988000,6,5.0,4592.0,11761.2,37.577628999999995,-122.38061699999999
45,15 Pilarcitos Ct,Hillsborough,CA,94010,3950000,5,4.5,3678.0,63162.0,37.53208,-122.36013899999999
46,1308 Castillo Ave,Burlingame,CA,94010,4685000,4,3.0,3010.0,5998.0,37.580134,-122.376543
47,1541 Burlingame Ave,Burlingame,CA,94010,4895000,4,3.5,3524.0,8533.0,37.57489,-122.35068000000001
48,2856 Adeline Dr,Burlingame,CA,94010,2595000,4,3.0,3420.0,37026.0,37.581942,-122.386352
49,20 Santa Felicia Ct,Hillsborough,CA,94010,4888000,6,6.5,5460.0,31798.8,37.5446,-122.33505500000001
50,926 Baileyana Rd,Hillsborough,CA,94010,5798000,4,3.5,5275.0,15246.0,37.575396000000005,-122.37622900000001
51,463 El Arroyo Rd,Hillsborough,CA,94010,5750000,5,4.5,4650.0,27878.4,37.561287,-122.357211
52,430 Moseley Rd,Hillsborough,CA,94010,3980000,4,3.0,3392.0,30056.4,37.554255,-122.366276
53,45 W Avondale Rd,Hillsborough,CA,94010,3550000,5,3.0,3650.0,21780.0,37.545087,-122.358901
54,760 Crystal Springs Rd,Hillsborough,CA,94010,5395000,5,6.5,6175.0,27878.4,37.553632,-122.339017
55,1369 DE Soto Ave,Burlingame,CA,94010,2788000,4,3.0,2590.0,5998.0,37.582089,-122.375657
56,2116 Broadway,Burlingame,CA,94010,2380000,3,2.0,2040.0,5998.0,37.579594,-122.37066200000001
57,150 Woodridge Rd,Hillsborough,CA,94010,4399000,6,4.5,5225.0,21780.0,37.546746,-122.34964099999999
58,10 Bluebell Ln,Hillsborough,CA,94010,2999000,4,4.0,4580.0,23522.4,37.538101,-122.352787
59,320 Robinwood Ln,Hillsborough,CA,94010,5800000,4,5.0,5042.0,22651.2,37.550397,-122.36358200000001
60,835 Longview Rd,Hillsborough,CA,94010,3490000,4,3.0,2940.0,19166.4,37.553235,-122.34376999999999
61,2435 Summit Dr,Hillsborough,CA,94010,4398000,5,4.0,3870.0,16552.8,37.574844,-122.378382
62,790 Bowhill Rd,Hillsborough,CA,94010,3695000,4,3.0,3426.0,21780.0,37.553233,-122.34103400000001
63,205 Glen Aulin Ln,Burlingame,CA,94010,4680000,5,4.5,4543.0,10018.8,37.571608000000005,-122.388525
64,147 Oakridge Dr,Daly City,CA,94014,898000,3,2.0,1270.0,6098.0,37.706337,-122.42801200000001
65,488 Willits St,Daly City,CA,94014,999950,4,2.0,1668.0,3001.0,37.696958,-122.468144
66,1003 Ocean View Ave,Daly City,CA,94014,1089000,3,2.5,2304.0,1647.0,37.702138,-122.45918600000002
67,410 Ford St,Daly City,CA,94014,1188000,3,3.0,1770.0,2500.0,37.693655,-122.45858100000001
68,267 Abbot Ave,Daly City,CA,94014,799888,2,1.0,1030.0,8002.0,37.694966,-122.46075900000001
69,Nouveau,Daly City,CA,94014,1496995,4,3.5,2853.0,,37.700511,-122.413499
70,516 Southhill Blvd,Daly City,CA,94014,899000,3,2.0,1190.0,4591.0,37.705110999999995,-122.439669
71,116 Woodrow St,Daly City,CA,94014,575000,2,1.0,770.0,3049.0,37.702763,-122.467878
72,2 Rosebud Ct,Daly City,CA,94014,1075000,3,3.0,1573.0,1307.0,37.686842,-122.462254
73,357 Winchester St,Daly City,CA,94014,775000,3,2.0,1795.0,2614.0,37.705638,-122.45446499999998
74,262 Alta Vista Way,Daly City,CA,94014,949000,4,3.0,,5227.0,37.704322999999995,-122.440502
75,41 Frankfort St,Daly City,CA,94014,799000,3,2.0,1390.0,2178.0,37.706855,-122.442132
76,271 Irvington St,Daly City,CA,94014,885000,4,2.0,1060.0,2500.0,37.706815999999996,-122.455574
77,67 Royce Way,Daly City,CA,94014,1049000,3,2.0,1190.0,2300.0,37.691921,-122.454471
78,169 Parkview Ave,Daly City,CA,94014,1100000,3,2.0,2045.0,2614.0,37.70106,-122.46561100000001
79,333 Peoria St,Daly City,CA,94014,699000,4,1.0,1130.0,4792.0,37.703009,-122.457669
80,143 Hillcrest Dr,Daly City,CA,94014,998000,5,3.0,1610.0,2500.0,37.706198,-122.465006
81,995 Ocean View Ave,Daly City,CA,94014,1349000,3,2.5,2265.0,1721.0,37.701838,-122.459199
82,35-39 Mission Cir,Daly City,CA,94014,1100000,3,2.0,1922.0,2675.0,37.706438,-122.46207199999999
83,339 Frankfort St,Daly City,CA,94014,1150000,5,3.0,1990.0,3001.0,37.704563,-122.448722
84,1 Martin,Daly City,CA,94014,1521995,5,4.5,2914.0,2448.0,37.700645,-122.41358799999999
85,Ascend,Daly City,CA,94014,1519995,4,3.5,3028.0,,37.700511,-122.413499
86,149 Abbot Ave,Daly City,CA,94014,845000,3,2.0,1160.0,2614.0,37.696804,-122.460812
87,225 Baltimore Way,Daly City,CA,94014,928000,2,1.0,1320.0,3485.0,37.707794,-122.434992
88,308 2nd Ave,Daly City,CA,94014,950000,3,2.0,1550.0,2178.0,37.687614,-122.463408
89,280 E Market St,Daly City,CA,94014,1000000,3,3.0,1300.0,1742.0,37.689529,-122.46245800000001
90,1004 Ocean View Ave,Daly City,CA,94014,1264039,4,3.5,2209.0,1400.0,37.702278,-122.45948600000001
91,1 Martin St,Daly City,CA,94014,1521995,5,4.5,2917.0,2450.0,37.700645,-122.41358799999999
92,27 Westline Dr,Daly City,CA,94015,1095000,4,2.0,2250.0,3302.0,37.665708,-122.491148
93,54 Pinehaven Dr,Daly City,CA,94015,998888,3,1.5,1330.0,3798.0,37.694334999999995,-122.489783
94,263 St Catherine Dr,Daly City,CA,94015,1088000,3,2.5,1720.0,3485.0,37.677777,-122.481378
95,141 Ashland Dr,Daly City,CA,94015,988000,3,1.0,1300.0,3202.0,37.697796999999994,-122.491506
96,103 Village Ln,Daly City,CA,94015,1050000,2,1.0,1440.0,4792.0,37.693917,-122.47486699999999
97,142 Belcrest Ave,Daly City,CA,94015,698000,3,1.0,107.0,3300.0,37.664659,-122.490835
98,144 Westmoor Ave,Daly City,CA,94015,979888,3,2.0,1410.0,3485.0,37.683469,-122.48528300000001
99,119 Lycett Cir,Daly City,CA,94015,999888,4,3.0,1760.0,3920.0,37.655603,-122.46531100000001
100,575 Verducci Dr,Daly City,CA,94015,995000,4,3.0,1790.0,3049.0,37.650607,-122.46216100000001
101,144 Mirada Dr,Daly City,CA,94015,1390000,5,4.0,1995.0,3485.0,37.683174,-122.476037
102,1039 87th St,Daly City,CA,94015,998000,4,1.0,1620.0,3402.0,37.692624,-122.489984
103,19 Fairmont Dr,Daly City,CA,94015,988888,3,2.0,1430.0,3402.0,37.700386,-122.492919
104,824 Ellis Dr,Daly City,CA,94015,849000,2,1.0,910.0,5227.0,37.695659,-122.48501399999999
105,98 Huntington Dr,Daly City,CA,94015,990000,3,2.0,1160.0,3485.0,37.68119,-122.485308
106,264 San Fernando Way,Daly City,CA,94015,980000,6,4.0,2170.0,3485.0,37.680877,-122.477281
107,63 Montebello Dr,Daly City,CA,94015,948888,3,1.0,1060.0,3960.0,37.665504,-122.48817199999999
108,227 Del Prado Dr,Daly City,CA,94015,999000,4,3.0,1640.0,3485.0,37.6789,-122.47962
109,78 Norwood Ave,Daly City,CA,94015,989000,4,1.0,1030.0,4487.0,37.657944,-122.46464099999999
110,620 Larchmont Dr,Daly City,CA,94015,1198000,4,2.0,1454.0,7261.0,37.687509999999996,-122.483151
111,60 Westdale Ave,Daly City,CA,94015,895000,2,1.0,1220.0,3485.0,37.706551,-122.478206
112,35 Wembley Dr,Daly City,CA,94015,923000,3,2.0,1330.0,3485.0,37.662346,-122.470023
113,196 Castillejo Dr,Daly City,CA,94015,1150000,4,3.0,1520.0,3428.0,37.669478000000005,-122.48128899999999
114,1096 S Mayfair Ave,Daly City,CA,94015,1088000,4,2.0,1611.0,3485.0,37.692919,-122.493928
115,80 Beachside Ct,Daly City,CA,94015,1095000,3,2.0,1250.0,3920.0,37.662663,-122.49061200000001
116,265 Westridge Ave,Daly City,CA,94015,1160000,5,3.0,1650.0,3485.0,37.689245,-122.494006
117,32 Fairlawn Ct,Daly City,CA,94015,1095000,4,3.0,1619.0,3485.0,37.696408,-122.48598500000001
118,50 Parkwood Dr,Daly City,CA,94015,1250000,3,3.0,2010.0,3498.0,37.701005,-122.47946599999999
119,47 Fairmont Dr,Daly City,CA,94015,1188000,3,2.0,1910.0,3485.0,37.700998999999996,-122.493205
120,1321 S Mayfair Ave,Daly City,CA,94015,1180000,4,2.0,1759.0,3485.0,37.688107,-122.488881
121,82 Nelson Ct,Daly City,CA,94015,1049000,4,2.0,1470.0,3485.0,37.653224,-122.466714
122,425 Almeria Ave,El Granada,CA,94018,1399000,3,3.0,2950.0,4948.0,37.510296000000004,-122.479271
125,281 Shelter Cove Dr,El Granada,CA,94018,1050000,3,2.0,1480.0,5401.0,37.512089,-122.48769399999999
126,822 San Carlos Ave,El Granada,CA,94018,1680000,3,3.5,3308.0,9378.0,37.510921999999994,-122.478182
128,246 San Clemente Rd,El Granada,CA,94018,1295000,3,2.5,2850.0,13503.6,37.506992,-122.465521
129,247 Columbus St,El Granada,CA,94018,1100000,3,1.5,1250.0,6251.0,37.505881,-122.477007
130,346 Carmel Ave,El Granada,CA,94018,1199000,4,3.0,1690.0,6098.0,37.507628000000004,-122.476076
131,230 El Granada Blvd,El Granada,CA,94018,1295000,5,3.5,2610.0,6970.0,37.506019,-122.463408
133,301 Myrtle St,Half Moon Bay,CA,94019,949950,2,2.0,1160.0,7505.0,37.458826,-122.439504
134,2065 Touraine Ln,Half Moon Bay,CA,94019,1150000,3,2.0,1790.0,7292.0,37.486464,-122.44346499999999
135,380 Burning Tree Ct,Half Moon Bay,CA,94019,1615000,4,2.5,3470.0,5502.0,37.433363,-122.42971000000001
136,2165 Higgins Canyon Rd,Half Moon Bay,CA,94019,4750000,6,4.5,4500.0,422967.6,37.441217,-122.39801200000001
137,630 Miramar Dr,Half Moon Bay,CA,94019,2390000,5,4.0,4140.0,9919.0,37.495994,-122.45016399999999
138,11650 San Mateo Rd,Half Moon Bay,CA,94019,2750000,3,2.0,9999.0,1267160.4,37.492657,-122.389679
139,516 Highland Ave,Half Moon Bay,CA,94019,1475000,4,3.0,3083.0,8799.0,37.472595,-122.434001
140,221 Correas St,Half Moon Bay,CA,94019,2495000,5,4.0,3722.0,10018.8,37.46306,-122.44110400000001
141,401 Antoinette Ln,Half Moon Bay,CA,94019,1279000,3,2.0,1460.0,5998.0,37.475874,-122.444865
142,400 Irish Ridge Rd,Half Moon Bay,CA,94019,2950000,3,3.0,2250.0,1742400.0,37.405953000000004,-122.37616399999999
143,320 Coronado Ave,Half Moon Bay,CA,94019,1525000,3,3.0,2250.0,8799.0,37.497240000000005,-122.459268
