,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
824,21 Sandy Ct,Orinda,CA,94563,2095000,4,3.5,3507.0,28749.6,37.859004,-122.159824
825,60 LA Espiral,Orinda,CA,94563,1995000,5,4.0,3914.0,26571.6,37.89628,-122.18281499999999
826,56 Donna Maria Way,Orinda,CA,94563,1395000,3,2.0,1667.0,15681.6,37.844784999999995,-122.15618300000001
827,48 Oak Dr,Orinda,CA,94563,2765000,4,3.5,3990.0,41382.0,37.85897,-122.166211
828,258 Glorietta Blvd,Orinda,CA,94563,1275000,3,2.0,1846.0,13068.0,37.872209000000005,-122.160853
829,3 Honey Hill Ct,Orinda,CA,94563,2795000,6,4.5,4506.0,31363.2,37.900095,-122.16892
830,35 Los Dedos Rd,Orinda,CA,94563,1750000,3,3.5,2481.0,31363.2,37.897346,-122.18095100000001
831,37 Sleepy Hollow Ln,Orinda,CA,94563,1695000,4,2.5,2529.0,27442.8,37.904894,-122.194033
832,24 Tarabrook Dr,Orinda,CA,94563,1188000,4,2.0,1680.0,17859.6,37.879052,-122.17173600000001
833,428 Moraga Way,Orinda,CA,94563,1130000,3,2.5,2108.0,49658.4,37.85954,-122.164753
834,48 Oak Rd,Orinda,CA,94563,2295000,3,3.0,3585.0,46173.6,37.870858,-122.181148
835,64 Brookwood Rd,Orinda,CA,94563,888000,3,2.0,1351.0,2800.0,37.875371,-122.183663
836,114 Goodfellow Dr,Orinda,CA,94563,1675000,5,4.0,2735.0,20908.8,37.862671,-122.143014
837,4 Oak Flat Rd,Orinda,CA,94563,1795000,4,3.5,3007.0,28749.6,37.896595,-122.169824
838,25 Moraga Via,Orinda,CA,94563,2195000,5,4.5,3369.0,15246.0,37.866886,-122.160996
839,7 Carisbrook Dr,Orinda,CA,94563,1150000,4,2.0,1877.0,11761.2,37.845461,-122.14668400000001
840,88 Van Ripper Ln,Orinda,CA,94563,1395000,4,2.0,2031.0,10018.8,37.907855,-122.18328600000001
841,25 Rustic Way,Orinda,CA,94563,4250000,6,5.5,8514.0,354578.4,37.865588,-122.15798999999998
842,3 Nonie Rd,Orinda,CA,94563,1395000,3,2.0,2243.0,15681.6,37.878971,-122.168571
843,21 Woodcrest Rd,Orinda,CA,94563,1375000,3,3.0,2750.0,32670.0,37.865651,-122.16139799999999
844,309 El Toyonal,Orinda,CA,94563,1275000,5,2.5,2350.0,10018.8,37.88332,-122.209525
845,96 Claremont Ave,Orinda,CA,94563,849000,2,2.0,1672.0,4875.0,37.88994,-122.20809299999999
846,1 Sycamore Rd,Orinda,CA,94563,3250000,5,4.5,3977.0,54014.4,37.905974,-122.179153
