,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1,"
                  127 Elliott Dr,
                  ",Menlo Park,CA,94025,"$4,498,000",5,4,"3,078","9,345",37.460695,-122.150098
2,"
                  556 Placitas Ave,
                  ",Menlo Park,CA,94025,"$3,695,000",5,4,"3,650",0.25,37.473579,-122.195253
3,"
                  4 Palm Ct,
                  ",Menlo Park,CA,94025,"$5,775,000",5,4,"3,207",0.24,37.437836,-122.193536
4,"
                  670 Magnolia St,
                  ",Menlo Park,CA,94025,"$4,850,000",5,4.5,"3,035",0.23,37.437714,-122.190285
5,"
                  304 Ivy Dr,
                  ",Menlo Park,CA,94025,"$1,199,000",4,2,"1,437","5,750",37.475555,-122.163528
6,"
                  524 9th Ave,
                  ",Menlo Park,CA,94025,"$1,725,000",3,3,"1,610","5,634",37.473679,-122.19881
7,"
                  1131 Hobart St,
                  ",Menlo Park,CA,94025,"$5,998,000",6,6.5,"5,430",0.23,37.441688,-122.194176
8,"
                  1127 Madera Ave,
                  ",Menlo Park,CA,94025,"$1,350,000",3,2,"1,540","5,750",37.472069,-122.157715
9,"
                  1050 Louise St,
                  ",Menlo Park,CA,94025,"$6,988,000",6,7.5+,"6,412",0.37,37.435904,-122.197096
10,"
                  614 10th Ave,
                  ",Menlo Park,CA,94025,"$1,295,000",3,1,"1,100","5,350",37.474852,-122.196973
11,"
                  1145 Almanor Ave,
                  ",Menlo Park,CA,94025,"$1,100,000",3,2,"1,220","5,290",37.474816,-122.162458
12,"
                  653 San Benito Ave,
                  ",Menlo Park,CA,94025,"$1,395,000",3,2,"1,250","3,959",37.474636,-122.194588
13,"
                  2312 Loma Prieta Ln,
                  ",Menlo Park,CA,94025,"$6,488,000",5,5.5+,"5,526",0.31,37.426249,-122.204037
14,"
                  1110 Madera Ave,
                  ",Menlo Park,CA,94025,"$998,000",3,1,"1,040","6,000",37.471376,-122.157408
15,"
                  1323 Sevier Ave,
                  ",Menlo Park,CA,94025,"$998,000",3,1,"1,130","5,750",37.477233,-122.156122
16,"
                  1115 Trinity Dr,
                  ",Menlo Park,CA,94025,"$5,699,000",4,3.5,"4,017",0.38,37.427231,-122.214742
17,"
                  2111 Manzanita Ave,
                  ",Menlo Park,CA,94025,"$3,800,000",4,4,"2,710","6,000",37.435104,-122.209544
18,"
                  575 6th Ave,
                  ",Menlo Park,CA,94025,"$1,349,000",3,1,"1,200","4,544",37.475663,-122.201597
19,"
                  765 Cotton St,
                  ",Menlo Park,CA,94025,"$6,488,000",6,4.5,"5,088",0.25,37.440176,-122.189584
20,"
                  193 Willow Rd,
                  ",Menlo Park,CA,94025,"$5,388,888",5,5,"3,931",0.32,37.456704,-122.163382
21,"
                  315 Haight St,
                  ",Menlo Park,CA,94025,"$1,498,000",2,1,"1,140","6,500",37.467015,-122.154387
22,"
                  1251 Valparaiso Ave,
                  ",Menlo Park,CA,94025,"$5,998,000",5,3.5+,"4,170",0.57,37.446599,-122.194833
23,"
                  985 Siskiyou Dr,
                  ",Menlo Park,CA,94025,"$3,800,000",3,2.5,"2,540",0.32,37.422763,-122.212093
24,"
                  660 Vine St,
                  ",Menlo Park,CA,94025,"$5,725,000",5,4,"3,121",0.23,37.430989,-122.194432
25,"
                  2316 Blueridge Ave,
                  ",Menlo Park,CA,94025,"$3,085,000",3,2.5,"2,045",0.26,37.425106,-122.202317
26,"
                  2044 Ashton Ave,
                  ",Menlo Park,CA,94025,"$2,698,000",4,2,"1,925","6,000",37.43377,-122.202707
27,"
                  30 Sharon Ct,
                  ",Menlo Park,CA,94025,"$2,950,000",3,2,"1,620",0.26,37.42868,-122.199345
28,"
                  401 Oak Ct,
                  ",Menlo Park,CA,94025,"$3,499,000",4,3,"2,320",0.37,37.458141,-122.148008
29,"
                  3018 Alameda De Las Pulgas,
                  ",Menlo Park,CA,94025,"$1,899,999",3,2,"1,320","6,192",37.436419,-122.211727
30,"
                  520 Barron St,
                  ",Menlo Park,CA,94025,"$2,439,000",3,2.5,"1,580","2,841",37.453898,-122.174341
31,"
                  626 Partridge Ave Unit 2,
                  ",Menlo Park,CA,94025,"$2,495,000",3,2.5,"1,883","4,740",37.44875,-122.175843
32,"
                  151 Elliott Dr,
                  ",Menlo Park,CA,94025,"$2,388,000",3,2,"1,562","6,200",37.460351,-122.150245
33,"
                  204 Chester St,
                  ",Menlo Park,CA,94025,"$1,688,000",2,1,"1,090","6,216",37.46552,-122.15254
34,"
                  2071 Valparaiso Ave,
                  ",Menlo Park,CA,94025,"$1,995,000",3,2.5,"2,000","6,000",37.434284,-122.205255
35,"
                  501 Laurel Ave,
                  ",Menlo Park,CA,94025,"$3,995,000",4,3,"2,650","6,625",37.460677,-122.155035
36,"
                  655 Gilbert Ave,
                  ",Menlo Park,CA,94025,"$3,988,888",4,3.5,"2,776","8,925",37.460212,-122.16183
37,"
                  719 17th Ave,
                  ",Menlo Park,CA,94025,"$2,100,000",4,3,"2,060","5,084",37.474304,-122.190531
38,"
                  651 18th Ave,
                  ",Menlo Park,CA,94025,"$1,498,000",3,2,"1,440","5,350",37.472913,-122.190411
39,"
                  161 Willow Rd,
                  ",Menlo Park,CA,94025,"$3,449,000",5,4,"2,766","8,660",37.456006,-122.163564
40,"
                  1002 Middle Ave,
                  ",Menlo Park,CA,94025,"$2,680,000",3,2.5,"1,610","3,595",,
41,"
                  1040 Ringwood Ave,
                  ",Menlo Park,CA,94025,"$1,988,000",4,2,"1,480","6,000",37.472928,-122.166325
42,"
                  1969 Palo Alto Way,
                  ",Menlo Park,CA,94025,"$2,698,000",3,1,"1,430","6,550",37.428478,-122.192339
43,"
                  440 9th Ave,
                  ",Menlo Park,CA,94025,"$2,150,000",3,2,"1,730","9,300",37.471271,-122.199915
44,"
                  671 Live Oak Ave,
                  ",Menlo Park,CA,94025,"$2,298,888",3,1,980,"5,650",37.451295,-122.181096
1,"
                  1 Odell Pl,
                  ",Atherton,CA,94027,"$7,895,000",5,5.5,"5,885",0.78,37.461742,-122.20035
2,"
                  226 Park Ln,
                  ",Atherton,CA,94027,"$16,988,000",3,3.5,"3,520",1.43,37.446345,-122.202458
3,"
                  302 Stevick Dr,
                  ",Atherton,CA,94027,"$5,500,000",3,2.5,"2,320",1.0,37.441265,-122.220404
4,"
                  190 Almendral Ave,
                  ",Atherton,CA,94027,"$22,500,000",6,7.5+,"11,160",1.0,37.453006,-122.214224
5,"
                  236 Camino Al Lago,
                  ",Atherton,CA,94027,"$15,995,000",6,5,"4,910",2.0,37.442656,-122.206575
6,"
                  1 Heritage Ct,
                  ",Atherton,CA,94027,"$4,799,888",5,5.5+,"4,293",0.49,37.469346,-122.192484
7,"
                  98 Monte Vista Ave,
                  ",Atherton,CA,94027,"$8,250,000",3,2,"1,815",1.13,37.442484,-122.207656
8,"
                  59 Almendral Ave,
                  ",Atherton,CA,94027,"$8,500,000",5,4,"3,790",1.06,37.460408,-122.206489
9,"
                  490 Walsh Rd,
                  ",Atherton,CA,94027,"$7,999,000",5,4.5,"4,478",2.0,37.425448,-122.226056
10,"
                  10 DE Bell Dr,
                  ",Atherton,CA,94027,"$5,500,000",5,5.5,"3,760",1.29,37.462651,-122.178295
11,"
                  30 Southgate St,
                  ",Atherton,CA,94027,"$3,050,000",3,2,"2,018","6,750",37.461696,-122.206366
12,"
                  1 Holbrook Ln,
                  ",Atherton,CA,94027,"$5,500,000",6,5,"4,235",0.3,37.46971,-122.193321
13,"
                  74 Atherton Ave,
                  ",Atherton,CA,94027,"$12,900,000",4,5.5,"6,296",1.5,37.45769,-122.204039
14,"
                  87 Patricia Dr,
                  ",Atherton,CA,94027,"$19,500,000",5,6.5,"6,535",1.15,37.461174,-122.212866
15,"
                  333 Fletcher Dr,
                  ",Atherton,CA,94027,"$9,380,000",4,5.5,"6,531",1.01,37.439668,-122.223226
16,"
                  2 Fredrick Ave,
                  ",Atherton,CA,94027,"$7,295,000",5,3.5,"4,010",0.89,37.472005,-122.17206
17,"
                  76 Fairview Ave,
                  ",Atherton,CA,94027,"$11,380,000",5,4.5+,"7,109",0.91,37.439962,-122.21215
18,"
                  54 Reservoir Rd,
                  ",Atherton,CA,94027,"$5,495,000",4,3,"2,785",1.16,37.430296,-122.221897
