,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
0,127 Elliott Dr,Menlo Park,CA,94025,4498000,5,4.0,3078,9345.0,37.460695,-122.150098
1,556 Placitas Ave,Menlo Park,CA,94025,3695000,5,4.0,3650,10890.0,37.473579,-122.19525300000001
2,4 Palm Ct,Menlo Park,CA,94025,5775000,5,4.0,3207,10454.4,37.437836,-122.19353600000001
3,670 Magnolia St,Menlo Park,CA,94025,4850000,5,4.5,3035,10018.8,37.437714,-122.190285
4,304 Ivy Dr,Menlo Park,CA,94025,1199000,4,2.0,1437,5750.0,37.475555,-122.163528
5,524 9th Ave,Menlo Park,CA,94025,1725000,3,3.0,1610,5634.0,37.473679,-122.19881000000001
6,1131 Hobart St,Menlo Park,CA,94025,5998000,6,6.5,5430,10018.8,37.441688,-122.194176
7,1127 Madera Ave,Menlo Park,CA,94025,1350000,3,2.0,1540,5750.0,37.472069,-122.157715
8,1050 Louise St,Menlo Park,CA,94025,6988000,6,7.5,6412,16117.2,37.435904,-122.197096
9,614 10th Ave,Menlo Park,CA,94025,1295000,3,1.0,1100,5350.0,37.474852,-122.196973
10,1145 Almanor Ave,Menlo Park,CA,94025,1100000,3,2.0,1220,5290.0,37.474816,-122.162458
11,653 San Benito Ave,Menlo Park,CA,94025,1395000,3,2.0,1250,3959.0,37.474636,-122.19458799999998
12,2312 Loma Prieta Ln,Menlo Park,CA,94025,6488000,5,5.5,5526,13503.6,37.426249,-122.20403700000001
13,1110 Madera Ave,Menlo Park,CA,94025,998000,3,1.0,1040,6000.0,37.471376,-122.157408
14,1323 Sevier Ave,Menlo Park,CA,94025,998000,3,1.0,1130,5750.0,37.477233,-122.156122
15,1115 Trinity Dr,Menlo Park,CA,94025,5699000,4,3.5,4017,16552.8,37.427231,-122.21474199999999
16,2111 Manzanita Ave,Menlo Park,CA,94025,3800000,4,4.0,2710,6000.0,37.435103999999995,-122.209544
17,575 6th Ave,Menlo Park,CA,94025,1349000,3,1.0,1200,4544.0,37.475663,-122.20159699999999
18,765 Cotton St,Menlo Park,CA,94025,6488000,6,4.5,5088,10890.0,37.440176,-122.18958400000001
19,193 Willow Rd,Menlo Park,CA,94025,5388888,5,5.0,3931,13939.2,37.456703999999995,-122.16338200000001
20,315 Haight St,Menlo Park,CA,94025,1498000,2,1.0,1140,6500.0,37.467015,-122.15438700000001
