,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1340,1719 Eisenhower St,San Mateo,CA,94403,1499999,3,2.5,2045.0,5001.0,37.55918,-122.295574
1341,120 22nd Ave,San Mateo,CA,94403,1100000,3,1.0,1740.0,6098.0,37.546109,-122.309399
1342,3808 Branson Dr,San Mateo,CA,94403,1098000,3,2.0,1230.0,5001.0,37.538946,-122.28409099999999
1343,1243 Homewood Ave,San Mateo,CA,94403,1938000,3,2.0,2280.0,11325.6,37.527636,-122.32366
1344,3700 Lola St,San Mateo,CA,94403,1698000,3,2.0,1520.0,5798.0,37.530024,-122.304695
1345,300 42nd Ave,San Mateo,CA,94403,1898000,4,2.5,2600.0,7279.0,37.540417,-122.30416100000001
1346,149 30th Ave,San Mateo,CA,94403,1799000,3,2.0,1920.0,8250.0,37.537888,-122.30515600000001
1347,3310 Marisma St,San Mateo,CA,94403,1625000,5,2.0,1800.0,7841.0,37.540979,-122.28008500000001
1348,519 Madera Dr,San Mateo,CA,94403,1369000,2,1.0,1310.0,7200.0,37.543509,-122.32001499999998
1349,560 30th Ave,San Mateo,CA,94403,1750000,4,2.5,1850.0,5249.0,37.535193,-122.312946
1350,918 Laurelwood Dr,San Mateo,CA,94403,2548000,4,3.0,2400.0,9500.0,37.527075,-122.317653
1351,23 Amy Dr,San Mateo,CA,94403,1457000,3,2.5,1730.0,2753.0,37.522040000000004,-122.33062
1352,2816 Juniper St,San Mateo,CA,94403,1500000,3,2.0,1750.0,5976.0,37.5386,-122.30903500000001
1353,133 Sylvan Ave,San Mateo,CA,94403,1898000,5,2.0,2670.0,8250.0,37.537603000000004,-122.30381100000001
1354,1642 Roberta Dr,San Mateo,CA,94403,1398000,6,2.5,2220.0,5828.0,37.561646,-122.293545
1355,1235 Homewood Ave,San Mateo,CA,94403,2195000,4,3.0,2900.0,10890.0,37.527551,-122.323438
1356,308 Almaden Way,San Mateo,CA,94403,1498000,3,2.0,1490.0,5001.0,37.539544,-122.288445
1357,3401 Kettering Ct,San Mateo,CA,94403,2688000,4,4.0,2646.0,10018.8,37.529414,-122.315648
1358,2904 Monterey St,San Mateo,CA,94403,1398000,3,1.0,1230.0,7148.0,37.533359000000004,-122.318643
1359,144 E Hillsdale Blvd,San Mateo,CA,94403,1495000,3,2.5,1820.0,5998.0,37.540009999999995,-122.29246299999998
1360,423 W 38th Ave,San Mateo,CA,94403,2000000,3,2.5,1960.0,8281.0,37.528618,-122.30521
1361,2629 Monterey St,San Mateo,CA,94403,2300000,5,3.5,2490.0,6874.0,37.536297,-122.320586
1362,1648 Oakwood Dr,San Mateo,CA,94403,1798000,4,2.0,2050.0,9448.0,37.527252000000004,-122.330873
