,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
0,334 Harriet St,San Francisco,CA,94103,1195000,2,2.0,,,37.775061,-122.402644
1,1331 Folsom St,San Francisco,CA,94103,4000000,2,4.0,,2178.0,37.773292,-122.41178000000001
2,456 Clementina St,San Francisco,CA,94103,4250000,2,2.5,4950.0,3920.0,37.77977,-122.405274
3,1126 Rhode Island St,San Francisco,CA,94107,1799000,3,2.0,1632.0,2614.0,37.755565999999995,-122.401999
4,779 Wisconsin St,San Francisco,CA,94107,3698000,4,3.5,,2614.0,37.757647,-122.39866
5,228 Clara St,San Francisco,CA,94107,1509000,1,1.0,800.0,2178.0,37.778973,-122.403272
6,1387 DE Haro St,San Francisco,CA,94107,995000,1,1.0,794.0,1742.0,37.752338,-122.400094
7,547 Missouri St,San Francisco,CA,94107,4995000,5,5.5,,2614.0,37.759372,-122.395909
8,224 Mississippi St,San Francisco,CA,94107,2700000,2,2.0,3400.0,2614.0,37.763555,-122.39498799999998
9,712 DE Haro St,San Francisco,CA,94107,3598000,4,3.5,2826.0,2614.0,37.760734,-122.40151999999999
10,920 Powell St,San Francisco,CA,94108,3199000,4,4.0,,,37.793289,-122.409209
11,1110 Green St,San Francisco,CA,94109,14400000,4,6.0,,,37.798642,-122.417693
12,2323 Hyde St,San Francisco,CA,94109,13800000,6,6.5,8846.0,6534.0,37.802259,-122.419873
13,1350 Jones St,San Francisco,CA,94109,16500000,4,4.0,,2178.0,37.793862,-122.414359
14,5 N View Ct,San Francisco,CA,94109,3350000,4,2.0,2963.0,3485.0,37.804034,-122.42263
15,1 McCormick St,San Francisco,CA,94109,3795000,4,4.0,3033.0,1742.0,37.794921,-122.41917099999999
16,606 Ellis St,San Francisco,CA,94109,1888000,3,2.0,1635.0,2178.0,37.784616,-122.41648300000001
17,5 Torrens Ct,San Francisco,CA,94109,1599000,3,1.0,1291.0,2178.0,37.793011,-122.418768
18,898 Francisco St,San Francisco,CA,94109,10950000,6,6.5,6305.0,5663.0,37.804120000000005,-122.41981399999999
19,2531 Larkin St,San Francisco,CA,94109,2395000,4,2.0,2575.0,2614.0,37.80126,-122.42145900000001
20,151 Bernard St,San Francisco,CA,94109,1999000,3,3.5,,1307.0,37.796094000000004,-122.415924
21,24 Costa St,San Francisco,CA,94110,849000,1,1.0,1025.0,1956.0,37.744887,-122.406566
22,738 Banks St,San Francisco,CA,94110,999000,3,2.0,1509.0,1742.0,37.733979,-122.413328
23,1609 Dolores St,San Francisco,CA,94110,2495000,4,2.0,2094.0,1742.0,37.743595,-122.424025
24,521 Ellsworth St,San Francisco,CA,94110,995000,2,1.0,1000.0,1742.0,37.73681,-122.41456299999999
25,144 Andover St,San Francisco,CA,94110,1339250,2,1.5,1744.0,1742.0,37.741081,-122.41654199999999
26,7 Wool St,San Francisco,CA,94110,695000,1,1.0,800.0,1742.0,37.741434999999996,-122.416756
27,82 Putnam St,San Francisco,CA,94110,800000,3,1.0,1240.0,1742.0,37.738493,-122.41104299999999
28,2770 23rd St,San Francisco,CA,94110,1175000,3,1.5,1454.0,1285.0,37.754582,-122.407871
29,3145 Cesar Chavez,San Francisco,CA,94110,1195000,2,1.0,1315.0,5227.0,37.747895,-122.41250900000001
30,364 Crescent Ave,San Francisco,CA,94110,2495000,4,3.0,2725.0,2614.0,37.734747,-122.417625
31,626 Banks St,San Francisco,CA,94110,898000,2,1.0,825.0,1742.0,37.735494,-122.41318799999999
32,173 Anderson St,San Francisco,CA,94110,1150000,4,1.5,1494.0,1742.0,37.740660999999996,-122.414956
33,226 Richland Ave,San Francisco,CA,94110,1500000,2,1.0,1430.0,2614.0,37.735661,-122.422226
34,373 Moultrie St,San Francisco,CA,94110,1295000,2,1.5,,1742.0,37.739351,-122.415681
35,276 Ripley St,San Francisco,CA,94110,4200000,4,3.5,,6098.0,37.74407,-122.409135
36,1225 San Bruno Ave,San Francisco,CA,94110,1199000,2,1.0,930.0,1742.0,37.753603000000005,-122.40413999999998
37,324 Rutledge St,San Francisco,CA,94110,1898000,4,3.5,1733.0,2614.0,37.745131,-122.40981000000001
