,Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
1523,735 Lakewood Dr,Sunnyvale,CA,94089,1375000,3,2.0,1420.0,5467.0,37.394635,-122.00463300000001
1524,921 Lakebird Dr,Sunnyvale,CA,94089,1140000,3,2.0,1258.0,5942.0,37.399508000000004,-121.99884399999999
1525,380 Greenlake Dr,Sunnyvale,CA,94089,1298000,3,2.0,1108.0,6826.0,37.39945,-122.00770700000001
1526,1365 Socorro Ave,Sunnyvale,CA,94089,1380000,4,2.0,1580.0,5841.0,37.390643,-121.98811599999999
1528,230 Velvetlake Dr,Sunnyvale,CA,94089,1399000,4,3.0,1468.0,8425.0,37.392911,-121.996372
1529,835 S Lakewood Dr,Sunnyvale,CA,94089,1450000,3,2.0,1108.0,5512.0,37.393539000000004,-122.00078899999998
1530,1157 Prescott Ave,Sunnyvale,CA,94089,999000,3,2.0,1108.0,6050.0,37.39784,-121.992814
1531,1121 Fairwood Ave,Sunnyvale,CA,94089,1249000,3,2.0,1108.0,7636.0,37.396506,-121.991545
1532,1101 Palamos Ave,Sunnyvale,CA,94089,1199000,3,2.0,1108.0,5654.0,37.399562,-121.995442
1533,746 Lakemuir Dr,Sunnyvale,CA,94089,1298800,3,2.0,1416.0,5889.0,37.394752000000004,-122.00399099999998
1534,1273 Socorro Ave,Sunnyvale,CA,94089,1340000,3,2.0,1486.0,5401.0,37.393838,-121.989203
1535,1241 Pecos Way,Sunnyvale,CA,94089,1189000,3,2.0,1108.0,6375.0,37.399142,-121.98960100000001
1842,1320 Harwalt Dr,Los Altos,CA,94024,2698000,4,2.5,2233.0,10890.0,37.358684000000004,-122.065514
1843,606 Paco Dr,Los Altos,CA,94024,2998000,3,2.0,1185.0,15246.0,37.376129999999996,-122.099897
1844,510 Sequoia Dr,Los Altos,CA,94024,2798000,2,1.5,1758.0,18730.8,37.339488,-122.074242
1845,1161 Payne Dr,Los Altos,CA,94024,3988000,5,3.0,4223.0,13068.0,37.35604,-122.08225900000001
1846,11040 Eastbrook Ave,Los Altos,CA,94024,2998000,4,2.5,2310.0,43995.6,37.344882,-122.09773200000001
1847,931 Matts Ct,Los Altos,CA,94024,2199988,3,2.5,2164.0,11761.2,37.366321,-122.11436699999999
1848,1150 Grant Rd,Los Altos,CA,94024,1998000,3,2.0,1329.0,11325.6,37.362679,-122.078107
1849,1416 Fallen Leaf Ln,Los Altos,CA,94024,2798000,4,2.0,1850.0,10890.0,37.356203,-122.064982
1850,1347 Morton Ave,Los Altos,CA,94024,2758000,3,2.0,2018.0,10890.0,37.348457,-122.076273
1851,690 Loyola Dr,Los Altos Hills,CA,94024,13950000,7,5.5,7700.0,164656.8,37.346061,-122.09583500000001
1852,1564 Vineyard Dr,Los Altos,CA,94024,2595000,3,3.0,2049.0,10890.0,37.336186,-122.070679
1853,1909 Farndon Ave,Los Altos,CA,94024,2599000,3,2.0,1578.0,9736.0,37.344417,-122.06678400000001
1854,353 Costello Dr,Los Altos,CA,94024,3698000,3,2.5,2536.0,29620.8,37.362645,-122.10710300000001
1855,10718 Mora Dr,Los Altos Hills,CA,94024,19999888,6,8.5,9677.0,118047.6,37.338635,-122.09718899999999
1856,1849 Grant Park Ln,Los Altos,CA,94024,3488888,4,3.5,3260.0,11325.6,37.346136,-122.06956799999999
1857,1686 Dalehurst Ave,Los Altos,CA,94024,2298000,3,2.0,1243.0,14374.8,37.347829,-122.071482
1858,1060 Golden Way,Los Altos,CA,94024,2995000,3,2.0,2034.0,10890.0,37.364015,-122.09123899999999
1859,1739 Joel Way,Los Altos,CA,94024,2598888,5,2.5,2490.0,11761.2,37.359404,-122.063753
1860,23691 Camino Hermoso Dr,Los Altos Hills,CA,94024,5500000,3,1.5,2058.0,59241.6,37.344822,-122.11108
1861,1495 Cedar Pl,Los Altos,CA,94024,2685000,4,2.0,2132.0,10890.0,37.335254,-122.071816
1862,10450 Creston Dr,Los Altos,CA,94024,2988000,4,2.5,3033.0,14810.4,37.329238000000004,-122.060093
1863,2275 Deodara Dr,Los Altos,CA,94024,2675000,3,2.5,1669.0,12196.8,37.335353999999995,-122.06881499999999
1864,1034 Golden Way,Los Altos,CA,94024,2999888,3,2.0,1837.0,10890.0,37.364439000000004,-122.09123899999999
1865,816 S Springer Rd,Los Altos,CA,94024,2975000,5,3.0,2381.0,10018.8,37.368442,-122.09640800000001
1866,930 Hayman Pl,Los Altos,CA,94024,3350000,4,3.5,2615.0,11761.2,37.366299,-122.083032
1867,1152 Miguel Ave,Los Altos,CA,94024,2450000,3,2.0,1546.0,9518.0,37.34968,-122.082051
1868,11768 Maria Ln,Los Altos Hills,CA,94024,11998000,8,8.5,9500.0,98445.6,37.353725,-122.111121
1869,1440 Highland View Ct,Los Altos,CA,94024,3398000,4,3.0,2818.0,13939.2,37.345906,-122.081791
1870,300 Cuesta Dr,Los Altos,CA,94024,3800000,5,4.5,3395.0,13068.0,37.373804,-122.107421
1871,1346 Arbor Ave,Los Altos,CA,94024,6495000,6,6.5,4936.0,17859.6,37.356478,-122.09561699999999
1872,1235 Nightingale Ct,Los Altos,CA,94024,4288000,5,3.5,3567.0,9574.0,37.350118,-122.07968600000001
1873,1653 Christina Dr,Los Altos,CA,94024,2865000,4,2.0,2076.0,10454.4,37.350831,-122.064171
1874,1074 Riverside Dr,Los Altos,CA,94024,5600000,4,2.0,2639.0,29620.8,37.363890000000005,-122.098424
1875,1505 Fairway Dr,Los Altos,CA,94024,7998000,5,5.5,7200.0,26571.6,37.355542,-122.10060700000001
2199,1384 Hoffman Ln,Campbell,CA,95008,1498000,3,2.0,1816.0,9505.0,37.26697,-121.94537
2200,1508 Theresa Ave,Campbell,CA,95008,1250000,4,2.0,1504.0,9910.0,37.265089,-121.963222
2201,1140 Sonuca Ave,Campbell,CA,95008,1125000,3,2.0,1244.0,5990.0,37.269951,-121.967104
2202,1300 Westmont Ave,Campbell,CA,95008,1384000,3,2.0,1449.0,9339.0,37.271786999999996,-121.97264399999999
2203,702 W Sunnyoaks Ave,Campbell,CA,95008,1898000,4,3.0,2944.0,6094.0,37.271975,-121.96209099999999
2204,610 Emory Ave,Campbell,CA,95008,1748000,4,2.0,2104.0,13503.6,37.27819,-121.95768600000001
2205,761 Manx Ave,Campbell,CA,95008,999000,3,1.0,936.0,8102.0,37.276399,-121.953659
2206,1009 Audrey Ave,Campbell,CA,95008,1899888,4,2.5,2500.0,10890.0,37.2664,-121.96611499999999
2207,851 Monica Ln,Campbell,CA,95008,1495000,3,2.0,1640.0,9030.0,37.299653,-121.945075
2208,864 Almarida Dr,Campbell,CA,95008,1299000,3,1.0,1354.0,10454.4,37.299775,-121.94108999999999
2209,131 English Rose Cir,Campbell,CA,95008,1300000,3,2.5,1680.0,2039.0,37.284187,-121.97716000000001
2210,265 Friar Way,Campbell,CA,95008,1295000,3,2.0,1200.0,8340.0,37.276047,-121.95401499999998
2211,35 Sunnyside Ave,Campbell,CA,95008,1299000,4,2.5,2250.0,4060.0,37.283275,-121.949192
2212,1113 S San Tomas Aquino Rd,Campbell,CA,95008,1298000,4,3.5,2221.0,9161.0,37.270877,-121.972201
2213,997 S San Tomas Aquino Rd,Campbell,CA,95008,2380000,5,3.5,2570.0,8268.0,37.272583000000004,-121.97172900000001
2214,398 Cloverdale Ln,Campbell,CA,95008,1424000,3,2.0,1639.0,10454.4,37.291844,-121.97240900000001
2215,3819 Ainsley Ct,Campbell,CA,95008,1398000,4,2.0,1782.0,6874.0,37.285988,-121.96702900000001
2216,125 W Rosemary Ln,Campbell,CA,95008,2388888,4,3.5,2263.0,6016.0,37.295427000000004,-121.95073300000001
2217,285 California St,Campbell,CA,95008,2638888,5,4.5,3083.0,8207.0,37.282903000000005,-121.95451299999999
2218,1014 Springfield Dr,Campbell,CA,95008,2088000,4,3.5,2538.0,6630.0,37.291467,-121.96758899999999
2219,895 Kenneth Ave,Campbell,CA,95008,1495000,2,1.0,2091.0,10454.4,37.273915,-121.95951399999998
2220,1252 Walnut Dr,Campbell,CA,95008,2150000,3,2.5,2157.0,15246.0,37.26825,-121.958681
2221,1430 Lois Way,Campbell,CA,95008,995000,2,1.0,1148.0,12632.4,37.268192,-121.941093
2222,780 Monica Ln,Campbell,CA,95008,1399000,4,2.0,1734.0,9574.0,37.298574,-121.94441
2223,1494 Sheffield Ave,Campbell,CA,95008,1224000,3,1.5,1411.0,7693.0,37.291714,-121.923097
2225,221 Virginia Ave,Campbell,CA,95008,1188000,3,2.0,1165.0,5998.0,37.283859,-121.962251
