Address,City,State,Zip,Price,Beds,Baths,Home size,Lot size,Latitude,Longitude
334 Harriet St,San Francisco,CA,94103,1195000,2,2,,,37.775061,-122.402644
1331 Folsom St,San Francisco,CA,94103,4000000,2,4,,2178,37.773292,-122.41178
456 Clementina St,San Francisco,CA,94103,4250000,2,2.5,4950,3920,37.77977,-122.405274
1126 Rhode Island St,San Francisco,CA,94107,1799000,3,2,1632,2614,37.755566,-122.401999
779 Wisconsin St,San Francisco,CA,94107,3698000,4,3.5,,2614,37.757647,-122.39866
228 Clara St,San Francisco,CA,94107,1509000,1,1,800,2178,37.778973,-122.403272
1387 DE Haro St,San Francisco,CA,94107,995000,1,1,794,1742,37.752338,-122.400094
547 Missouri St,San Francisco,CA,94107,4995000,5,5.5,,2614,37.759372,-122.395909
224 Mississippi St,San Francisco,CA,94107,2700000,2,2,3400,2614,37.763555,-122.394988
712 DE Haro St,San Francisco,CA,94107,3598000,4,3.5,2826,2614,37.760734,-122.40152
920 Powell St,San Francisco,CA,94108,3199000,4,4,,,37.793289,-122.409209
1110 Green St,San Francisco,CA,94109,14400000,4,6,,,37.798642,-122.417693
2323 Hyde St,San Francisco,CA,94109,13800000,6,6.5,8846,6534,37.802259,-122.419873
1350 Jones St,San Francisco,CA,94109,16500000,4,4,,2178,37.793862,-122.414359
5 N View Ct,San Francisco,CA,94109,3350000,4,2,2963,3485,37.804034,-122.42263
1 McCormick St,San Francisco,CA,94109,3795000,4,4,3033,1742,37.794921,-122.419171
606 Ellis St,San Francisco,CA,94109,1888000,3,2,1635,2178,37.784616,-122.416483
5 Torrens Ct,San Francisco,CA,94109,1599000,3,1,1291,2178,37.793011,-122.418768
898 Francisco St,San Francisco,CA,94109,10950000,6,6.5,6305,5663,37.80412,-122.419814
2531 Larkin St,San Francisco,CA,94109,2395000,4,2,2575,2614,37.80126,-122.421459
151 Bernard St,San Francisco,CA,94109,1999000,3,3.5,,1307,37.796094,-122.415924
24 Costa St,San Francisco,CA,94110,849000,1,1,1025,1956,37.744887,-122.406566
738 Banks St,San Francisco,CA,94110,999000,3,2,1509,1742,37.733979,-122.413328
1609 Dolores St,San Francisco,CA,94110,2495000,4,2,2094,1742,37.743595,-122.424025
