,Unnamed: 0,Address,City,Zip,Beds,Baths,Home size,Lot size,Year built,Garage,Home type,Price,Longitude,Latitude
0,0,540 Shotwell St,San Francisco,94110,4,3.0,1801,0.08,1900,1,Single Family Residence,1599000,-122.415969163265,37.759750122449
1,1,76 Cortland Ave,San Francisco,94110,3,2.5,1392,0.028999999999999998,1995,3,Single Family Residence,1849000,-122.42133326087,37.7403221304348
2,2,135 Holladay Ave,San Francisco,94110,3,2.0,2337,0.04,1900,0,Single Family Residence,1700000,-122.405226029412,37.7472035
3,0,546 Paris St,San Francisco,94112,2,1.0,1250,0.057,1925,2,Single Family Residence,899000,-122.43622855102,37.7201312040816
4,0,688 Clipper St,San Francisco,94114,4,3.5,2388,0.081,2000,4,Single Family Residence,2800000,-122.440010663002,37.7487291768022
5,0,2094 Bush St,San Francisco,94115,4,3.5,2600,0.047,1878,0,Single Family Residence,2790000,-122.431621387755,37.7873389795918
6,0,2355 46th Ave,San Francisco,94116,3,2.0,1550,0.069,1939,1,Single Family Residence,1188000,-122.504784081633,37.7426162857143
7,1,2828 Wawona St,San Francisco,94116,3,2.0,1475,0.057,1948,1,Single Family Residence,1196000,-122.497103,37.7365765714286
8,2,3015 Ulloa St,San Francisco,94116,5,2.5,1881,0.071,1926,1,Single Family Residence,1389000,-122.488794196675,37.7403784
9,0,969 Buena Vista Ave,San Francisco,94117,10,4.0,8654,0.040999999999999995,1904,0,Single Family Residence,7500000,0.0,0.0
10,0,2736 Fulton Sreet,San Francisco,94118,5,5.5,3270,0.065,1925,2,Single Family Residence,2998000,0.0,0.0
11,1,3990 Washington St,San Francisco,94118,6,7.5,7600,0.102,1909,4,Single Family Residence,9950000,-122.459070161922,37.788604
12,0,595 44th Ave,San Francisco,94121,4,3.0,2200,0.052000000000000005,1922,1,Single Family Residence,1850000,-122.505068938776,37.7774263265306
13,1,849 26th Ave,San Francisco,94121,4,5.0,2722,0.063,1920,2,Single Family Residence,2295000,-122.485434693878,37.7734660408163
14,2,463 27th Ave,San Francisco,94121,5,3.0,2282,0.069,1921,2,Single Family Residence,2000000,-122.487039714286,37.7807711020408
15,0,3827 Lincoln Way,San Francisco,94122,3,1.0,1820,0.057,1925,2,Single Family Residence,998000,-122.499220248726,37.76426345
16,1,1483 19th Ave,San Francisco,94122,3,2.0,1495,0.053,1922,1,Single Family Residence,1300000,-122.4770942,37.7616888
17,0,1487 Underwood Ave,San Francisco,94124,5,2.0,1488,0.057,1932,1,Single Family Residence,950000,-122.389716877551,37.7284765918367
18,1,Newhall Street,San Francisco,94124,3,2.0,1472,0.026000000000000002,1999,0,Single Family Residence,899000,-122.3889198,37.7393346
19,2,833 Ingerson Ave,San Francisco,94124,5,3.5,2401,0.057,2006,2,Single Family Residence,1499000,-122.390034263158,37.7172971052632
20,3,1370 Quesada Ave,San Francisco,94124,4,1.5,1211,0.057,1955,1,Single Family Residence,814900,-122.385207142857,37.7299017142857
21,4,1426 Underwood Ave,San Francisco,94124,5,2.0,1596,0.077,1940,1,Single Family Residence,799995,-122.388605265306,37.7280485510204
22,0,153 Warren Dr,San Francisco,94131,3,3.0,1800,0.076,1958,2,Single Family Residence,1688000,-122.458985348592,37.7534553282749
23,0,140 Winston Dr,San Francisco,94132,4,3.5,3112,0.12,1951,2,Single Family Residence,2288000,-122.473732693878,37.7269515714286
24,0,256 Gambier St,San Francisco,94134,2,2.0,825,0.071,1908,1,Single Family Residence,888000,-122.421674,37.7261594285714
25,1,1360 Wayland St,San Francisco,94134,4,2.0,2262,0.057,1981,2,Single Family Residence,1498000,-122.415539673469,37.7232721836735
26,0,47 Partridge Dr,San Rafael,94901,4,3.0,2510,0.16399999999999998,1989,2,Single Family Residence,1298000,-122.464614454408,37.9972047952146
27,0,224 Blackstone Dr,San Rafael,94903,4,2.0,1260,0.174,1955,2,Single Family Residence,925000,0.0,0.0
28,0,54 Dolphin Isle,Novato,94949,3,3.0,2316,0.215,1987,2,Single Family Residence,1690000,0.0,0.0
29,1,62 Pizzaro Ave,Novato,94949,4,2.5,2350,0.0,1998,2,Single Family Residence,988888,0.0,0.0
30,0,232 Michele Cir,Novato,94947,4,3.0,1800,0.222,1970,2,Single Family Residence,875000,-122.613540061759,38.1134078101638
31,0,659 George St,Montara,94037,3,2.0,1952,0.14300000000000002,1965,2,Single Family Residence,1100000,-122.5047182,37.5402772
32,1,586 6th St,Montara,94037,4,2.5,2220,0.115,2007,2,Single Family Residence,1345000,-122.508098877783,37.5396398339205
33,2,741 Harte St,Montara,94037,3,2.0,1800,0.14300000000000002,1976,2,Single Family Residence,1165000,-122.506337658574,37.5389922087658
34,3,202 11th St,Montara,94037,4,3.0,3087,0.207,2004,3,Single Family Residence,1978000,-122.5158361,37.5389663
35,4,222 2nd St,Montara,94037,1,1.0,1000,0.264,1906,2,Single Family Residence,998000,-122.5130002028,37.5450114893418
36,5,771 Rivera Rd,Montara,94037,3,2.5,2600,0.006,1950,6,Single Family Residence,10000000,0.0,0.0
37,0,254 Reed Blvd,Mill Valley,94941,5,4.0,3189,0.24100000000000002,1951,2,Single Family Residence,1999999,-122.506588782609,37.8924136521739
38,0,19 Haven Way,Napa,94558,4,3.5,3587,0.149,2004,3,Single Family Residence,1065000,-122.3304663538,38.3442559634783
39,1,3260 Redwood Rd,Napa,94558,3,3.0,3544,3.22,1953,2,Single Family Residence,2300000,-122.350650566215,38.324856793461
40,2,1025 Matt Dr,Napa,94558,3,2.0,1951,0.21100000000000002,1972,2,Single Family Residence,639000,-122.311431618085,38.3011915621788
41,3,1771 Wooden Valley,Napa,94558,2,1.0,763,0.88,1930,0,Single Family Residence,475000,0.0,0.0
42,0,32 Tarabrook Dr,Orinda,94563,3,2.0,1404,0.278,1961,2,Single Family Residence,1095000,-122.172086216045,37.8789259058409
43,1,111 Sleepy Hollow Lane,Orinda,94563,3,2.0,1932,0.51,1953,2,Single Family Residence,1495000,-122.195499048485,37.9075214551396
44,2,18 Via Hermosa,Orinda,94563,4,3.0,2411,0.42,1947,2,Single Family Residence,2495000,-122.18522949383,37.8956357471076
45,3,9 La Senda,Orinda,94563,6,4.5,5744,0.49,1963,2,Single Family Residence,1850000,-122.190831115664,37.8932904748949
46,4,228 Camino Sobrante,Orinda,94563,3,2.0,1929,0.5,1954,1,Single Family Residence,1495000,-122.183202354901,37.8932388744389
47,5,12 Lind Ct,Orinda,94563,3,2.0,2240,0.52,1961,1,Single Family Residence,1680000,-122.149204332433,37.8678432702907
48,6,10 Broadview Ter,Orinda,94563,4,3.0,2500,0.65,1951,2,Single Family Residence,1750000,-122.168309472938,37.8764781864953
49,7,19 Donald Dr,Orinda,94563,3,3.0,3294,0.48,1959,2,Single Family Residence,1795000,-122.157467750256,37.8637801833601
50,8,5 Loma Linda Ct,Orinda,94563,3,2.0,1728,0.29,1948,2,Single Family Residence,1165000,-122.157322745145,37.8584802369538
51,9,46 Zander Ct,Orinda,94563,4,3.0,2932,0.93,1967,2,Single Family Residence,1649000,-122.145841356031,37.8656192908158
52,10,14 Ramona Drive,Orinda,94563,4,4.0,3994,0.33,2006,2,Single Family Residence,1998000,-122.141919451167,37.8453329672426
